input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-neon,cross/8/unit12/draw2/stride64/compact/update/packet,1,3,"[2023.038544824226,2019.492132235739,2018.8165150859734]",2019.492132235739,"[2022.9630431644757,2020.7089649190843,2018.749819544338]",2020.7089649190843,"[1.9756235789299081,1.972160285386464,1.9715005030136459]",1.972160285386464,1024.0,12.0,2.0,2.0,450.0,64.0
crossover-neon,cross/8/unit12/draw2/stride64/spread/sum/packet,1,3,"[1172.7567294750388,1173.965006729571,1173.2893674297172]",1173.2893674297172,"[1172.7122308211372,1175.7449528940099,1173.8404273207213]",1173.8404273207213,"[1.1452702436279678,1.1464502018843468,1.1457903978805832]",1.1457903978805832,1024.0,12.0,2.0,12.0,460.0,64.0
crossover-neon,cross/8/unit12/draw2/stride64/spread/update/packet,1,3,"[2583.9549466717745,2577.1930856938834,2583.1217359321895]",2583.1217359321895,"[2583.8565649154343,2577.099668997985,2584.196395732348]",2583.8565649154343,"[2.5233935026091543,2.516790122747933,2.522579820246279]",2.522579820246279,1024.0,12.0,2.0,12.0,460.0,64.0
crossover-neon,cross/8/unit12/draw4/stride12/compact/sum/packet,1,3,"[928.4070154419082,928.5989749736004,929.383120340864]",928.5989749736004,"[928.3706735891767,928.5634984010275,929.7917997863732]",928.5634984010275,"[0.9066474760174885,0.9068349364976567,0.907600703457875]",0.9068349364976567,1024.0,12.0,4.0,4.0,88.0,12.0
crossover-neon,cross/8/unit12/draw4/stride12/compact/update/packet,1,3,"[2177.003868172956,2177.939811233387,2171.7645056474703]",2177.003868172956,"[2176.9229459988424,2177.8582701548917,2171.6817267558154]",2176.9229459988424,"[2.1259803400126525,2.1268943469076045,2.1208637750463573]",2.1259803400126525,1024.0,12.0,4.0,4.0,88.0,12.0
crossover-neon,cross/8/unit12/draw4/stride12/spread/sum/packet,1,3,"[1973.8821948804225,1973.0456795356781,1972.8507990388284]",1973.0456795356781,"[1974.6984867771152,1972.9835949652859,1972.7775420737278]",1972.9835949652859,"[1.9276193309379126,1.9268024214215607,1.9266121084363559]",1.9268024214215607,1024.0,12.0,4.0,12.0,96.0,12.0
crossover-neon,cross/8/unit12/draw4/stride12/spread/update/packet,1,3,"[4636.599999999942,4647.629900333592,4634.718272425296]",4636.599999999942,"[4636.423255818157,4856.744186044461,4634.541196016389]",4636.423255818157,"[4.5279296874999435,4.538701074544523,4.526092062915328]",4.5279296874999435,1024.0,12.0,4.0,12.0,96.0,12.0
crossover-neon,cross/8/unit12/draw4/stride13/compact/sum/packet,1,3,"[930.3340210300664,930.4114202048504,930.5132437106865]",930.4114202048504,"[930.2988819372832,930.9454944770349,930.4838280325469]",930.4838280325469,"[0.9085293174121741,0.9086049025437992,0.9087043395612174]",0.9086049025437992,1024.0,12.0,4.0,4.0,95.0,13.0
crossover-neon,cross/8/unit12/draw4/stride13/compact/update/packet,1,3,"[2183.2286207433826,2185.7735760238775,2184.149694021669]",2184.149694021669,"[2183.1485956397655,2191.3676447531548,2184.7898948662173]",2184.7898948662173,"[2.1320591999447096,2.134544507835818,2.132958685568036]",2.132958685568036,1024.0,12.0,4.0,4.0,95.0,13.0
crossover-neon,cross/8/unit12/draw4/stride13/spread/sum/packet,1,3,"[1972.4766671371235,1971.6812350202524,1971.6107429860303]",1971.6812350202524,"[1972.4051882128356,1971.610320032286,1972.7484844202186]",1972.4051882128356,"[1.9262467452510972,1.925469956074465,1.9254011161972953]",1.925469956074465,1024.0,12.0,4.0,12.0,103.0,13.0
