name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/joint64_planar/q2/manual_time,3,1,88,332913.0113636363,333198.3863636372,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,4,1,88,324176.6704545454,324428.9772727151,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,0,1,86,333769.2209302326,334093.49999999534,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,1,1,86,333152.62790697685,332969.9534883743,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,2,1,86,329701.4302325582,329980.61627908045,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,3,1,86,331980.09302325593,332247.5697674296,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,4,1,86,339047.37209302327,338382.2790697803,ns,1048576.0,1048576.0
or/soa/q0/manual_time,0,1,39,700888.5128205129,701525.641025669,ns,1048576.0,1048576.0
or/soa/q0/manual_time,1,1,39,699901.6923076924,700482.9230769434,ns,1048576.0,1048576.0
or/soa/q0/manual_time,2,1,39,706285.0256410259,706952.974359008,ns,1048576.0,1048576.0
or/soa/q0/manual_time,3,1,39,696962.6410256414,697565.1538461592,ns,1048576.0,1048576.0
or/soa/q0/manual_time,4,1,39,696769.3076923079,697364.3076923199,ns,1048576.0,1048576.0
or/tag32/q0/manual_time,0,1,8,3481479.625,3483916.6250000275,ns,1048576.0,1048576.0
or/tag32/q0/manual_time,1,1,8,4038989.0000000005,4041671.8750000414,ns,1048576.0,1048576.0
or/tag32/q0/manual_time,2,1,8,4259423.75,4262343.750000008,ns,1048576.0,1048576.0
or/tag32/q0/manual_time,3,1,8,3942123.3749999995,3944744.750000062,ns,1048576.0,1048576.0
or/tag32/q0/manual_time,4,1,8,3897077.3750000005,3899609.3749998906,ns,1048576.0,1048576.0
or/tag16/q0/manual_time,0,1,6,4214212.833333333,4216909.666666583,ns,1048576.0,1048576.0
or/tag16/q0/manual_time,1,1,6,4323922.666666667,4326902.833333553,ns,1048576.0,1048576.0
or/tag16/q0/manual_time,2,1,6,4235940.999999999,4238805.666666678,ns,1048576.0,1048576.0
or/tag16/q0/manual_time,3,1,6,3942173.6666666665,3944826.3333333363,ns,1048576.0,1048576.0
or/tag16/q0/manual_time,4,1,6,4052397.4999999995,4055541.666666625,ns,1048576.0,1048576.0
or/tag8/q0/manual_time,0,1,7,4364371.285714286,4366017.857142777,ns,1048576.0,1048576.0
or/tag8/q0/manual_time,1,1,7,4128713.285714286,4131660.7142858026,ns,1048576.0,1048576.0
or/tag8/q0/manual_time,2,1,7,4346401.857142857,4349410.714285692,ns,1048576.0,1048576.0
or/tag8/q0/manual_time,3,1,7,4489206.428571428,4492220.142857154,ns,1048576.0,1048576.0
or/tag8/q0/manual_time,4,1,7,4184907.4285714286,4187505.999999936,ns,1048576.0,1048576.0
or/tag8_eager/q0/manual_time,0,1,6,4189700.8333333335,4192673.500000114,ns,1048576.0,1048576.0
or/tag8_eager/q0/manual_time,1,1,6,4568465.0,4571770.833333489,ns,1048576.0,1048576.0
or/tag8_eager/q0/manual_time,2,1,6,4013793.1666666665,4016860.9999999087,ns,1048576.0,1048576.0
or/tag8_eager/q0/manual_time,3,1,6,4174429.333333334,4177263.833333278,ns,1048576.0,1048576.0
or/tag8_eager/q0/manual_time,4,1,6,4376889.5,4380180.499999812,ns,1048576.0,1048576.0
or/joint64_planar/q0/manual_time,0,1,6,3973759.4999999995,3964715.333333461,ns,1048576.0,1048576.0
or/joint64_planar/q0/manual_time,1,1,6,5008296.833333334,5012138.833333365,ns,1048576.0,1048576.0
or/joint64_planar/q0/manual_time,2,1,6,4533026.5,4536062.500000012,ns,1048576.0,1048576.0
or/joint64_planar/q0/manual_time,3,1,6,4562918.666666667,4554951.333333316,ns,1048576.0,1048576.0
or/joint64_planar/q0/manual_time,4,1,6,4277842.333333333,4280479.16666685,ns,1048576.0,1048576.0
or_broad/soa/q0/manual_time,0,1,17,1648567.7647058822,1650026.9411764217,ns,1048576.0,1048576.0
or_broad/soa/q0/manual_time,1,1,17,1640455.411764706,1641867.5882352572,ns,1048576.0,1048576.0
or_broad/soa/q0/manual_time,2,1,17,1658826.0588235296,1654590.7058823835,ns,1048576.0,1048576.0
or_broad/soa/q0/manual_time,3,1,17,1653169.0000000002,1654321.0588235059,ns,1048576.0,1048576.0
or_broad/soa/q0/manual_time,4,1,17,1647859.1764705882,1649205.8823529815,ns,1048576.0,1048576.0
or_broad/tag32/q0/manual_time,0,1,8,3367500.5000000005,3360520.874999828,ns,1048576.0,1048576.0
or_broad/tag32/q0/manual_time,1,1,8,3391538.5,3394614.624999903,ns,1048576.0,1048576.0
or_broad/tag32/q0/manual_time,2,1,8,3320168.8750000005,3322656.1250001565,ns,1048576.0,1048576.0
or_broad/tag32/q0/manual_time,3,1,8,3332133.125,3334604.1249999735,ns,1048576.0,1048576.0
or_broad/tag32/q0/manual_time,4,1,8,3276981.6249999995,3279473.8749999385,ns,1048576.0,1048576.0
or_broad/tag16/q0/manual_time,0,1,9,3345107.666666667,3347587.8888889416,ns,1048576.0,1048576.0
or_broad/tag16/q0/manual_time,1,1,9,4127529.3333333335,4127902.777777711,ns,1048576.0,1048576.0
or_broad/tag16/q0/manual_time,2,1,9,3299989.777777778,3302277.7777777575,ns,1048576.0,1048576.0
or_broad/tag16/q0/manual_time,3,1,9,3378243.888888889,3371421.333333223,ns,1048576.0,1048576.0
or_broad/tag16/q0/manual_time,4,1,9,3895345.5555555555,3887194.5555559117,ns,1048576.0,1048576.0
or_broad/tag8/q0/manual_time,0,1,8,3602872.4999999995,3605932.250000166,ns,1048576.0,1048576.0
or_broad/tag8/q0/manual_time,1,1,8,3935251.000000001,3938161.500000259,ns,1048576.0,1048576.0
or_broad/tag8/q0/manual_time,2,1,8,3579204.1250000005,3571078.1250002375,ns,1048576.0,1048576.0
or_broad/tag8/q0/manual_time,3,1,8,3516654.0,3519203.125000203,ns,1048576.0,1048576.0
or_broad/tag8/q0/manual_time,4,1,8,3673425.125,3670635.500000241,ns,1048576.0,1048576.0
or_broad/tag8_eager/q0/manual_time,0,1,8,3593865.4999999995,3596624.999999687,ns,1048576.0,1048576.0
or_broad/tag8_eager/q0/manual_time,1,1,8,3662449.75,3651052.1249999427,ns,1048576.0,1048576.0
or_broad/tag8_eager/q0/manual_time,2,1,8,3627233.5,3630328.12499986,ns,1048576.0,1048576.0
or_broad/tag8_eager/q0/manual_time,3,1,8,4537858.25,4541026.000000059,ns,1048576.0,1048576.0
or_broad/tag8_eager/q0/manual_time,4,1,8,4101294.25,4104302.1250000144,ns,1048576.0,1048576.0
or_broad/joint64_planar/q0/manual_time,0,1,7,3711431.857142857,3714499.8571427832,ns,1048576.0,1048576.0
or_broad/joint64_planar/q0/manual_time,1,1,7,3923610.285714286,3912595.1428573555,ns,1048576.0,1048576.0
or_broad/joint64_planar/q0/manual_time,2,1,7,3774980.1428571427,3777934.571428736,ns,1048576.0,1048576.0
or_broad/joint64_planar/q0/manual_time,3,1,7,3749739.1428571427,3752380.8571430705,ns,1048576.0,1048576.0
or_broad/joint64_planar/q0/manual_time,4,1,7,3756183.1428571423,3759118.999999954,ns,1048576.0,1048576.0
