case,base_ns,candidate_ns,padded_ns,candidate_over_base,padded_over_base,base_range,candidate_range,padded_range,candidate_over_base_edges,padded_over_base_edges,padded_over_candidate_edges
checked-point/local/k1/h0/gapped/checked,10.473694398875626,5.019943390837914,5.027309746414465,0.47929061128390527,0.47999393098142695,"[10.471368932353732, 10.48358152654442]","[5.004347275901192, 5.031748151061339]","[4.996510768969195, 5.042475723314736]","[0.47990900789502106, 0.47867220843759334]","[0.4801096115762058, 0.4798782492202587]","[1.0004180035754373, 1.0025195546376129]"
checked-point/local/k1/h0/gapped/bound,2.1761415385114584,2.1758776760498266,2.175583252097041,0.9998787475644565,0.9997434512394817,"[2.1756581764124383, 2.176929967896441]","[2.1753934761864913, 2.176390691278761]","[2.175069198135565, 2.17606846741162]","[1.0000442264544458, 0.9996552600058408]","[0.9997304947610985, 0.9997888603703649]","[0.9996862821812795, 1.0001336464377961]"
checked-point/striped/k5/h0/gapped/checked,11.233129244316624,7.346949442108953,7.262175728928453,0.6540429903649623,0.6464962319028541,"[11.182137014950085, 11.242068942538614]","[7.303074754082364, 7.419731512255917]","[7.243803231935902, 7.330604436724156]","[0.6562700640383077, 0.6531157092144749]","[0.6481476150466907, 0.6461277000194744]","[0.9876233132719232, 0.9893005035763032]"
checked-point/striped/k5/h0/gapped/bound,2.3799212769561455,3.2834204756525622,2.531828528080929,1.3796340691789468,1.0638286873585452,"[2.3705919724216478, 2.3926646848681465]","[3.124346656155444, 3.381215962847358]","[2.4706273388241815, 2.6240006513911016]","[1.3157583578144396, 1.4086457459366901]","[1.0644007084240135, 1.0633064397868437]","[0.8089636688244584, 0.754843041874797]"
