block,variant,case,repetition,ns_per_query,iterations,cpu_ns_per_batch,real_ns_per_batch,logical_values,query_bytes,queries_per_iteration,query_hash_lo,query_hash_hi
0,base,checked-point/local/k1/h0/gapped/checked,0,10.471830340839196,26013,2680.788567254834,2680.7183715849546,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/local/k1/h0/gapped/checked,1,10.48358152654442,26013,2683.7968707953714,2683.726136932392,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/local/k1/h0/gapped/checked,2,10.473747200918776,26013,2681.2792834352067,2681.206858110778,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/local/k1/h0/gapped/bound,0,2.176538067291321,125696,557.1937452265781,557.4966745160998,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/local/k1/h0/gapped/bound,1,2.175790262319406,125696,557.0023071537679,557.0156488668257,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/local/k1/h0/gapped/bound,2,2.1761310523007897,125696,557.0895493890022,557.0946808168528,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/checked,0,11.22640849536175,24147,2873.960574812608,2873.8832981321843,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/checked,1,11.202164250476253,24147,2867.7540481219207,2867.6797117631854,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/checked,2,11.182137014950085,24147,2862.6270758272217,2862.550710232319,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/bound,0,2.3898086666300205,111431,611.7910186572852,611.7747843954162,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/bound,1,2.38593862878149,111431,610.8002889680614,610.8218628571013,8193.0,32768.0,256.0,751791882.0,454509803.0
0,base,checked-point/striped/k5/h0/gapped/bound,2,2.3739039251308007,111431,607.719404833485,607.7217470898107,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/checked,0,5.0299795283271225,54206,1287.6747592517434,1287.6395601962058,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/checked,1,5.004347275901192,54206,1281.112902630705,1281.3678928531406,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/checked,2,5.026445628136184,54206,1286.770080802863,1286.7348817477787,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/bound,0,2.1762272948616426,125653,557.1141874845805,557.0993131877375,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/bound,1,2.176390691278761,125653,557.1560169673628,557.3669470685769,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/local/k1/h0/gapped/bound,2,2.1762103210329253,125653,557.1098421844289,557.1403707033654,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/checked,0,7.419731512255917,36105,1899.4512671375148,1899.3997230288317,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/checked,1,7.351645050027692,36105,1882.021132807089,1881.9714443987582,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/checked,2,7.3401498234316644,36105,1879.078354798506,1879.025370446479,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/bound,0,3.250638249152417,82293,832.1633917830187,832.1412270791226,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/bound,1,3.139318692051569,82293,803.6655851652017,803.6443682935464,8193.0,32768.0,256.0,751791882.0,454509803.0
1,candidate,checked-point/striped/k5/h0/gapped/bound,2,3.124346656155444,82293,799.8327439757936,799.8583840664543,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/checked,0,4.996510768969195,54404,1279.1067568561139,1279.0727152417837,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/checked,1,5.0285467003804865,54404,1287.3079552974045,1287.3634107791108,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/checked,2,5.040426212341925,54404,1290.3491103595327,1290.3144437913281,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/bound,0,2.1756219306124236,125534,556.9592142367804,556.9714977617999,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/bound,1,2.175069198135565,125534,556.8177147227046,556.802754631986,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/local/k1/h0/gapped/bound,2,2.1755445735816585,125534,556.9394108369046,557.1544601464616,8193.0,32768.0,256.0,751791882.0,454509803.0
2,padded,checked-point/striped/k5/h0/gapped/checked,0,7.330604436724156,36412,1876.6347358013838,1876.6408601560126,8193.0,32768.0,256.0,751791882.0,454509803.0
