key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_mode,ena_srd_tx_pkts,ena_srd_eligible_tx_pkts,ena_srd_rx_pkts,ena_srd_resource_utilization
00-original-16s-r0,use1-az2,-3,1.000665154,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-2,1.0006659740000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-1,1.00066391,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,0,1.000680407,417.27180799999996,26200.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,1,1.000685135,428.101632,26922.0,3,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,2,1.0006834759999998,428.35968,26909.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,3,1.000695448,427.88454399999995,26917.0,6,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,4,1.0011239619999999,429.981696,27057.0,8,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,5,1.0012271089999998,428.347392,26931.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,6,1.0011868469999998,428.978176,26981.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,7,1.001228538,426.840064,26850.0,1,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,8,1.001270139,430.06771200000003,27032.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,9,1.0012467619999998,429.71545599999996,26998.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,10,1.001192357,430.31347199999993,27049.0,7,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,11,1.0012502540000001,427.147264,26829.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,12,1.001183734,428.71603200000004,26925.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,13,1.001140019,422.342656,26328.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,14,1.000863257,413.188096,25219.0,2,0,0,0,0,0,0,0,0,0,0
