input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-avx2,cross/4/unit32/draw8/stride64/spread/sum/point,1,3,"[4037.0870567889333,4037.1248198330904,4035.830210433938]",4037.0870567889333,"[4037.1138656728635,4037.6964543069994,4035.8541366445556]",4037.1138656728635,"[3.9424678288954427,3.9425047068682524,3.941240439876893]",3.9424678288954427,1024.0,32.0,8.0,32.0,224.0,64.0
crossover-avx2,cross/4/unit32/draw8/stride64/spread/update/packet,1,3,"[8063.962857144296,8029.585714284947,8034.380571428657]",8034.380571428657,"[8064.713714296497,8030.6965714303915,8042.039428573844]",8042.039428573844,"[7.874963727679976,7.841392299106394,7.846074776785799]",7.846074776785799,1024.0,32.0,8.0,32.0,224.0,64.0
crossover-avx2,cross/4/unit32/draw8/stride64/spread/update/point,1,3,"[14047.92636816212,13966.592039801457,13991.47860696383]",13991.47860696383,"[14048.008955230092,13968.685572143302,13992.2975124512]",13992.2975124512,"[13.71867809390832,13.639250038868608,13.663553327113116]",13.663553327113116,1024.0,32.0,8.0,32.0,224.0,64.0
crossover-avx2,cross/4/unit64/draw2/stride64/spread/sum/packet,1,3,"[1884.6609607214023,1860.183917197491,1872.045514862417]",1872.045514862417,"[1884.9336518055532,1860.1974522295152,1872.0553343942524]",1872.0553343942524,"[1.8404892194544946,1.8165858566381747,1.8281694481078292]",1.8281694481078292,1024.0,64.0,2.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw2/stride64/spread/sum/point,1,3,"[1955.4841192104907,1954.3005456831343,1954.1283055825572]",1954.3005456831343,"[1955.7265985741315,1954.3106198399628,1954.141318035914]",1954.3106198399628,"[1.9096524601664948,1.908496626643686,1.908328423420466]",1.908496626643686,1024.0,64.0,2.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw2/stride64/spread/update/packet,1,3,"[6670.8665386463545,6611.7071531431,6661.769083051186]",6661.769083051186,"[6671.818530956909,6611.746039356174,6661.813730206951]",6661.813730206951,"[6.5145181041468305,6.456745266741309,6.5056338701671725]",6.5056338701671725,1024.0,64.0,2.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw2/stride64/spread/update/point,1,3,"[4747.940318751937,4696.553068836362,4686.824347238023]",4696.553068836362,"[4756.042387253892,4696.584604949294,4686.852153273859]",4696.584604949294,"[4.636660467531189,4.586477606285509,4.5769769015996316]",4.586477606285509,1024.0,64.0,2.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw2/stride65/spread/sum/packet,1,3,"[1886.390559676189,1875.7741065404803,1891.2454484149407]",1886.390559676189,"[1886.4002697261105,1875.7839514517004,1895.5236682395284]",1886.4002697261105,"[1.8421782809337783,1.831810650918438,1.8469193832177155]",1.8421782809337783,1024.0,64.0,2.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw2/stride65/spread/sum/point,1,3,"[1959.4697309415449,1961.1946468616582,1960.743413677308]",1960.743413677308,"[1959.6017376709588,1961.207679374445,1960.7551849777346]",1960.7551849777346,"[1.9135446591226024,1.915229147325838,1.914788489919246]",1.914788489919246,1024.0,64.0,2.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw2/stride65/spread/update/packet,1,3,"[6716.66793349235,6659.983372922434,6675.841330167802]",6675.841330167802,"[6716.712114006756,6660.023277907108,6675.876009490397]",6675.876009490397,"[6.559246028801122,6.503890012619565,6.519376298991993]",6.519376298991993,1024.0,64.0,2.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw2/stride65/spread/update/point,1,3,"[4715.191525423086,4722.198305085778,4681.51050847513]",4715.191525423086,"[4715.812542368224,4722.226440680122,4681.5383050851915]",4715.812542368224,"[4.604679224045983,4.61152178231033,4.571787605932745]",4.604679224045983,1024.0,64.0,2.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw4/stride64/spread/sum/packet,1,3,"[2519.665536319604,2510.456005711792,2507.9610922722068]",2510.456005711792,"[2523.364090665252,2510.9975013382846,2508.263073352125]",2510.9975013382846,"[2.4606108753121134,2.451617193077922,2.449180754172077]",2.451617193077922,1024.0,64.0,4.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw4/stride64/spread/sum/point,1,3,"[2597.0534052848648,2601.547264607819,2602.481577968402]",2601.547264607819,"[2597.066989206596,2602.1341644931654,2604.0636397486637]",2602.1341644931654,"[2.536184966098501,2.5405735005935735,2.5414859159847674]",2.5405735005935735,1024.0,64.0,4.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw4/stride64/spread/update/packet,1,3,"[7735.191698525679,7706.693063899285,7672.6133260486795]",7706.693063899285,"[7735.237575095775,7706.744401970164,7673.784270902957]",7706.744401970164,"[7.553898143091485,7.526067445214146,7.492786451219414]",7.526067445214146,1024.0,64.0,4.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw4/stride64/spread/update/point,1,3,"[7883.067324436389,7959.532791641388,7867.542658156713]",7883.067324436389,"[7883.114335461371,7960.566453855313,7867.58908880478]",7883.114335461371,"[7.698307934019911,7.772981241837293,7.683147127106165]",7.698307934019911,1024.0,64.0,4.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw4/stride65/spread/sum/packet,1,3,"[2540.3693140794117,2541.5911552350603,2524.7555956675205]",2540.3693140794117,"[2540.757942235141,2541.608122742924,2524.772382674443]",2540.757942235141,"[2.4808294082806754,2.4820226125342386,2.465581636394063]",2.4808294082806754,1024.0,64.0,4.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw4/stride65/spread/sum/point,1,3,"[2596.331476323796,2589.820798513402,2604.528505106804]",2596.331476323796,"[2599.9626740949875,2589.8362117014294,2604.543732590496]",2599.9626740949875,"[2.5354799573474565,2.5291218735482444,2.5434848682683633]",2.5354799573474565,1024.0,64.0,4.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw4/stride65/spread/update/packet,1,3,"[7712.149558498814,7698.369757177229,7697.706953643317]",7698.369757177229,"[7713.442604863424,7698.409492275933,7705.198123621496]",7705.198123621496,"[7.531396053221498,7.517939215993388,7.517291946917302]",7.517939215993388,1024.0,64.0,4.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw4/stride65/spread/update/point,1,3,"[7850.374647888093,7805.41690140824,7850.183661970809]",7850.183661970809,"[7851.672112674094,7805.463098591158,7850.229859161733]",7850.229859161733,"[7.666381492078217,7.622477442781484,7.6661949823933675]",7.6661949823933675,1024.0,64.0,4.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw8/stride64/spread/sum/packet,1,3,"[2507.6585453888833,2521.9734704928396,2526.048547193715]",2521.9734704928396,"[2507.67334416161,2522.1165854524147,2526.397581665977]",2522.1165854524147,"[2.4488852982313314,2.4628647172781637,2.4668442843688623]",2.4628647172781637,1024.0,64.0,8.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw8/stride64/spread/sum/point,1,3,"[4029.638408304087,4029.0412341410906,4050.4108996543273]",4029.638408304087,"[4029.6594579011135,4029.0651672426497,4050.9685697781706]",4029.6594579011135,"[3.93519375810946,3.9346105802159084,3.9554793941936786]",3.93519375810946,1024.0,64.0,8.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw8/stride64/spread/update/packet,1,3,"[9340.397598399093,9332.705136754326,9369.917278182189]",9340.397598399093,"[9340.452301543783,9332.767178117996,9372.314209476062]",9340.452301543783,"[9.121482029686613,9.113969860111647,9.150309841974794]",9.121482029686613,1024.0,64.0,8.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw8/stride64/spread/update/point,1,3,"[13961.28267477267,14105.82066869161,13955.5977710251]",13961.28267477267,"[13968.051671720905,14146.522796346155,13961.111448846517]",13968.051671720905,"[13.634065112082686,13.775215496769148,13.6285134482667]",13.634065112082686,1024.0,64.0,8.0,64.0,256.0,64.0
crossover-avx2,cross/4/unit64/draw8/stride65/spread/sum/packet,1,3,"[2533.1783439492774,2527.995632393151,2538.312101910409]",2533.1783439492774,"[2537.1916287566187,2528.0105550526396,2538.327206550302]",2537.1916287566187,"[2.473806976512966,2.4687457347589365,2.478820412021884]",2.473806976512966,1024.0,64.0,8.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw8/stride65/spread/sum/point,1,3,"[4033.6553412043295,4029.635761589018,4032.3484019579937]",4032.3484019579937,"[4034.1600921399418,4029.6567808773207,4032.372300599514]",4032.372300599514,"[3.939116544144853,3.9351911734267753,3.937840236287103]",3.937840236287103,1024.0,64.0,8.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw8/stride65/spread/update/packet,1,3,"[9367.646862483769,9341.425901202576,9375.670894526344]",9367.646862483769,"[9368.81775701656,9341.480640869462,9375.726969278367]",9368.81775701656,"[9.148092639144304,9.12248623164314,9.155928607935884]",9.148092639144304,1024.0,64.0,8.0,64.0,259.0,65.0
crossover-avx2,cross/4/unit64/draw8/stride65/spread/update/point,1,3,"[14001.123301987847,14011.185997906214,13957.842215256092]",14001.123301987847,"[14003.14002088979,14011.280041801141,13957.93521422999]",14003.14002088979,"[13.672971974597505,13.682798826080285,13.630705288336028]",13.672971974597505,1024.0,64.0,8.0,64.0,259.0,65.0
crossover-avx512,cross/4/unit24/draw2/stride24/spread/sum/packet,1,3,"[1855.836986847429,1857.978743190997,1859.7150259067282]",1857.978743190997,"[1856.0803773092223,1857.9907001460044,1859.727115712082]",1857.9907001460044,"[1.8123408074681921,1.8144323663974578,1.8161279549870395]",1.8144323663974578,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw2/stride24/spread/sum/point,1,3,"[2692.4140850487843,2691.5056763521775,2691.3692514906475]",2691.5056763521775,"[2692.7796805793723,2691.521262258164,2691.6907831366307]",2691.6907831366307,"[2.6293106299304534,2.6284235120626733,2.6282902846588354]",2.6284235120626733,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw2/stride24/spread/update/packet,1,3,"[8069.138328529783,8066.4011527380935,8064.342939481269]",8066.4011527380935,"[8080.71873197352,8066.447262221281,8064.395389032856]",8066.447262221281,"[7.8800178989548675,7.877344875720795,7.875334901837177]",7.877344875720795,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw2/stride24/spread/update/point,1,3,"[5015.541383016833,5013.9573629523875,5012.552848442358]",5013.9573629523875,"[5016.584020062923,5013.990326062236,5012.581870298179]",5013.990326062236,"[4.897989631852376,4.896442737258191,4.89507114105699]",4.896442737258191,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw2/stride25/spread/sum/packet,1,3,"[1871.1715279634375,1868.986486486156,1869.3999197218297]",1869.3999197218297,"[1871.1835697143777,1868.9986620276159,1869.626170727867]",1869.626170727867,"[1.8273159452767944,1.8251821157091368,1.8255858591033496]",1.8255858591033496,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw2/stride25/spread/sum/point,1,3,"[2695.4567354015717,2694.855463480431,2695.206398150204]",2695.206398150204,"[2695.470418200069,2694.873193296333,2695.512815568955]",2695.470418200069,"[2.632281968165598,2.6316947885551083,2.632037498193559]",2.632037498193559,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw2/stride25/spread/update/packet,1,3,"[8157.133022170177,8170.4754959149805,8170.061260209993]",8170.061260209993,"[8157.179696632216,8170.529171515441,8171.001166864249]",8170.529171515441,"[7.965950216963063,7.978979976479472,7.97857544942382]",7.97857544942382,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw2/stride25/spread/update/point,1,3,"[5013.629032257971,5014.822580644498,5014.589964156898]",5014.589964156898,"[5013.65806451589,5014.85519714484,5015.2534050159775]",5014.85519714484,"[4.8961221018144245,4.897287676410643,4.8970605118719694]",4.8970605118719694,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw2/stride64/spread/sum/packet,1,3,"[1845.9244362389413,1846.0287485166018,1843.9463273113856]",1845.9244362389413,"[1846.223921929163,1846.0406171730249,1843.9556903657706]",1846.0406171730249,"[1.8026605822645911,1.802762449723244,1.8007288352650248]",1.8026605822645911,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw2/stride64/spread/sum/point,1,3,"[2711.206889878005,2709.530675440427,2713.863944261414]",2711.206889878005,"[2711.6133152719144,2709.5446100230074,2776.562415329781]",2711.6133152719144,"[2.647662978396489,2.646026050234792,2.650257758067787]",2.647662978396489,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw2/stride64/spread/update/packet,1,3,"[3987.8600917428785,4001.592603211315,4007.5845756881213]",4001.592603211315,"[3990.7729357791886,4001.612958725734,4007.6049311974484]",4001.612958725734,"[3.8943946208426543,3.9078052765735496,3.913656812195431]",3.9078052765735496,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw2/stride64/spread/update/point,1,3,"[5021.342293906953,5020.750896056947,5017.765591398751]",5020.750896056947,"[5021.367741939006,5021.536559130534,5017.790681001468]",5021.367741939006,"[4.903654583893509,4.903077046930613,4.900161710350344]",4.903077046930613,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw4/stride24/spread/sum/packet,1,3,"[1856.3687848977393,1858.7948683861764,1860.162988566824]",1858.7948683861764,"[1856.3794203683817,1860.5538420662906,1860.4275458665227]",1860.4275458665227,"[1.8128601415016985,1.8152293636583754,1.8165654185222893]",1.8152293636583754,1024.0,24.0,4.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw4/stride24/spread/sum/point,1,3,"[3308.5388613279247,3306.049137727266,3308.6168202220615]",3308.5388613279247,"[3310.7361209568608,3306.068036858942,3309.0824474300075]",3309.0824474300075,"[3.2309949817655514,3.2285636110617832,3.231071113498107]",3.2309949817655514,1024.0,24.0,4.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw4/stride24/spread/update/packet,1,3,"[8066.359699768871,8065.245381062279,8065.326789838843]",8065.326789838843,"[8066.412240205333,8066.140877600377,8066.718244804462]",8066.412240205333,"[7.877304394305538,7.876216192443632,7.876295693201995]",7.876295693201995,1024.0,24.0,4.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw4/stride24/spread/update/point,1,3,"[7307.8291536056895,7308.4461859976645,7310.70271682425]",7308.4461859976645,"[7307.871473362119,7308.487983273162,7311.690700112837]",7308.487983273162,"[7.136551907818056,7.137154478513344,7.139358121898681]",7.137154478513344,1024.0,24.0,4.0,24.0,96.0,24.0
crossover-avx512,cross/4/unit24/draw4/stride25/spread/sum/packet,1,3,"[1869.7478924123498,1871.4244613943936,1870.733975645616]",1870.733975645616,"[1869.9701592394442,1871.435300414338,1870.7448146655604]",1870.7448146655604,"[1.8259256761839353,1.8275629505804625,1.826888648091422]",1.826888648091422,1024.0,24.0,4.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw4/stride25/spread/sum/point,1,3,"[3312.029105537527,3307.3629910082177,3305.4957406526196]",3307.3629910082177,"[3314.4926644622465,3307.3842877436396,3305.5149077118936]",3307.3842877436396,"[3.2344034233764916,3.2298466709064626,3.228023184231074]",3.2298466709064626,1024.0,24.0,4.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw4/stride25/spread/update/packet,1,3,"[8171.021052631789,8171.7397660812985,8179.658479532341]",8171.7397660812985,"[8172.483040946735,8172.775438606815,8179.705263180641]",8172.775438606815,"[7.979512746710732,7.980214615313767,7.987947733918301]",7.980214615313767,1024.0,24.0,4.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw4/stride25/spread/update/point,1,3,"[7328.5770234984975,7310.566579633805,7310.248563967669]",7310.566579633805,"[7329.497127937207,7310.614099232968,7310.295561358736]",7310.614099232968,"[7.1568134995102515,7.139225175423637,7.138914613249676]",7.139225175423637,1024.0,24.0,4.0,24.0,99.0,25.0
crossover-avx512,cross/4/unit24/draw4/stride64/spread/sum/packet,1,3,"[1845.6749802058555,1845.6500395885587,1844.9518342572317]",1845.6500395885587,"[1845.6856690423756,1845.910002637564,1844.961335446604]",1845.6856690423756,"[1.8024169728572805,1.8023926167857018,1.801710775641828]",1.8023926167857018,1024.0,24.0,4.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw4/stride64/spread/sum/point,1,3,"[3327.720780766758,3336.2735063081145,3333.1482980245705]",3333.1482980245705,"[3327.7400618842835,3342.141394904465,3333.5127350605426]",3333.5127350605426,"[3.2497273249675365,3.2580795960040176,3.2550276347896197]",3.2550276347896197,1024.0,24.0,4.0,24.0,216.0,64.0
crossover-avx512,cross/4/unit24/draw4/stride64/spread/update/packet,1,3,"[3985.1679454392897,3976.420858198728,3997.455527137658]",3985.1679454392897,"[3990.4734299477072,3976.4467178160394,3998.2401250350927]",3990.4734299477072,"[3.8917655717180564,3.8832234943346955,3.903765163220369]",3.8917655717180564,1024.0,24.0,4.0,24.0,216.0,64.0
