profile,pad,width,payload,head,carrier,count,arm,median_ns_per_value,min_ns_per_value,max_ns_per_value,control,control_ns_per_value,ratio
avx2,0,18,2,16,64,8192,tile8_avx2,0.25097134,0.250426061,0.252703048,tile8_avx2,0.25097134,1.0
avx2,0,18,2,16,64,8192,region32_avx2,0.13599022500000002,0.135526724,0.136709429,tile8_avx2,0.25097134,0.5418555959417518
avx2,0,10,2,8,16,65536,tile8_avx2,0.102463268,0.102334522,0.103160497,tile8_avx2,0.102463268,1.0
avx2,0,10,2,8,16,65536,region32_avx2,0.059698079,0.059580285,0.060031272,tile8_avx2,0.102463268,0.5826290744503679
avx2,0,9,1,8,16,65536,tile8_avx2,0.056445737999999995,0.056383226,0.05663519,tile8_avx2,0.056445737999999995,1.0
avx2,0,9,1,8,16,65536,region32_avx2,0.026147288,0.026094062,0.026259279,tile8_avx2,0.056445737999999995,0.46322873836816525
avx2,0,13,5,8,16,65536,tile8_avx2,0.18716350199999998,0.178179748,0.190082021,tile8_avx2,0.18716350199999998,1.0
avx2,0,13,5,8,16,65536,region32_avx2,0.0769436285,0.076805346,0.077059187,tile8_avx2,0.18716350199999998,0.4111038085833637
avx2,0,15,7,8,16,65536,tile8_avx2,0.188378215,0.18783462,0.188704327,tile8_avx2,0.188378215,1.0
avx2,0,15,7,8,16,65536,region32_avx2,0.0770607515,0.076850057,0.077372044,tile8_avx2,0.188378215,0.4090746453882685
avx2,0,10,2,8,32,65536,tile8_avx2,0.103216637,0.102773551,0.103815775,tile8_avx2,0.103216637,1.0
avx2,0,10,2,8,32,65536,region32_avx2,0.07465707499999999,0.074492976,0.07524813,tile8_avx2,0.103216637,0.7233046645377527
avx2,0,10,2,8,64,65536,tile8_avx2,0.20632982249999998,0.20606067,0.206824876,tile8_avx2,0.20632982249999998,1.0
avx2,0,10,2,8,64,65536,region32_avx2,0.1034240985,0.103214175,0.103557505,tile8_avx2,0.20632982249999998,0.5012561792903205
avx2,0,17,1,16,32,65536,tile8_avx2,0.08463502349999999,0.084543847,0.085402306,tile8_avx2,0.08463502349999999,1.0
avx2,0,17,1,16,32,65536,region32_avx2,0.071053922,0.070868105,0.071695011,tile8_avx2,0.08463502349999999,0.8395333168425246
avx2,0,18,2,16,32,65536,tile8_avx2,0.1249706465,0.124746624,0.125480097,tile8_avx2,0.1249706465,1.0
avx2,0,18,2,16,32,65536,region32_avx2,0.10452196550000001,0.103992432,0.105462924,tile8_avx2,0.1249706465,0.8363721275939787
avx2,0,21,5,16,32,65536,tile8_avx2,0.1813323985,0.181150757,0.182301499,tile8_avx2,0.1813323985,1.0
avx2,0,21,5,16,32,65536,region32_avx2,0.127017047,0.126865469,0.127430372,tile8_avx2,0.1813323985,0.700465267380225
avx2,0,23,7,16,32,65536,tile8_avx2,0.1813916305,0.181126758,0.181825407,tile8_avx2,0.1813916305,1.0
avx2,0,23,7,16,32,65536,region32_avx2,0.1270769125,0.126738504,0.127280019,tile8_avx2,0.1813916305,0.7005665705177064
avx2,0,18,2,16,64,65536,tile8_avx2,0.251004603,0.250009209,0.252155721,tile8_avx2,0.251004603,1.0
avx2,0,18,2,16,64,65536,region32_avx2,0.135841664,0.135677151,0.137589276,tile8_avx2,0.251004603,0.5411919238787825
avx2,16,10,2,8,16,256,tile8_avx2,0.10285671800000001,0.102526043,0.103596322,tile8_avx2,0.10285671800000001,1.0
avx2,16,10,2,8,16,256,region32_avx2,0.0587532465,0.058620423,0.05956728,tile8_avx2,0.10285671800000001,0.5712144781831362
avx2,16,9,1,8,16,256,tile8_avx2,0.058019390500000004,0.057883985,0.05838774,tile8_avx2,0.058019390500000004,1.0
avx2,16,9,1,8,16,256,region32_avx2,0.028193486,0.028096991,0.028296145,tile8_avx2,0.058019390500000004,0.48593212987992346
avx2,16,13,5,8,16,256,tile8_avx2,0.186423544,0.186033055,0.186905898,tile8_avx2,0.186423544,1.0
avx2,16,13,5,8,16,256,region32_avx2,0.077036355,0.07673829,0.077477686,tile8_avx2,0.186423544,0.4132329712603254
avx2,16,15,7,8,16,256,tile8_avx2,0.184077017,0.18301966,0.185576938,tile8_avx2,0.184077017,1.0
avx2,16,15,7,8,16,256,region32_avx2,0.07697160550000001,0.076842152,0.07766857,tile8_avx2,0.184077017,0.4181489180694405
avx2,16,10,2,8,32,256,tile8_avx2,0.1028977525,0.102682799,0.103314616,tile8_avx2,0.1028977525,1.0
