input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:values_per_batch,counter:source_bytes,counter:encoded_bytes,counter:input_page_offset,counter:output_page_offset
scan,scan_grain/k4/bound/decode/256,1,5,"[8.893250881201444,8.876314687503813,8.873204183623274,8.874316230368622,8.873076627935811]",8.874316230368622,"[8.893887643249393,8.876360297564103,8.872946531299982,8.874064676315264,8.872819991973005]",8.874064676315264,"[0.03473926125469314,0.034673104248061776,0.034660953842278415,0.03466529777487744,0.03466045557787427]",0.03466529777487744,256.0,256.0,128.0,512.0,704.0
scan,scan_grain/k4/bound/decode/65536,1,5,"[1320.8831085541824,1319.141507120627,1319.1236253890406,1319.4291238328774,1319.6933320758274]",1319.4291238328774,"[1324.6997830784767,1319.8002829375207,1319.1286239780834,1319.3908516426463,1319.7032349335243]",1319.7032349335243,"[0.02015507672964756,0.02012850200074199,0.02012822914717164,0.02013289068348507,0.020136922181332815]",0.02013289068348507,65536.0,65536.0,32768.0,1536.0,1600.0
scan,scan_grain/k4/bound/decode/8192,1,5,"[166.39814315891863,166.5615823681162,166.7632694517694,166.55167826198922,166.41744114519526]",166.55167826198922,"[166.39343429791847,166.5566279307655,166.76457124349315,166.5469384062107,166.41754605151414]",166.5469384062107,"[0.020312273334828934,0.020332224410170432,0.020356844415499193,0.02033101541284048,0.020314629046044346]",0.02033101541284048,8192.0,8192.0,4096.0,1344.0,1408.0
scan,scan_grain/k4/bound/encode/256,1,5,"[6.687884360483294,6.737120117641616,6.715594168848106,6.659134751039584,6.721917728775038]",6.715594168848106,"[6.68768361859692,6.736924041961468,6.715598739840379,6.658934866196108,6.721721843551809]",6.715598739840379,"[0.026124548283137868,0.026316875459537557,0.026232789722062916,0.026012245121248372,0.02625749112802749]",0.026232789722062916,256.0,256.0,128.0,192.0,512.0
scan,scan_grain/k4/bound/encode/65536,1,5,"[1026.5377426417629,1027.4703980720917,1026.145004628746,1026.1968465754626,1023.2477627731305]",1026.1968465754626,"[1026.8632830315235,1027.4415235196905,1026.114175715064,1026.5316591490096,1023.2188882192969]",1026.5316591490096,"[0.015663722879665568,0.015677954072144954,0.01565773017316812,0.01565852121849766,0.015613521770830238]",0.01565852121849766,65536.0,65536.0,32768.0,1472.0,1536.0
scan,scan_grain/k4/bound/encode/8192,1,5,"[116.01302263782843,115.6715261192774,115.67058427797778,115.57035890880972,116.05918127081299]",115.6715261192774,"[116.00969423815326,115.66807157992402,115.66729287919672,115.56711628370095,116.38796965944185]",115.66807157992402,"[0.01416174592746929,0.014120059340732107,0.014119944369870335,0.014107709827735564,0.01416738052622229]",0.014120059340732107,8192.0,8192.0,4096.0,1280.0,1344.0
scan,scan_grain/k4/native/decode/256,1,5,"[5.016422771809092,5.015897996044084,5.016598681949487,5.008248823560376,5.015343241328463]",5.015897996044084,"[5.016455345100025,5.015754370925855,5.0167730787363745,5.0081052705197715,5.015407306920826]",5.015754370925855,"[0.019595401452379268,0.019593351547047205,0.019596088601365184,0.019563471967032717,0.019591184536439307]",0.019593351547047205,256.0,256.0,128.0,512.0,704.0
scan,scan_grain/k4/native/decode/65536,1,5,"[1168.5394701632365,1168.633144902329,1162.586784185174,1180.4091182766922,1178.4116436981526]",1168.633144902329,"[1168.5488192406538,1168.5997959570348,1162.553585763447,1180.3756188116122,1178.3769567842473]",1168.5997959570348,"[0.017830497286426338,0.01783192664951063,0.017739666506731783,0.018011613743235663,0.017981134699984018]",0.01783192664951063,65536.0,65536.0,32768.0,1536.0,1600.0
scan,scan_grain/k4/native/decode/8192,1,5,"[139.42055615191327,139.2887964034632,139.60197017944688,140.34430564967315,139.54900761405537]",139.54900761405537,"[139.4165102475247,139.28477048884147,139.6022040582903,140.78286647507707,139.57736492493729]",139.57736492493729,"[0.017019110858387854,0.01700302690471963,0.01704125612542076,0.017131873248251116,0.01703479096851262]",0.01703479096851262,8192.0,8192.0,4096.0,1344.0,1408.0
scan,scan_grain/k4/native/encode/256,1,5,"[3.5737099322702224,3.5219001599477853,3.5390280382677672,3.5636839497995463,3.5096875928582287]",3.5390280382677672,"[3.57360650335743,3.5217931893067544,3.5389273298267003,3.5635819581183963,3.509587038406465]",3.5389273298267003,"[0.01395980442293056,0.013757422499796038,0.013824328274483466,0.013920640428904476,0.013709717159602456]",0.013824328274483466,256.0,256.0,128.0,192.0,512.0
scan,scan_grain/k4/native/encode/65536,1,5,"[1011.919569568117,1012.7990254372504,1013.1509847144475,1013.7742843054768,1013.0473794123556]",1013.0473794123556,"[1011.9399744735092,1012.7704556656541,1013.1410360509357,1013.7438437221888,1013.0178234749575]",1013.0178234749575,"[0.015440667260255692,0.015454086691852576,0.015459457164221918,0.015468967961204177,0.015457876272771539]",0.015457876272771539,65536.0,65536.0,32768.0,1472.0,1536.0
scan,scan_grain/k4/native/encode/8192,1,5,"[115.08565264151878,115.16631308693124,114.103039255548,113.4215167750903,113.63470240281114]",114.103039255548,"[115.08241140279813,115.51303217313844,114.13332196633864,113.41824274716514,113.63135295880353]",114.13332196633864,"[0.014048541582216648,0.014058387827994536,0.013928593659124511,0.013845399996959268,0.013871423633155659]",0.013928593659124511,8192.0,8192.0,4096.0,1280.0,1344.0
scan,scan_grain/k4/predecessor128/decode/256,1,5,"[4.879835456552116,4.875299046753541,4.878869092264022,4.879744029577887,4.880037837238142]",4.879744029577887,"[4.879806166435854,4.875158105557305,4.8787300339992505,4.879603297586307,4.8798978723767545]",4.879603297586307,"[0.019061857252156703,0.019044136901381018,0.019058082391656336,0.019061500115538622,0.01906264780171149]",0.019061500115538622,256.0,256.0,128.0,512.0,704.0
