dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
wikileaks-noquotes_srt,cheap,full,predict-then-encode,4,16,512,8192,8192,4855296,6515353,795.331,18110977,81103655,6527698,6527698,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict,0,16,8192,131072,0,2752512,7700573,58.7507,21498950,98681135,7723437,7723437,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict,1,16,8192,131072,0,2752512,7724228,58.9312,21493378,98681135,7736471,7736471,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict,2,16,8192,131072,0,2752512,7722357,58.9169,21490266,98681127,7734560,7734560,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict,3,16,8192,131072,0,2752512,7736730,59.0266,21496622,98681127,7744957,7744957,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict,4,16,8192,131072,0,2752512,7753122,59.1516,21467379,98681127,7750779,7750779,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,0,16,1024,16384,16384,9710592,8209704,501.081,22920991,97641767,8231293,8231293,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,1,16,1024,16384,16384,9710592,8236880,502.739,22921626,97641767,8248916,8248916,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,2,16,1024,16384,16384,9710592,8216445,501.492,22870480,97641767,8228859,8228859,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,3,16,1024,16384,16384,9710592,8266889,504.571,22897511,97641767,8263946,8263946,available,0,0,unestablished
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,4,16,1024,16384,16384,9710592,8230975,502.379,22898039,97641767,8243423,8243423,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict,0,16,256,4096,0,69888,5245506,1280.64,14645489,58560039,5267592,5267592,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict,1,16,256,4096,0,69888,5271111,1286.89,14636074,58560039,5283496,5283496,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict,2,16,256,4096,0,69888,5266498,1285.77,14634788,58560039,5278658,5278658,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict,3,16,256,4096,0,69888,5275523,1287.97,14635404,58560039,5287888,5287888,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict,4,16,256,4096,0,69888,5270074,1286.64,14631001,58560039,5282707,5282707,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,0,16,256,4096,4096,2427648,7111916,1736.31,19747887,79886631,7120371,7120371,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,1,16,256,4096,4096,2427648,7137293,1742.5,19749857,79886631,7139501,7139501,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,2,16,256,4096,4096,2427648,7099119,1733.18,19747002,79886631,7111679,7111679,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,3,16,256,4096,4096,2427648,7098328,1732.99,19746749,79886631,7110916,7110916,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,4,16,256,4096,4096,2427648,7103988,1734.37,19747606,79886631,7116501,7116501,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict,0,16,2048,32768,0,688128,5967240,182.106,16658056,63535399,5989697,5989697,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict,1,16,2048,32768,0,688128,5994735,182.945,16662284,63535399,6006391,6006391,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict,2,16,2048,32768,0,688128,5998183,183.05,16667177,63535399,6013329,6013329,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict,3,16,2048,32768,0,688128,6568199,200.446,16675548,63535399,6035036,6035036,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict,4,16,2048,32768,0,688128,5996238,182.991,16661109,63535399,6007856,6007856,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,0,16,512,8192,8192,4855296,5112514,624.086,14269431,58537255,5136627,5136627,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,1,16,512,8192,8192,4855296,5132726,626.553,14249317,58537255,5146075,5146075,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,2,16,512,8192,8192,4855296,5127944,625.97,14240366,58537255,5140150,5140150,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,3,16,512,8192,8192,4855296,5138854,627.302,14257085,58537255,5151223,5151223,available,0,0,unestablished
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,4,16,512,8192,8192,4855296,5139708,627.406,14266855,58537255,5152232,5152232,available,0,0,unestablished
