dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,dispersed32,union,local-inline,complete,5,3199.3,3184.07,3220.64,8888.82373046875,25.652065844017354
census-income,dispersed32,union,local-point,complete,5,3344.27,3331.39,3363.35,9299.07861328125,26.81443885855403
census-income,dispersed32,union,mixed-frame,complete,5,3241.99,3225.99,3263.79,9009.90234375,25.99435531073854
census-income,dispersed32,union,mixed-frame-point,complete,5,3204.56,3191.17,3207.02,8908.78271484375,25.69424065298792
census-income,dispersed32,union,mixed-point-frame,complete,5,3276.44,3265.27,3299.14,9112.71484375,26.270576255422192
census-income,dispersed32,union,plain,complete,5,124.719,123.73,125.338,347.08741760253906,1.0
census-income,dispersed32,union,plain,selected,5,67.5731,67.061,67.9877,187.3543243408203,1.0
census-income,none,intersection,bec-plain-frame,complete,5,65.9199,63.3481,66.446,184.1214141845703,1.1675256636415805
census-income,none,intersection,local-frame,complete,5,61.9666,61.3162,62.9045,171.58846282958984,1.0975076689833019
census-income,none,intersection,local-frame,selected,5,4.63376,4.62149,4.67656,12.905487060546875,2.032511338614452
census-income,none,intersection,local-inline,complete,5,61.356,60.7737,63.0069,170.85697174072266,1.0866931627383054
census-income,none,intersection,local-point,complete,5,62.0525,61.9438,62.1721,172.6321563720703,1.09902906774918
census-income,none,intersection,mixed-frame,complete,5,62.6644,61.3726,63.6909,174.34789276123047,1.1098665986553597
census-income,none,intersection,mixed-frame-point,complete,5,62.8966,62.2085,63.6704,174.3777084350586,1.1139791573682458
census-income,none,intersection,mixed-point-frame,complete,5,61.5102,61.4269,62.8647,171.20767974853516,1.089424241780196
census-income,none,intersection,plain,complete,5,56.4612,53.2969,58.9232,155.98553466796875,1.0
census-income,none,intersection,plain,selected,5,2.27982,2.27463,2.28381,6.338749647140503,1.0
census-income,none,union,bec-plain-frame,complete,5,63.4729,62.9917,63.9476,176.6395263671875,1.1385130590288552
census-income,none,union,local-frame,complete,5,59.0201,58.8707,59.5808,164.44371032714844,1.058643209861042
census-income,none,union,local-frame,selected,5,4.64015,4.62329,4.65924,12.91944932937622,2.0258152114594568
census-income,none,union,local-inline,complete,5,60.9273,60.7041,61.3516,169.5199432373047,1.0928526457963756
census-income,none,union,local-point,complete,5,58.7346,58.3188,59.0238,163.3174591064453,1.0535221979275595
census-income,none,union,mixed-frame,complete,5,62.0759,61.3582,63.1377,172.47173309326172,1.1134550776940917
census-income,none,union,mixed-frame-point,complete,5,62.6137,62.127,62.9902,174.22405242919922,1.1231015933432227
census-income,none,union,mixed-point-frame,complete,5,61.7612,61.2172,62.1513,172.4347152709961,1.1078103055208275
census-income,none,union,plain,complete,5,55.7507,55.4571,57.7159,155.10768127441406,1.0
census-income,none,union,plain,selected,5,2.29051,2.2897,2.29782,6.375375509262085,1.0
census-income,single255,intersection,bec-plain-frame,complete,5,108.502,105.943,112.795,301.71827697753906,1.8094432854214924
census-income,single255,intersection,local-frame,complete,5,113.374,108.814,114.112,311.17828369140625,1.890691628185437
census-income,single255,intersection,local-frame,selected,5,44.3547,44.2961,44.5086,123.09440612792969,13.153513558397192
census-income,single255,intersection,local-inline,complete,5,104.679,98.739,105.721,291.2456817626953,1.7456886847674367
census-income,single255,intersection,local-point,complete,5,103.297,100.812,104.339,287.31549072265625,1.7226416384415393
census-income,single255,intersection,mixed-frame,complete,5,108.159,107.366,111.485,299.5453338623047,1.8037232153131113
census-income,single255,intersection,mixed-frame-point,complete,5,111.222,110.339,112.568,306.80078125,1.8548036081468473
census-income,single255,intersection,mixed-point-frame,complete,5,106.059,105.311,106.78,294.8001251220703,1.7687023779148592
census-income,single255,intersection,plain,complete,5,59.9643,59.3584,60.1173,166.50907135009766,1.0
census-income,single255,intersection,plain,selected,5,3.37208,3.36918,3.37561,9.375731468200684,1.0
census-income,single255,union,bec-plain-frame,complete,5,108.643,107.453,111.999,302.24456787109375,1.8658686336977148
census-income,single255,union,local-frame,complete,5,159.302,156.733,160.007,439.4138488769531,2.7359020377319605
census-income,single255,union,local-frame,selected,5,93.8163,93.7655,93.8529,260.7797393798828,27.83255308923263
census-income,single255,union,local-inline,complete,5,151.647,149.562,154.432,420.04542541503906,2.6044326895829215
census-income,single255,union,local-point,complete,5,150.093,149.683,150.932,417.38929748535156,2.5777438108077932
census-income,single255,union,mixed-frame,complete,5,158.444,155.238,159.879,439.9791564941406,2.7211664791804417
census-income,single255,union,mixed-frame-point,complete,5,149.784,147.047,151.356,416.4576873779297,2.572436948811967
census-income,single255,union,mixed-point-frame,complete,5,153.365,150.321,155.922,427.8870391845703,2.6339381553072916
census-income,single255,union,plain,complete,5,58.2265,58.0595,59.4866,161.97838592529297,1.0
census-income,single255,union,plain,selected,5,3.37074,3.36166,3.40562,9.378658771514893,1.0
census-income_srt,all,intersection,bec-plain-frame,complete,5,5621.99,5592.78,5660.62,15614.421875,14.343604175011672
census-income_srt,all,intersection,local-frame,complete,5,1667.15,1655.83,1677.11,4635.08544921875,4.2534653566389675
census-income_srt,all,intersection,local-frame,selected,5,1669.29,1667.3,1676.86,4635.6591796875,4.278486463211152
census-income_srt,all,intersection,local-inline,complete,5,1120.32,1117.14,1120.62,3117.256591796875,2.858316473232623
census-income_srt,all,intersection,local-point,complete,5,3782.44,3770.48,3806.51,10522.09716796875,9.650287918642892
census-income_srt,all,intersection,mixed-frame,complete,5,1643.45,1635.59,1657.57,4569.569580078125,4.192998614622746
census-income_srt,all,intersection,mixed-frame-point,complete,5,2085.37,2077.3,2111.95,5805.20361328125,5.320486489382601
census-income_srt,all,intersection,mixed-point-frame,complete,5,2728.54,2721.91,2744.6,7576.8447265625,6.961431403415222
census-income_srt,all,intersection,plain,complete,5,391.951,389.072,397.307,1089.0074462890625,1.0
census-income_srt,all,intersection,plain,selected,5,390.159,388.851,391.293,1084.3248291015625,1.0
census-income_srt,all,union,bec-plain-frame,complete,5,5684.85,5657.56,5690.62,15797.349609375,14.455115491410613
census-income_srt,all,union,local-frame,complete,5,8471.45,8448.44,8519.83,23581.8837890625,21.540724580193046
census-income_srt,all,union,local-frame,selected,5,8471.0,8440.94,8511.99,23576.626953125,21.686370688198583
census-income_srt,all,union,local-inline,complete,5,8231.67,8228.59,8252.0,22906.482421875,20.9310255393159
census-income_srt,all,union,local-point,complete,5,10567.6,10511.2,10674.9,29350.015625,26.87069640659486
census-income_srt,all,union,mixed-frame,complete,5,8466.49,8436.4,8505.33,23557.2001953125,21.52811257234105
census-income_srt,all,union,mixed-frame-point,complete,5,8864.46,8843.88,8911.01,24674.572265625,22.54004821041711
census-income_srt,all,union,mixed-point-frame,complete,5,9603.12,9576.46,9674.19,26736.556640625,24.41827113782687
census-income_srt,all,union,plain,complete,5,393.276,391.834,395.699,1092.5967407226562,1.0
census-income_srt,all,union,plain,selected,5,390.614,389.072,391.436,1084.9544677734375,1.0
census-income_srt,cluster32,intersection,bec-plain-frame,complete,5,187.898,187.223,190.123,523.1001586914062,1.8076501260269755
census-income_srt,cluster32,intersection,local-frame,complete,5,229.932,226.128,232.702,641.6800231933594,2.212033171069594
census-income_srt,cluster32,intersection,local-frame,selected,5,158.928,157.617,159.552,440.2127990722656,3.342847587537098
census-income_srt,cluster32,intersection,local-inline,complete,5,148.866,144.692,154.077,414.1136016845703,1.4321474611817677
census-income_srt,cluster32,intersection,local-point,complete,5,498.127,496.429,499.563,1383.6988525390625,4.79217093490851
census-income_srt,cluster32,intersection,mixed-frame,complete,5,227.401,226.153,230.734,628.6783142089844,2.187683989763916
census-income_srt,cluster32,intersection,mixed-frame-point,complete,5,275.216,274.167,277.021,765.7481079101562,2.647682450503146
census-income_srt,cluster32,intersection,mixed-point-frame,complete,5,361.712,358.216,363.413,1003.7376708984375,3.479806822773363
census-income_srt,cluster32,intersection,plain,complete,5,103.946,95.6562,106.396,289.0335998535156,1.0
census-income_srt,cluster32,intersection,plain,selected,5,47.5427,46.6007,47.8835,132.2350082397461,1.0
census-income_srt,cluster32,union,bec-plain-frame,complete,5,210.162,204.782,213.207,580.8436584472656,2.0870109235352534
census-income_srt,cluster32,union,local-frame,complete,5,525.598,520.611,535.231,1460.9342651367188,5.2194438927507445
census-income_srt,cluster32,union,local-frame,selected,5,454.518,452.734,457.484,1264.3209838867188,9.596295913132153
census-income_srt,cluster32,union,local-inline,complete,5,464.752,459.867,467.0,1293.1088256835938,4.615213505461767
census-income_srt,cluster32,union,local-point,complete,5,785.101,782.203,790.509,2181.3846435546875,7.79643495531281
census-income_srt,cluster32,union,mixed-frame,complete,5,531.614,528.283,536.213,1479.69482421875,5.279185700099305
census-income_srt,cluster32,union,mixed-frame-point,complete,5,573.4,570.429,575.751,1595.3225708007812,5.694141012909633
census-income_srt,cluster32,union,mixed-point-frame,complete,5,641.813,639.693,642.58,1783.8045654296875,6.3735153922542205
census-income_srt,cluster32,union,plain,complete,5,100.7,97.1795,106.574,279.80747985839844,1.0
census-income_srt,cluster32,union,plain,selected,5,47.3639,46.291,47.7617,131.8435516357422,1.0
census-income_srt,dispersed32,intersection,bec-plain-frame,complete,5,963.533,959.89,969.863,2680.8157958984375,7.411849321917861
census-income_srt,dispersed32,intersection,local-frame,complete,5,539.552,536.621,544.425,1501.8087768554688,4.150431926399434
census-income_srt,dispersed32,intersection,local-frame,selected,5,456.49,454.643,459.265,1269.622314453125,6.81590821540235
census-income_srt,dispersed32,intersection,local-inline,complete,5,443.979,438.018,444.792,1229.8405151367188,3.4152493480719084
census-income_srt,dispersed32,intersection,local-point,complete,5,594.697,590.978,597.33,1654.9263305664062,4.5746274971345935
census-income_srt,dispersed32,intersection,mixed-frame,complete,5,541.679,535.845,543.074,1502.7618408203125,4.166793590719928
census-income_srt,dispersed32,intersection,mixed-frame-point,complete,5,488.065,482.284,496.708,1357.797119140625,3.7543750336541053
census-income_srt,dispersed32,intersection,mixed-point-frame,complete,5,551.163,548.141,553.459,1533.1054077148438,4.239747998061524
census-income_srt,dispersed32,intersection,plain,complete,5,129.999,129.342,130.649,361.5119934082031,1.0
census-income_srt,dispersed32,intersection,plain,selected,5,66.9742,66.5258,67.3388,186.00450134277344,1.0
census-income_srt,dispersed32,union,bec-plain-frame,complete,5,983.13,973.09,997.466,2719.362548828125,7.80844439502486
census-income_srt,dispersed32,union,local-frame,complete,5,1458.54,1450.68,1471.2,4051.94091796875,11.584356583482915
census-income_srt,dispersed32,union,local-frame,selected,5,1379.87,1372.47,1389.97,3833.465087890625,20.47014563358844
census-income_srt,dispersed32,union,local-inline,complete,5,1364.9,1358.23,1376.07,3790.99560546875,10.840627134528935
census-income_srt,dispersed32,union,local-point,complete,5,1491.01,1489.7,1507.51,4139.0693359375,11.842247390910678
census-income_srt,dispersed32,union,mixed-frame,complete,5,1428.2,1419.45,1491.76,3971.015869140625,11.34338315886455
census-income_srt,dispersed32,union,mixed-frame-point,complete,5,1394.06,1384.33,1403.26,3870.230224609375,11.072228487919558
census-income_srt,dispersed32,union,mixed-point-frame,complete,5,1451.76,1443.35,1463.97,4031.161376953125,11.530506886089622
census-income_srt,dispersed32,union,plain,complete,5,125.906,125.306,126.52,350.23272705078125,1.0
census-income_srt,dispersed32,union,plain,selected,5,67.4089,67.0051,68.3405,187.2221221923828,1.0
census-income_srt,none,intersection,bec-plain-frame,complete,5,63.4237,63.0514,64.5457,176.44004821777344,1.1383472492443767
census-income_srt,none,intersection,local-frame,complete,5,61.8265,61.2851,62.3918,172.03793334960938,1.1096802331842428
census-income_srt,none,intersection,local-frame,selected,5,4.64919,4.62705,4.66363,12.916268825531006,1.8897763578274762
census-income_srt,none,intersection,local-inline,complete,5,60.1735,60.0588,62.1894,167.55543518066406,1.0800117022880484
census-income_srt,none,intersection,local-point,complete,5,62.1282,61.5654,62.9353,172.89654541015625,1.1150952336508984
