node,tx,n,p50_us,p99_us,max_us
0,0,43120,8.009,12.595404999999998,574.3905
0,1,43120,2.2315,4.7695,10.2495
1,0,43120,7.461,15.090214999999997,260.424
1,1,43120,2.2795,5.384904999999999,13.7775
2,0,43120,8.79,19.838119999999996,1522.6105
2,1,43120,3.24125,8.619809999999998,21.9475
3,0,43120,8.197,15.157619999999994,1398.22
3,1,43120,2.41425,5.509214999999997,15.6265
4,0,43120,10.184249999999999,24.362574999999982,416.6155
4,1,43120,2.5965,9.21978999999998,33.036
5,0,43120,12.195,24.443,187.752
5,1,43120,2.773,12.601619999999995,122.8905
6,0,43120,7.6935,13.421119999999995,1561.04
6,1,43120,2.287,4.738,13.1095
7,0,43120,8.492,18.906714999999995,239.0965
7,1,43120,2.559,6.237619999999995,16.688
8,0,43120,8.51675,18.26095999999996,1593.975
8,1,43120,2.663,7.133404999999999,22.1975
9,0,43120,7.8975,15.118214999999996,1649.788
9,1,43120,2.508,5.779219999999972,58.747
10,0,43120,8.7895,17.779,270.5975
10,1,43120,2.5295,7.23264499999999,20.927
11,0,43120,9.37275,21.72973999999999,2868.269
11,1,43120,3.10625,8.627549999999989,23.6625
