node,reference,samples,drift_ppm,point_model_drift_ppm,fit_residual_p50_us,fit_residual_p99_us,anchor_halfwidth_p50_us,anchor_halfwidth_max_us,max_gap_ms,assumed_rate_envelope_ppm,errors,wall_rate_lower_bound_max_ppm,phc_error_p50_us,ntp_strata,ntp_root_distance_p50_us
0,phc+ntp,3767,1.3303380608027133,1.3305781023803622,0.8493926107246335,2.576103526546957,27.39527289999998,2785.962316484375,202.8848105,99.99999999999999,2643,0.524066386214287,24.613,1,30.517578125
1,phc+ntp,3642,-3.3980123708104983,-3.3985498363783337,1.032090527540946,2.7625678853536306,28.055687299999995,6565.801821834374,204.2074915,99.99999999999999,2556,3.4293150529709373,25.138,1,30.517578125
2,phc+ntp,3989,5.254622502551296,5.253958138125014,1.1384518518217375,4.2843248137812955,27.358301700000187,4907.070744484375,203.320285,99.99999999999999,2803,4.1877423911715566,23.955,1,30.517578125
3,phc+ntp,1536,-0.13847110353119169,-1.735421550855678,199.8961470574683,1349.9495997075512,29.832345100000005,69027.64681293437,2004.0130005,99.99999999999999,4120,1.057740138194747,23.7265,1,30.517578125
4,ntp,548,-5.608820797756619,-5.698260376975075,18.313992247723277,501.2025659006125,443.720843740625,3611.1471872406246,2008.126819,99.99999999999999,2583,4.472619640878194,,3,328.06396484375
5,ntp,441,-29.701227273077784,-29.68972202865884,22.450172127647907,756.7474648216657,444.8647051093746,3278.607890265625,2056.028443,99.99999999999999,2074,28.661689575752487,,3,343.32275390625
6,phc+ntp,2940,3.8941237148500814,3.8943512836758396,0.42116212940361586,1.8507302086355404,26.974271050000098,3165.736307684375,202.903315,99.99999999999999,2052,3.2145328190174,23.1,1,30.517578125
7,phc+ntp,2747,1.1261226663271602,1.126963207717442,0.3955568388376728,1.4159889950370237,27.029169699999997,2249.1305394343754,203.0314485,99.99999999999999,1915,2.880002863830924,23.783,1,30.517578125
8,phc+ntp,2588,-0.13583692702362246,-0.13465837906216005,0.23543767925430895,1.415322267721359,26.821231200000003,1755.9030032343749,202.924162,99.99999999999999,1800,0.0,23.0805,1,30.517578125
9,phc+ntp,2356,-3.587165144545907,-3.5865527875940675,0.37668644892112935,1.3377827040711325,26.838638899999992,4402.665966934375,202.886818,99.99999999999999,1638,2.7104482088005506,24.144,1,30.517578125
10,phc+ntp,2136,0.4188665763462359,0.4197861039544821,0.2668952460733672,0.8852188543010573,26.60919465,6851.111468634374,202.9215975,99.99999999999999,1478,0.0,22.948,1,30.517578125
11,phc+ntp,1943,-3.135560689166286,-3.1348994383383486,0.3753468944174965,1.3189722256050913,27.389626749999994,20851.236149334378,202.894494,99.99999999999999,1339,3.683832968903418,25.081,1,30.517578125
