az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
1,1,7840,20.592499541479746,0.0,41.45680331531531,23.5122964034174,0.0,44.37914798282283,26.333949035145775,0.0,47.56712837007007,16.280036305561197,64.53422764773492,-39.03437794729736,80.70925261241223,17.954896561022792,23.409729567055532
1,2,15680,203.1236400712341,93.16453065690678,320.35708350279845,222.55769937166485,134.59455024193173,428.949379278898,247.73489391408677,147.9995190195504,461.980675521022,164.76590893077943,298.417748020333,93.16453065690678,320.35708350279845,170.13677694127801,232.86482495186735
1,3,15680,253.153021997993,0.0,487.044389727027,263.15249034288064,0.0,524.0471625695095,269.650141581468,0.0,529.8692587941422,239.8577459824581,400.5697397420443,-218.3130349234451,736.7372168765107,242.40111126293357,267.51757948171576
1,4,15680,177.4830812432567,117.79950407802791,238.22051813108098,186.42237098915328,133.07548478141132,252.38576111313319,205.1815615263701,152.9861070248208,268.99302294049147,166.66686375463433,251.0556525295314,117.79950407802791,238.22051813108098,170.5539234333561,201.52215502578107
1,5,15680,119.07430519915727,58.94582320100092,180.62617403268268,124.38186499136351,70.16940124801813,190.53927084645645,134.03098889364077,79.47681293635955,199.83483197246758,112.47810920427972,170.22711002758226,58.94582320100092,180.62617403268268,115.4292119665862,123.08678731023019
1,6,15680,270.62515348959505,212.38425408838833,332.71493633498494,295.04356367591987,241.61393426376364,361.44335652144133,374.67051346527285,317.1127020318179,440.7626792852982,251.93097165703773,1265.4679063006276,212.38425408838833,332.71493633498494,256.96746090349836,366.1953320272654
2,1,15680,205.21041253726833,94.04952814014,335.4466970193648,238.76517089939188,132.18665807268252,448.3711781288689,298.7442080851031,143.43844202768,513.5824273326732,160.60914222506923,380.4902394200959,94.04952814014,335.4466970193648,163.94265150721498,239.97682158438118
2,2,7840,153.6769121743145,0.0,307.18973893543546,176.22229451955945,0.0,336.48378559098103,237.49978842553546,40.60556652940343,403.1053898874003,123.9188165615187,294.82413604015716,-62.783863653444115,368.7445505177084,129.09887668342864,173.9989741075508
2,3,15680,382.32873522646173,0.0,706.8230528064064,438.2291051929387,0.0,855.6194006206607,462.92866848754477,15.879528860810296,892.0835918148789,300.9831667218893,2608.8295190326685,-184.89660011338174,963.5380978229045,306.6325260627802,459.27087994015614
2,4,15680,169.91130542994142,38.21488046296761,309.4407005673173,213.14247634932988,83.82509735028883,416.3600557792283,270.42002950677426,150.15678958439725,471.21404032020297,98.6911013265336,393.7484819743468,38.21488046296761,334.0019782443397,102.07135661120248,212.87491018509283
2,5,15680,176.51747273001982,58.251997416271145,314.3170949338339,218.85761862628215,83.86688959932947,416.98209184642644,278.43908267400684,99.22974411480385,485.867391186387,124.3537946144808,787.9734123790695,58.251997416271145,316.5348328382837,127.19608564825683,223.0149234318503
2,6,15680,423.0394379333445,263.5630755508009,565.2640783987486,478.2001166892175,411.8135323944147,700.4294324261268,509.27542479737025,443.59409140408616,852.1389561247855,322.0579155843216,611.342884449455,263.5630755508009,565.2640783987486,327.28058071759204,495.19259122990746
3,1,15680,239.657789549561,0.0,487.044389727027,262.5207369481873,0.0,524.0471625695095,266.4126677775131,0.0,529.8692587941422,224.2616230976619,1524.4353863502993,-237.9385651146304,720.8333534466124,227.28300304073468,263.48256718910835
