node,n,p50_us,p99_us,min_us,max_us
0,43120,6.604090859081451,9.577088827685232,3.3952548223327033,19.167443015594035
1,43120,6.500619181629736,12.03448834651227,0.9749949957875069,1301.3579010601463
2,43120,8.36913369293441,15.862167915446017,-7.739161182889016,41.876947221247015
3,43120,6.902185430737445,12.254252265810567,2.8805944882035255,59.7058269114811
6,43120,6.031477501728222,9.896142894681516,3.4167251408946466,3397.8939229123625
7,43120,8.004364067737828,12.577250085677752,3.787686076550046,27.044544005527975
8,43120,7.387272134974699,13.641334404800798,-0.6236366594229621,3550.1276669915674
9,43120,6.70499875874148,12.191885573495059,1.1760473617006793,2070.9310625870794
10,43120,8.537618318124961,14.01876431454821,2.5432042712273106,1010.6744468203776
11,43120,9.152393338072986,14.949290362184794,3.1207527087865747,96.6620136924868
