dataset,model,scan,stage,repetitions,median_ns,min_ns,max_ns,cycles_per_call
msmarco,cheap,sample32,predict,5,140.794,140.528,140.916,392.16383361816406
msmarco,cheap,sample32,predict-then-encode,5,3400.24,3388.06,3401.72,9455.73779296875
msmarco,quadrants,full,predict,5,1620.36,1613.86,1625.09,4505.581298828125
msmarco,quadrants,full,predict-then-encode,5,4900.06,4863.96,4911.08,13589.4326171875
msmarco,quadrants,sample32,predict,5,244.06,243.773,247.863,678.2886962890625
msmarco,quadrants,sample32,predict-then-encode,5,3501.72,3490.45,3510.16,9738.69384765625
random_dense,cheap,full,encode,5,6419.05,6392.71,6420.64,17842.658203125
random_dense,cheap,full,predict,5,906.924,904.267,908.109,2521.2813720703125
random_dense,cheap,full,predict-then-encode,5,909.343,907.351,911.045,2525.0458984375
random_dense,cheap,sample32,predict,5,156.171,155.971,156.455,433.7026062011719
random_dense,cheap,sample32,predict-then-encode,5,156.628,155.824,157.914,435.0874328613281
random_dense,quadrants,full,predict,5,1740.97,1729.61,1762.0,4811.865478515625
random_dense,quadrants,full,predict-then-encode,5,1823.82,1817.64,1834.32,5072.05908203125
random_dense,quadrants,sample32,predict,5,254.939,254.173,256.593,709.7914733886719
random_dense,quadrants,sample32,predict-then-encode,5,253.843,253.134,255.401,706.5642395019531
structural,cheap,full,encode,5,6383.25,6350.07,6474.95,17735.603515625
structural,cheap,full,predict,5,903.817,901.656,904.432,2513.4327392578125
structural,cheap,full,predict-then-encode,5,905.812,902.432,911.797,2518.73828125
structural,cheap,sample32,predict,5,155.148,154.316,155.338,430.92498779296875
structural,cheap,sample32,predict-then-encode,5,155.716,155.628,156.899,432.2011413574219
structural,quadrants,full,predict,5,1705.92,1690.33,1717.91,4742.836669921875
structural,quadrants,full,predict-then-encode,5,1751.24,1746.17,1764.63,4866.9228515625
structural,quadrants,sample32,predict,5,254.962,254.556,256.263,709.0022277832031
structural,quadrants,sample32,predict-then-encode,5,254.664,254.229,256.69,707.7301635742188
terminal_mix,cheap,full,encode,5,1309.86,1302.58,1325.49,3633.85546875
terminal_mix,cheap,full,predict,5,393.261,391.532,395.891,1093.435791015625
terminal_mix,cheap,full,predict-then-encode,5,1699.71,1691.68,1709.21,4724.45703125
terminal_mix,cheap,sample32,predict,5,67.7739,67.5157,68.1616,188.67902374267578
terminal_mix,cheap,sample32,predict-then-encode,5,1383.08,1375.33,1402.41,3822.909423828125
terminal_mix,quadrants,full,predict,5,1346.82,1339.34,1358.79,3741.203369140625
terminal_mix,quadrants,full,predict-then-encode,5,2631.81,2619.1,2633.74,7307.70849609375
terminal_mix,quadrants,sample32,predict,5,192.248,191.394,192.316,534.2215270996094
terminal_mix,quadrants,sample32,predict-then-encode,5,1500.66,1499.69,1503.79,4170.087158203125
uscensus2000,cheap,full,encode,5,277.986,277.705,278.811,773.1320495605469
uscensus2000,cheap,full,predict,5,330.801,330.384,331.46,917.9960327148438
uscensus2000,cheap,full,predict-then-encode,5,600.228,598.695,602.473,1670.6815185546875
uscensus2000,cheap,sample32,predict,5,55.8311,55.6444,56.1643,155.25684356689453
uscensus2000,cheap,sample32,predict-then-encode,5,337.024,334.957,337.84,935.8490600585938
uscensus2000,quadrants,full,predict,5,1280.77,1272.87,1282.23,3555.193603515625
uscensus2000,quadrants,full,predict-then-encode,5,1574.98,1574.14,1577.18,4377.41064453125
uscensus2000,quadrants,sample32,predict,5,182.292,181.213,183.595,506.4303283691406
uscensus2000,quadrants,sample32,predict-then-encode,5,464.637,462.396,466.582,1291.1900634765625
weather_sept_85,cheap,full,encode,5,3545.74,3529.92,3564.5,9859.0
weather_sept_85,cheap,full,predict,5,634.166,631.11,639.464,1761.10205078125
weather_sept_85,cheap,full,predict-then-encode,5,4165.88,4151.04,4212.79,11591.9501953125
weather_sept_85,cheap,sample32,predict,5,110.217,109.729,111.15,306.4896697998047
weather_sept_85,cheap,sample32,predict-then-encode,5,3656.45,3642.05,3682.91,10167.49462890625
weather_sept_85,quadrants,full,predict,5,1501.83,1497.24,1511.06,4164.11474609375
weather_sept_85,quadrants,full,predict-then-encode,5,4982.13,4952.88,5019.56,13830.3408203125
weather_sept_85,quadrants,sample32,predict,5,219.952,219.128,221.214,611.9302368164062
weather_sept_85,quadrants,sample32,predict-then-encode,5,3766.32,3751.86,3783.94,10474.55322265625
weather_sept_85_srt,cheap,full,encode,5,1054.14,1051.31,1058.83,2932.962890625
weather_sept_85_srt,cheap,full,predict,5,392.611,390.884,395.32,1091.1736450195312
weather_sept_85_srt,cheap,full,predict-then-encode,5,1429.91,1422.21,1444.4,3973.81591796875
weather_sept_85_srt,cheap,sample32,predict,5,67.3903,67.2091,67.7164,187.62957000732422
weather_sept_85_srt,cheap,sample32,predict-then-encode,5,1121.22,1118.01,1126.45,3120.4666748046875
weather_sept_85_srt,quadrants,full,predict,5,1316.14,1303.75,1325.7,3656.123291015625
weather_sept_85_srt,quadrants,full,predict-then-encode,5,2343.21,2342.58,2352.11,6521.4443359375
weather_sept_85_srt,quadrants,sample32,predict,5,189.309,188.644,189.634,526.4175109863281
weather_sept_85_srt,quadrants,sample32,predict-then-encode,5,1241.43,1233.53,1252.5,3445.145263671875
wikileaks-noquotes,cheap,full,encode,5,523.846,522.76,526.245,1457.8643188476562
wikileaks-noquotes,cheap,full,predict,5,348.752,344.626,355.639,962.6907958984375
wikileaks-noquotes,cheap,full,predict-then-encode,5,877.057,874.107,881.764,2439.5950927734375
wikileaks-noquotes,cheap,sample32,predict,5,58.8159,58.5833,59.0332,163.5271224975586
wikileaks-noquotes,cheap,sample32,predict-then-encode,5,583.665,583.373,588.125,1623.8167724609375
wikileaks-noquotes,quadrants,full,predict,5,1292.36,1285.04,1292.77,3587.405029296875
wikileaks-noquotes,quadrants,full,predict-then-encode,5,1810.98,1804.64,1814.18,5036.887939453125
wikileaks-noquotes,quadrants,sample32,predict,5,183.892,183.755,185.265,510.6837158203125
wikileaks-noquotes,quadrants,sample32,predict-then-encode,5,707.458,706.653,713.824,1966.88671875
wikileaks-noquotes_srt,cheap,full,encode,5,444.936,443.358,447.076,1236.7689208984375
wikileaks-noquotes_srt,cheap,full,predict,5,339.867,337.983,342.664,944.22802734375
wikileaks-noquotes_srt,cheap,full,predict-then-encode,5,794.663,790.02,795.331,2208.8663330078125
wikileaks-noquotes_srt,cheap,sample32,predict,5,58.9312,58.7507,59.1516,163.98146057128906
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,5,502.379,501.081,504.571,1397.5853881835938
wikileaks-noquotes_srt,quadrants,full,predict,5,1286.64,1280.64,1287.97,3573.0966796875
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,5,1734.37,1732.99,1742.5,4821.19287109375
wikileaks-noquotes_srt,quadrants,sample32,predict,5,182.991,182.106,200.446,508.4925537109375
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,5,626.553,624.086,627.406,1740.3668212890625
