model,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
distance_enum_lowNone_aug0,real_validation,partial,15052,215112.00000000006,0.08657458672691432,0.05671248233478373,0.297948628948362,0.0,1.0,1.0,5.0,0.036674562553460514,0.0012752566105098736,0.03539930594295064,5.601733050689872e-05,5.601733050689872e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
distance_enum_lowNone_aug0,real_validation,census1881,8496,374528.0,0.04007653366370472,0.031973449248120296,0.20100317659011382,0.0,0.0,1.0,5.0,0.020103447539302804,0.00019140892002734108,0.01991203861927546,2.6700273410799726e-05,2.6700273410799726e-05,0.0,5.340054682159946e-06,5.340054682159946e-06,0.0,0.0,0.0,0.0
distance_enum_lowNone_aug0,real_validation,census1881_srt,12750,649471.9999999999,0.005563670951172645,0.0003457939680232558,0.07812868536833771,0.0,0.0,0.0,3.0,0.0005540415907075286,0.0003119995935159638,0.00024204199719156489,3.1564101300748918e-06,3.1564101300748918e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_enum_lowNone_aug0,real_test_comparison,partial,33018,96762.0,0.18508709514065438,0.06149641904880015,0.4719682953826305,0.0,1.0,2.0,5.0,0.012475956470515285,0.002268142452615696,0.01020781401789959,0.003893103697732581,0.0031671317252640495,0.000725971972468531,0.0008164362042950745,0.0006820859428287964,0.00013435026146627809,0.001570864595605713,0.00019635807445071411,0.0013745065211549989
distance_enum_lowNone_aug0,real_test_comparison,census-income,23134,133376.0,0.08684194307821497,0.053738626139635315,0.3034893715510212,0.0,1.0,1.0,2.0,0.0054996776031669865,0.00014465870921305182,0.005355018893953934,0.0015056456933781191,0.0011290786948176582,0.0003765669985604606,8.997120921305183e-05,2.2492802303262957e-05,6.747840690978887e-05,0.0010946497120921305,0.00010496641074856046,0.00098968330134357
distance_enum_lowNone_aug0,real_test_comparison,census-income_srt,15951,122880.00000000003,0.0514873575846354,-0.009903373209635415,0.27465393856642956,0.0,0.0,1.0,5.0,0.0038547648111979162,0.001629036458333333,0.002225728352864583,0.0014313761393229163,0.001268440755208333,0.0001629353841145833,0.0005452473958333332,0.0005126953124999999,3.2552083333333326e-05,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
distance_enum_lowNone_aug0,structure_development,partial,8928,8928.0,1.8465501792114696,-1.5580197132616487,3.0842776815981243,1.0,8.0,11.0,14.0,0.11514336917562724,0.10618279569892473,0.008960573476702509,0.054883512544802865,0.04995519713261649,0.00492831541218638,0.017697132616487456,0.01478494623655914,0.0029121863799283156,0.012096774193548387,0.010752688172043012,0.0013440860215053765
distance_enum_lowNone_aug0,structure_development,byte_permutations,8928,8928.0,1.8465501792114696,-1.5580197132616487,3.0842776815981243,1.0,8.0,11.0,14.0,0.11514336917562724,0.10618279569892473,0.008960573476702509,0.054883512544802865,0.04995519713261649,0.00492831541218638,0.017697132616487456,0.01478494623655914,0.0029121863799283156,0.012096774193548387,0.010752688172043012,0.0013440860215053765
distance_enum_lowNone_aug0,previous_structure_holdout_comparison,partial,21949,21949.0,1.9706136953847555,-1.7342475739213632,2.9808797347247364,1.0,7.0,10.0,14.0,0.082691694382432,0.0746275456740626,0.008064148708369401,0.06537883274864459,0.06073169620483849,0.004647136543806096,0.05503667593056631,0.05280422798305162,0.0022324479475146933,0.020866554284933253,0.019955351041049705,0.0009112032438835482
distance_enum_lowNone_aug0,previous_structure_holdout_comparison,byte_permutations,13764,13764.0,1.8381284510316769,-1.5576867189770416,3.0708953319961196,1.0,8.0,10.0,14.0,0.11566405114792211,0.1059285091543156,0.00973554199360651,0.052891601278698054,0.04838709677419355,0.0045045045045045045,0.016710258645742517,0.013658820110433014,0.003051438535309503,0.01104330136588201,0.00973554199360651,0.0013077593722755014
distance_enum_lowNone_aug0,previous_structure_holdout_comparison,independent_quarters,4096,4096.0,1.601318359375,-1.317626953125,2.1735604970589155,1.0,4.0,6.0,9.0,0.054443359375,0.0439453125,0.010498046875,0.10546875,0.095703125,0.009765625,0.034423828125,0.03271484375,0.001708984375,0.001953125,0.001953125,0.0
distance_enum_lowNone_aug0,previous_structure_holdout_comparison,mixed_byte_alphabets,4096,4096.0,2.78173828125,-2.7412109375,3.346815183872572,3.0,6.0,7.0,9.0,0.0,0.0,0.0,0.067138671875,0.067138671875,0.0,0.204345703125,0.204345703125,0.0,0.07275390625,0.072265625,0.00048828125
symmetric_three_low0_aug0.01,real_validation,partial,15052,215112.00000000006,0.09225984138495291,0.049846963442299816,0.3133049119160301,0.0,1.0,1.0,5.0,0.03692186395923983,0.001133193406225594,0.03578867055301423,2.800866525344936e-05,1.8711183011640443e-05,9.297482241808915e-06,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
symmetric_three_low0_aug0.01,real_validation,census1881,8496,374528.0,0.0423240692284689,0.025220546928400544,0.20704771142432174,0.0,0.0,1.0,4.0,0.02010878759398496,0.00019140892002734108,0.019917378673957622,1.3350136705399863e-05,8.010082023239918e-06,5.340054682159946e-06,5.340054682159946e-06,5.340054682159946e-06,0.0,0.0,0.0,0.0
symmetric_three_low0_aug0.01,real_validation,census1881_srt,12750,649471.9999999999,0.006150611573709106,0.001966026249014584,0.08826491145973063,0.0,0.0,0.0,5.0,0.0006328710090658258,0.0002649467567500986,0.00036792425231572734,1.5782050650374459e-06,1.5782050650374459e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symmetric_three_low0_aug0.01,real_test_comparison,partial,33018,96762.0,0.17885406977945892,0.07418219445650152,0.4712695631343169,0.0,1.0,2.0,5.0,0.013345595378351007,0.0011041679584961037,0.012241427419854903,0.003551590500403051,0.0026877803269878676,0.0008638101734151837,0.0006614166718339845,0.0005063971393728943,0.00015501953246109009,0.0011058059982224427,0.0002790351584299622,0.0008267708397924806
