key,second,records,offered_rps,committed_rps,below_1ms_pct,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,queue_p50_ms,queue_p90_ms,queue_p99_ms,queue_p999_ms,queue_max_ms,prepare_p50_ms,prepare_p90_ms,prepare_p99_ms,prepare_p999_ms,prepare_max_ms,local_p50_ms,local_p90_ms,local_p99_ms,local_p999_ms,local_max_ms,ack0_p50_ms,ack0_p90_ms,ack0_p99_ms,ack0_p999_ms,ack0_max_ms,ack1_p50_ms,ack1_p90_ms,ack1_p99_ms,ack1_p999_ms,ack1_max_ms,post_prepare_p50_ms,post_prepare_p90_ms,post_prepare_p99_ms,post_prepare_p999_ms,post_prepare_max_ms,all_durable_p50_ms,all_durable_p90_ms,all_durable_p99_ms,all_durable_p999_ms,all_durable_max_ms
00-local-90000-b4,0,89756,89756.0,89754.0,100.0,0.0349305,0.063654,0.07318269999999999,0.43992775999998673,0.856223,0.014072,0.042861,0.052622,0.2319541649999962,0.588506,0.003229,0.003432,0.004567,0.011033,0.021434,0.016922,0.018579,0.029971,0.217304,0.583798,0.016922,0.018579,0.029971,0.217304,0.583798,0.016922,0.018579,0.029971,0.217304,0.583798,0.016992,0.018652,0.030039,0.217411,0.583917,0.016922,0.018579,0.029971,0.217304,0.583798
00-local-90000-b4,1,90220,90220.0,90219.0,100.0,0.035147,0.0633472,0.072893,0.08734674400000006,0.121584,0.0140275,0.04246530000000002,0.05257381,0.053103781,0.08673,0.00328,0.003504,0.004624,0.009615,0.018556,0.017074,0.018787,0.030144,0.0492391630000006,0.080133,0.017074,0.018787,0.030144,0.0492391630000006,0.080133,0.017074,0.018787,0.030144,0.0492391630000006,0.080133,0.017144,0.018856,0.030212,0.0493141630000006,0.08021,0.017074,0.018787,0.030144,0.0492391630000006,0.080133
00-local-90000-b4,2,89779,89779.0,89782.0,100.0,0.035394,0.06365459999999999,0.07295,0.08994210799999992,0.528887,0.014216,0.04265139999999999,0.052575,0.0532929959999999,0.423443,0.003291,0.003516,0.004781,0.009946,0.018262,0.017094,0.01888,0.030483880000000005,0.058472,0.10048,0.017094,0.01888,0.030483880000000005,0.058472,0.10048,0.017094,0.01888,0.030483880000000005,0.058472,0.10048,0.017164,0.018953,0.030554440000000002,0.058543,0.10063,0.017094,0.01888,0.030483880000000005,0.058472,0.10048
00-local-90000-b4,3,90393,90393.0,90388.0,100.0,0.035243,0.06344280000000001,0.07311808,0.09248614399999615,0.459906,0.014006,0.0424278,0.052567,0.05328582399999998,0.369051,0.0033,0.003505,0.0048064800000000105,0.009322,0.013917,0.017114,0.018981,0.031056,0.055876079999998156,0.375892,0.017114,0.018981,0.031056,0.055876079999998156,0.375892,0.017114,0.018981,0.031056,0.055876079999998156,0.375892,0.017184,0.019053,0.03113,0.05594899999999822,0.375976,0.017114,0.018981,0.031056,0.055876079999998156,0.375892
00-local-90000-b4,4,89830,89830.0,89834.0,100.0,0.034953,0.06344910000000001,0.07273971000000001,0.0855260370000001,0.125891,0.0140485,0.04268,0.052576,0.052952342000000006,0.058608,0.003239,0.003428,0.00442,0.008887,0.012441,0.016987,0.018641,0.02962326000000004,0.05329748600000056,0.074455,0.016987,0.018641,0.02962326000000004,0.05329748600000056,0.074455,0.016987,0.018641,0.02962326000000004,0.05329748600000056,0.074455,0.017059,0.018714,0.02969639000000006,0.05337746000000054,0.074533,0.016987,0.018641,0.02962326000000004,0.05329748600000056,0.074455
00-local-90000-b4,5,90349,90349.0,90346.0,100.0,0.035153,0.06341259999999999,0.07295804,0.09080309200000042,0.114418,0.013985,0.04237339999999999,0.052579,0.053052652,0.075567,0.003279,0.003479,0.004498520000000004,0.009484,0.014221,0.017094,0.018860199999999997,0.031704,0.055628,0.082196,0.017094,0.018860199999999997,0.031704,0.055628,0.082196,0.017094,0.018860199999999997,0.031704,0.055628,0.082196,0.017165,0.018934199999999998,0.031775,0.05648,0.082276,0.017094,0.018860199999999997,0.031704,0.055628,0.082196
00-local-90000-b4,6,89928,89928.0,89928.0,100.0,0.034879,0.0631543,0.072599,0.0847387750000007,0.11233,0.0139955,0.042481,0.052568729999999994,0.05300787600000005,0.067065,0.00327,0.003455,0.004481729999999996,0.009015,0.012275,0.016955,0.018533,0.02899175999999995,0.051097,0.096329,0.016955,0.018533,0.02899175999999995,0.051097,0.096329,0.016955,0.018533,0.02899175999999995,0.051097,0.096329,0.017026,0.018606,0.029065949999999938,0.051175,0.096401,0.016955,0.018533,0.02899175999999995,0.051097,0.096329
00-local-90000-b4,7,90413,90413.0,90412.0,100.0,0.035421,0.0636998,0.07329064000000002,0.08576440800000006,0.112997,0.014116,0.04247540000000001,0.052578,0.05308676400000001,0.072618,0.003264,0.003464,0.00457,0.00962958400000006,0.016761,0.017129,0.019523,0.030577,0.054497,0.078225,0.017129,0.019523,0.030577,0.054497,0.078225,0.017129,0.019523,0.030577,0.054497,0.078225,0.017199,0.019596,0.030648,0.054601,0.078298,0.017129,0.019523,0.030577,0.054497,0.078225
00-local-90000-b4,8,89949,89949.0,89951.0,100.0,0.035179,0.06347279999999998,0.07284804,0.08657162399999996,0.126305,0.01411,0.0425752,0.052576,0.053076052,0.072323,0.003281,0.003458,0.004488,0.009546,0.011223,0.017038,0.018722599999999992,0.030868,0.053855,0.095739,0.017038,0.018722599999999992,0.030868,0.053855,0.095739,0.017038,0.018722599999999992,0.030868,0.053855,0.095739,0.017109,0.018796,0.030944,0.053934,0.095824,0.017038,0.018722599999999992,0.030868,0.053855,0.095739
00-local-90000-b4,9,89782,89782.0,89781.0,100.0,0.0349845,0.063253,0.07265619,0.08594895799999978,0.1177,0.0140165,0.04250990000000001,0.05256719,0.053153,0.081855,0.00322,0.003403,0.004391,0.00886,0.01154,0.017036,0.018716,0.030039,0.052608,0.08147,0.017036,0.018716,0.030039,0.052608,0.08147,0.017036,0.018716,0.030039,0.052608,0.08147,0.017107,0.018788,0.03011,0.052739,0.081544,0.017036,0.018716,0.030039,0.052608,0.08147
