name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,mutations_per_trace,queries_per_trace
single/location_runs/manual_time,2,1,1936,133342.37293388418,144240.46487603232,ns,16384.0,256.0
single/location_runs/manual_time,3,1,1936,136285.12293388415,147533.22933884175,ns,16384.0,256.0
single/location_runs/manual_time,4,1,1936,143659.54338842968,155859.28822314064,ns,16384.0,256.0
read_heavy/eager/manual_time,0,1,396,724383.6212121217,733255.042929297,ns,16384.0,4096.0
read_heavy/eager/manual_time,1,1,396,596251.5000000001,606998.4217171685,ns,16384.0,4096.0
read_heavy/eager/manual_time,2,1,396,593261.7297979798,604392.9924242412,ns,16384.0,4096.0
read_heavy/eager/manual_time,3,1,396,606535.6616161615,617752.1010100949,ns,16384.0,4096.0
read_heavy/eager/manual_time,4,1,396,632341.3636363634,644653.5101010075,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,0,1,95,2994307.1157894726,3003497.357894733,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,1,1,95,2975628.9999999995,2987644.2947368496,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,2,1,95,2962335.684210528,2972093.4000000013,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,3,1,95,2898715.494736843,2907681.999999985,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,4,1,95,2937297.357894737,2948317.9684210597,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,0,1,61,4591763.245901639,4600501.360655748,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,1,1,61,4546587.426229506,4555377.721311492,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,2,1,61,4538986.229508196,4547568.262295069,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,3,1,61,4536807.590163932,4545463.770491805,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,4,1,61,4570669.081967212,4580186.475409827,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,0,1,86,3259245.6279069767,3267700.5581395268,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,1,1,86,3264359.639534883,3273871.1046511913,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,2,1,86,3282505.813953489,3291731.093023263,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,3,1,86,3267040.639534885,3278062.9767441666,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,4,1,86,3263779.0697674407,3272572.6627907003,ns,16384.0,4096.0
many_partitions/eager/manual_time,0,1,2782,101986.91984184043,112227.80337886483,ns,16384.0,256.0
many_partitions/eager/manual_time,1,1,2782,104146.06254493182,114428.28828181175,ns,16384.0,256.0
many_partitions/eager/manual_time,2,1,2782,101432.9712437095,111541.8461538458,ns,16384.0,256.0
many_partitions/eager/manual_time,3,1,2782,101651.91373112876,111841.9450035938,ns,16384.0,256.0
many_partitions/eager/manual_time,4,1,2782,101452.34902947533,111505.76527677932,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,0,1,117,2336928.863247862,2345867.8717948627,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,1,1,117,2345938.230769232,2355109.6837606616,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,2,1,117,2350257.8290598285,2358465.8034187793,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,3,1,117,2363796.5299145295,2372944.7863247953,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,4,1,117,2356707.6581196575,2365341.1623931793,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,0,1,128,2267518.1171875,2286106.7578124893,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,1,1,128,2255451.851562501,2274021.1484374995,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,2,1,128,2234838.2656249995,2252957.671875,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,3,1,128,2261845.5546874986,2279533.1953125163,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,4,1,128,2258899.882812501,2276827.46875002,ns,16384.0,256.0
many_partitions/location_runs/manual_time,0,1,129,2177045.6046511624,2196464.782945733,ns,16384.0,256.0
many_partitions/location_runs/manual_time,1,1,129,2080542.3643410846,2100816.8604651275,ns,16384.0,256.0
many_partitions/location_runs/manual_time,2,1,129,2113612.364341086,2133442.186046498,ns,16384.0,256.0
many_partitions/location_runs/manual_time,3,1,129,2104559.2868217044,2124625.961240302,ns,16384.0,256.0
many_partitions/location_runs/manual_time,4,1,129,2107278.2868217053,2127135.65116278,ns,16384.0,256.0
