case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
absent,shared16,q3,1048576,1048576,41,13,0,171016,171016,0,2097152,0,0,0,0,65536,0,0,0,2097152,67108864,14669432675671876423,1
absent,shared32,q0,1048576,1048576,41,13,0,21594,21594,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q1,1048576,1048576,41,13,0,21556,21556,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q2,1048576,1048576,41,13,0,21575,21575,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q3,1048576,1048576,41,13,0,21605,21605,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,union64,q0,1048576,1048576,41,13,0,21594,21594,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q1,1048576,1048576,41,13,0,21556,21556,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q2,1048576,1048576,41,13,0,21575,21575,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q3,1048576,1048576,41,13,0,21605,21605,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
single,soa,q0,1048576,1048576,41,13,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
single,tag32,q0,1048576,1048576,41,13,0,65521,65521,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
single,tag16,q0,1048576,1048576,41,13,0,65521,65521,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
single,tag8,q0,1048576,1048576,41,13,0,65521,65521,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
single,tag8_eager,q0,1048576,1048576,41,13,0,65521,65521,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
single,tag8_cnf,q0,1048576,1048576,41,13,0,65521,65521,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
single,joint64,q0,1048576,1048576,41,13,0,65521,65521,0,1029888,524288,16384,292,0,64368,0,0,0,6291456,67108864,14669432675671876423,1
single,marginal64,q0,1048576,1048576,41,13,0,65521,65521,0,1029888,32768,16384,292,0,64368,0,0,0,4456448,67108864,14669432675671876423,1
rare,aos,replace,1048576,16384,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
rare,tag32,build,1048576,1048576,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,tag32,replace,1048576,16384,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,tag16,build,1048576,1048576,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,tag16,replace,1048576,16384,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,tag8,build,1048576,1048576,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,tag8,replace,1048576,16384,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,shared32,build,1048576,1048576,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
rare,shared32,replace,1048576,16384,41,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4194304,67108864,7831855242651732853,1
near,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,1021505038266307959,1
near,tag32,q0,1048576,1048576,41,13,0,65158,65158,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1
near,tag16,q0,1048576,1048576,41,13,0,65158,65158,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1
near,tag8,q0,1048576,1048576,41,13,0,65158,65158,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1
near,tag8_eager,q0,1048576,1048576,41,13,0,65158,65158,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1
near,tag8_cnf,q0,1048576,1048576,41,13,0,65158,65158,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,1021505038266307959,1
near,joint64,q0,1048576,1048576,41,13,0,65158,65158,0,1029888,524288,16384,292,0,64368,0,0,0,6291456,67108864,1021505038266307959,1
near,marginal64,q0,1048576,1048576,41,13,0,65158,65158,0,1029888,65536,16384,292,0,64368,0,0,0,4456448,67108864,1021505038266307959,1
far,soa,q0,1048576,1048576,41,13,4,4,0,4,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
far,tag32,q0,1048576,1048576,41,13,4,4289,4289,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
far,tag16,q0,1048576,1048576,41,13,4,4289,4289,0,3461440,0,0,0,0,65536,42634,0,0,4194304,67108864,7831855242651732853,1
far,tag8,q0,1048576,1048576,41,13,4,4289,4289,0,1730720,0,0,0,0,65536,0,0,42634,4194304,67108864,7831855242651732853,1
far,tag8_eager,q0,1048576,1048576,41,13,4,4289,4289,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1
far,tag8_cnf,q0,1048576,1048576,41,13,4,4289,4289,0,1730720,0,0,0,0,65536,0,0,42634,4194304,67108864,7831855242651732853,1
far,joint64,q0,1048576,1048576,41,13,4,4289,4289,0,1690976,1048576,16384,468,0,63664,0,0,42022,6291456,67108864,7831855242651732853,1
far,marginal64,q0,1048576,1048576,41,13,4,4289,4289,0,1690976,65536,16384,468,0,63664,0,0,42022,4456448,67108864,7831855242651732853,1
broad,soa,q0,1048576,1048576,41,13,5889,5889,0,5889,8388608,0,0,0,0,0,0,0,0,0,67108864,16097067034289439874,1
broad,tag32,q0,1048576,1048576,41,13,5889,14797,14797,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,16097067034289439874,1
broad,tag16,q0,1048576,1048576,41,13,5889,14797,14797,0,3920128,0,0,0,0,65536,56968,0,0,4194304,67108864,16097067034289439874,1
broad,tag8,q0,1048576,1048576,41,13,5889,14797,14797,0,1960064,0,0,0,0,65536,0,0,56968,4194304,67108864,16097067034289439874,1
broad,tag8_eager,q0,1048576,1048576,41,13,5889,14797,14797,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,16097067034289439874,1
broad,tag8_cnf,q0,1048576,1048576,41,13,5889,14797,14797,0,1960064,0,0,0,0,65536,0,0,56968,4194304,67108864,16097067034289439874,1
broad,joint64,q0,1048576,1048576,41,13,5889,14797,14797,0,1958960,1048576,16384,12,0,65488,0,0,56947,6291456,67108864,16097067034289439874,1
broad,marginal64,q0,1048576,1048576,41,13,5889,14797,14797,0,1958960,65536,16384,12,0,65488,0,0,56947,4456448,67108864,16097067034289439874,1
clustered,soa,q0,1048576,1048576,41,13,5889,5889,0,5889,8388608,0,0,0,0,0,0,0,0,0,67108864,17269401923470026869,1
clustered,tag32,q0,1048576,1048576,41,13,5889,14797,14797,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,17269401923470026869,1
clustered,tag16,q0,1048576,1048576,41,13,5889,14797,14797,0,3201312,0,0,0,0,65536,34505,0,0,4194304,67108864,17269401923470026869,1
clustered,tag8,q0,1048576,1048576,41,13,5889,14797,14797,0,1600656,0,0,0,0,65536,0,0,34505,4194304,67108864,17269401923470026869,1
clustered,tag8_eager,q0,1048576,1048576,41,13,5889,14797,14797,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,17269401923470026869,1
clustered,tag8_cnf,q0,1048576,1048576,41,13,5889,14797,14797,0,1600656,0,0,0,0,65536,0,0,34505,4194304,67108864,17269401923470026869,1
clustered,joint64,q0,1048576,1048576,41,13,5889,14797,14797,0,1316208,1048576,16384,4151,0,48932,0,0,33331,6291456,67108864,17269401923470026869,1
clustered,marginal64,q0,1048576,1048576,41,13,5889,14797,14797,0,1316208,65536,16384,4151,0,48932,0,0,33331,4456448,67108864,17269401923470026869,1
hot,soa,q0,1048576,1048576,41,13,850199,850199,0,850199,8388608,0,0,0,0,0,0,0,0,0,67108864,12064634961208617218,1
hot,tag32,q0,1048576,1048576,41,13,850199,862053,862053,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,12064634961208617218,1
hot,tag16,q0,1048576,1048576,41,13,850199,862053,862053,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,12064634961208617218,1
hot,tag8,q0,1048576,1048576,41,13,850199,862053,862053,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,12064634961208617218,1
hot,tag8_eager,q0,1048576,1048576,41,13,850199,862053,862053,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,12064634961208617218,1
hot,tag8_cnf,q0,1048576,1048576,41,13,850199,862053,862053,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,12064634961208617218,1
hot,joint64,q0,1048576,1048576,41,13,850199,862053,862053,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,12064634961208617218,1
hot,marginal64,q0,1048576,1048576,41,13,850199,862053,862053,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,12064634961208617218,1
cnf,soa,q0,1048576,1048576,41,13,33,33,0,33,16777216,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
cnf,tag32,q0,1048576,1048576,41,13,33,16175,16175,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
cnf,tag16,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
