name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,1,1,24338,1150.217355575594,1150.149190566192,ns,6230528.0,256.0,222579820.16574484,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,2,1,24338,1157.1480811899248,1156.890130659877,ns,6230528.0,256.0,221282897.32576466,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,3,1,24338,1156.498479743889,1156.3095570712433,ns,6230528.0,256.0,221394001.66198504,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,4,1,24338,1148.6189908779777,1148.6157860136402,ns,6230528.0,256.0,222876964.70589855,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,0,1,19440,1441.9521090537514,1440.993930041155,ns,4976640.0,256.0,177655155.0031086,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,1,1,19440,1438.9618827163379,1438.964609053498,ns,4976640.0,256.0,177905695.79636022,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,2,1,19440,1440.39917695424,1439.4646090534973,ns,4976640.0,256.0,177843900.0096916,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,3,1,19440,1440.2525720159001,1439.9177983539073,ns,4976640.0,256.0,177787926.70849362,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,4,1,19440,1444.467592592092,1441.5242798353913,ns,4976640.0,256.0,177589794.06800753,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,0,1,4953,5658.059761759971,5654.169392287498,ns,1267968.0,256.0,45276323.052718185,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,1,1,4953,5649.939228751308,5643.271148798696,ns,1267968.0,256.0,45363760.35280454,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,2,1,4953,5641.233595799276,5640.183928931953,ns,1267968.0,256.0,45388590.73138012,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,3,1,4953,5628.532000806231,5624.022208762377,ns,1267968.0,256.0,45519023.66266356,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,4,1,4953,5641.877448009534,5640.951140722832,ns,1267968.0,256.0,45382417.54159142,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/65536,3,1,runtime/bytes64_0/scalar64/65536,iteration,5,0,1,3702,7597.204484062986,7591.883306320899,ns,947712.0,256.0,33720223.25301785,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/65536,3,1,runtime/bytes64_0/scalar64/65536,iteration,5,1,1,3702,7557.430848187442,7557.410048622358,ns,947712.0,256.0,33874038.63929102,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/65536,3,1,runtime/bytes64_0/scalar64/65536,iteration,5,2,1,3702,7583.613992437094,7569.7142085358755,ns,947712.0,256.0,33818978.22659215,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/65536,3,1,runtime/bytes64_0/scalar64/65536,iteration,5,3,1,3702,7597.385197191581,7580.937871420848,ns,947712.0,256.0,33768908.852964856,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/65536,3,1,runtime/bytes64_0/scalar64/65536,iteration,5,4,1,3702,7593.111831442918,7593.131280389003,ns,947712.0,256.0,33714681.14362496,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/1024,4,0,runtime/bytes64_0/scalar8_projection/1024,iteration,5,0,1,32035,876.8643670984665,875.2358670204497,ns,8200960.0,256.0,292492583.5952043,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/1024,4,0,runtime/bytes64_0/scalar8_projection/1024,iteration,5,1,1,32035,874.4007803965308,874.3980646168286,ns,8200960.0,256.0,292772834.6610444,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/1024,4,0,runtime/bytes64_0/scalar8_projection/1024,iteration,5,2,1,32035,874.8465428439174,874.7885437802382,ns,8200960.0,256.0,292642149.7173968,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/1024,4,0,runtime/bytes64_0/scalar8_projection/1024,iteration,5,3,1,32035,874.8571874510388,874.807304510696,ns,8200960.0,256.0,292635873.8433122,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/1024,4,0,runtime/bytes64_0/scalar8_projection/1024,iteration,5,4,1,32035,875.9800218508826,875.0888715467441,ns,8200960.0,256.0,292541715.8459721,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/65536,4,1,runtime/bytes64_0/scalar8_projection/65536,iteration,5,0,1,25565,1092.4928222179558,1092.5046352434942,ns,6544640.0,256.0,234323948.6054386,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/65536,4,1,runtime/bytes64_0/scalar8_projection/65536,iteration,5,1,1,25565,1093.6486993940878,1092.8375122237414,ns,6544640.0,256.0,234252573.81500643,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/65536,4,1,runtime/bytes64_0/scalar8_projection/65536,iteration,5,2,1,25565,1092.4599647957593,1092.2492079014228,ns,6544640.0,256.0,234378746.3044829,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/65536,4,1,runtime/bytes64_0/scalar8_projection/65536,iteration,5,3,1,25565,1092.6046939173514,1091.856483473501,ns,6544640.0,256.0,234463048.83000043,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar8_projection/65536,4,1,runtime/bytes64_0/scalar8_projection/65536,iteration,5,4,1,25565,1093.2567964011128,1092.452610991591,ns,6544640.0,256.0,234335107.46762317,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/1024,5,0,runtime/bytes64_0/write_scalar/1024,iteration,5,0,1,1905,14887.853543304274,14872.510236220507,ns,487680.0,256.0,17212965.123838857,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/1024,5,0,runtime/bytes64_0/write_scalar/1024,iteration,5,1,1,1905,14735.606299214203,14727.460367454103,ns,487680.0,256.0,17382494.579019804,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/1024,5,0,runtime/bytes64_0/write_scalar/1024,iteration,5,2,1,1905,14725.826771655371,14721.18162729662,ns,487680.0,256.0,17389908.397388037,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/1024,5,0,runtime/bytes64_0/write_scalar/1024,iteration,5,3,1,1905,14718.76062991843,14718.720209973757,ns,487680.0,256.0,17392816.51855358,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/1024,5,0,runtime/bytes64_0/write_scalar/1024,iteration,5,4,1,1905,14785.186351703313,14784.179527559047,ns,487680.0,256.0,17315807.043792512,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
