scope,case,eligible_for_new_reader,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
bulk,bulk/calico/local/k6/h0/u8/decode,False,0.004472907668189004,0.004710649258633535,1.0531514638979318,0.0044692861742488005,0.004482749196867669,0.004524469063070095,0.0048897380688395576,False,True,True,"[0.00447186525269844, 0.004884037701949642, 0.004524524951829994, 0.004481706451682235]"
bulk,bulk/calico/local/k6/h0/u8/encode,False,0.007146902671726387,0.007128543373203804,0.9974311531350197,0.007121536552004976,0.007153393215662321,0.007124124953078206,0.0071451713855185325,False,False,True,"[0.007133056481018994, 0.007126013618941513, 0.007142328610412876, 0.007150121749980384]"
bulk,bulk/calico/local/k7/h0/u64/decode,False,0.07079404207013446,0.0704582764581698,0.9952571487353127,0.07053956195326647,0.07107806971388454,0.07008493340424808,0.07083606872879054,False,False,True,"[0.07055358604042974, 0.07013430498382332, 0.07083461768012778, 0.07107187385614892]"
bulk,bulk/calico/striped/k12/h0/u64/decode,False,0.090584321388439,0.0904707299188329,0.9987460140136282,0.09007345667885959,0.09100902866603192,0.0902044369267427,0.09067360841136266,False,False,True,"[0.09028575847441896, 0.09026090315820562, 0.09063181973900467, 0.09087776716686588]"
bulk,bulk/predecessor/local/k6/h0/u8/decode,False,0.0046355375671439,0.004611498515739859,0.9948141825935299,0.004590578027878989,0.004671996493721563,0.00459491015249162,0.0046319509987082725,False,False,False,"[0.004599767311131259, 0.004622648957007229, 0.004597301734928456, 0.004670165539213971]"
bulk,bulk/predecessor/local/k6/h0/u8/encode,False,0.007052375920697729,0.007056455862761704,1.000578520219264,0.007041694645382035,0.007061461287958015,0.007046574052414553,0.007064346148162055,False,False,False,"[0.007047266343129967, 0.00705072583449305, 0.007059766632631129, 0.007060841297987716]"
bulk,bulk/series/avx2/local/k1/h0/u64/decode,True,0.05680592903507257,0.05664002566327461,0.9970794708472152,0.05650710874349963,0.05713923935315317,0.05662490335278752,0.056755556966239455,False,False,False,"[0.05652549741968523, 0.056665591656387584, 0.05663939123025449, 0.05712850401452744]"
bulk,bulk/series/avx2/local/k1/h0/u8/decode,False,0.01053328250907233,0.010522602404330957,0.9989860611132214,0.010513425881192327,0.010559004690187048,0.010517448503455618,0.01052582146599155,False,False,True,"[0.010526173980528814, 0.010523773926358032, 0.010521430882303883, 0.010538476664550026]"
bulk,bulk/series/avx2/local/k10/h8/u16/decode,False,0.05923845046073293,0.05849994695477505,0.9875333757008481,0.05881664074536889,0.059605074384356686,0.05826889396377358,0.05861851512610735,True,False,True,"[0.058883029074731065, 0.05850111070693335, 0.05849878320261675, 0.05950123324227341]"
bulk,bulk/series/avx2/local/k10/h8/u64/decode,True,0.09718174372660202,0.09671178686604509,0.995164144596139,0.09712551041533601,0.0973545272073678,0.09661624128615372,0.09691294542411395,True,False,True,"[0.09716801960107235, 0.096717123530887, 0.09670611112308271, 0.09719546785213166]"
