input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes
zen,composition/avx2/local/k10/h0/u16/all/authored,1,3,"[2057.6334514185337,2031.918672601199,2084.4253640960446]",2057.6334514185337,"[2053.092121601254,2028.3931480317106,2080.4015502462694]",2053.092121601254,"[0.251175958425114,0.24803694733901355,0.2544464555781304]",0.251175958425114,8192.0,8192.0,5955.0,10240.0
zen,composition/avx2/local/k10/h0/u16/all/authored-u64-carrier,1,3,"[1558.4368981366588,1587.4181229544056,1568.0621743291604]",1568.0621743291604,"[1555.0268571369072,1583.9148086403782,1564.601703822057]",1564.601703822057,"[0.19023887916707258,0.1937766263372077,0.19141383963979008]",0.19141383963979008,8192.0,8192.0,5955.0,10240.0
zen,composition/avx2/local/k10/h0/u16/all/materialized,1,3,"[795.3778445247676,770.8926448211715,794.8698377143103]",794.8698377143103,"[793.6225061803729,769.7670134111925,793.2152873217005]",793.2152873217005,"[0.0970920220367148,0.09410310605727192,0.09703000948661013]",0.09703000948661013,8192.0,8192.0,5955.0,10240.0
zen,composition/avx2/local/k10/h0/u16/prefilter75/authored,1,3,"[2118.8433917604,2070.0362629372303,2161.5941150079716]",2118.8433917604,"[2114.1836507378785,2065.467705253027,2156.8236358855165]",2114.1836507378785,"[0.258647874970752,0.25268997350307987,0.26386646911718403]",0.258647874970752,8192.0,6144.0,4486.0,10240.0
zen,composition/avx2/local/k10/h0/u16/prefilter75/authored-u64-carrier,1,3,"[1638.190127887177,1615.5088629584345,1575.349889713027]",1615.5088629584345,"[1634.5747722877068,1611.9435536392489,1574.9171647697997]",1611.9435536392489,"[0.19997438084560262,0.1972056717478558,0.19230345333410973]",0.1972056717478558,8192.0,6144.0,4486.0,10240.0
zen,composition/avx2/local/k10/h0/u16/prefilter75/materialized,1,3,"[923.1394439158446,915.2362498678501,879.3288799027424]",915.2362498678501,"[921.1262620250445,913.2234644266592,877.388129030673]",913.2234644266592,"[0.11268792039988339,0.11172317503269656,0.10733995116000274]",0.11172317503269656,8192.0,6144.0,4486.0,10240.0
zen,composition/avx2/local/k11/h0/u16/all/authored,1,3,"[2065.500207045465,2160.8579816025303,2088.051007128271]",2088.051007128271,"[2060.9520098165426,2156.0891330707914,2087.3613534855763]",2087.3613534855763,"[0.2521362557428546,0.2637766090823402,0.2548890389560878]",0.2548890389560878,8192.0,8192.0,5943.0,11264.0
zen,composition/avx2/local/k11/h0/u16/all/authored-u64-carrier,1,3,"[1577.4519087408419,1634.967960613105,1613.7182314515853]",1613.7182314515853,"[1574.1315899564872,1631.400583507856,1610.210524620571]",1610.210524620571,"[0.19256004745371605,0.19958104987952943,0.19698708880024232]",0.19698708880024232,8192.0,8192.0,5943.0,11264.0
zen,composition/avx2/local/k11/h0/u16/all/materialized,1,3,"[801.9212571795437,812.9679457048817,789.4998509635751]",801.9212571795437,"[800.1514725950608,811.1817097924212,787.7575406689576]",800.1514725950608,"[0.09789077846429978,0.09923925118467794,0.09637449352582704]",0.09789077846429978,8192.0,8192.0,5943.0,11264.0
zen,composition/avx2/local/k11/h0/u16/prefilter75/authored,1,3,"[2094.5200089894456,2143.981361899766,2170.287497190799]",2143.981361899766,"[2093.780148322887,2139.5368491981526,2165.498569180112]",2139.5368491981526,"[0.25567871203484444,0.26171647484128,0.2649276729969237]",0.26171647484128,8192.0,6144.0,4441.0,11264.0
zen,composition/avx2/local/k11/h0/u16/prefilter75/authored-u64-carrier,1,3,"[1593.1107072934767,1561.661644575459,1633.5673087742255]",1593.1107072934767,"[1589.5947296196273,1558.2284470135548,1629.962137410838]",1589.5947296196273,"[0.19447152188641073,0.19063252497259023,0.19941007187185372]",0.19447152188641073,8192.0,6144.0,4441.0,11264.0
zen,composition/avx2/local/k11/h0/u16/prefilter75/materialized,1,3,"[896.7476372132265,908.8664233480279,925.7998627207713]",908.8664233480279,"[896.1647482787682,906.9677789805005,923.7567253613994]",906.9677789805005,"[0.10946626430825518,0.11094560831885107,0.11301267855478164]",0.11094560831885107,8192.0,6144.0,4441.0,11264.0
zen,composition/avx2/local/k12/h0/u16/all/authored,1,3,"[2138.4696733106694,2091.1988610269386,2139.567756651631]",2138.4696733106694,"[2133.7519977963434,2086.5851627338134,2134.8476623544148]",2133.7519977963434,"[0.2610436612928064,0.2552732984652025,0.26117770466938856]",0.2610436612928064,8192.0,8192.0,5945.0,12288.0
zen,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,3,"[1496.9849802887295,1501.2515448690854,1507.6527438395005]",1501.2515448690854,"[1493.682479175745,1497.9570043105557,1504.3267085874504]",1497.9570043105557,"[0.18273742435165158,0.18325824522327702,0.18403964158197028]",0.18325824522327702,8192.0,8192.0,5945.0,12288.0
