stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
open,tcp,16,1,1000,0,7000,4096,8900,nvme,direct-dsync,raw,good,5961,385.358,415.8936148297266,22.700053677200163,610.198,391.4172,394.636,402.205,409.811,420.889,441.911,459.543,509.28899999999993,564.0545999999998,0.0,0.0,0.0,0.0,1,True,984.134609450462,984.134609450462,984.134609450462,984.134609450462,6.057098229,100.0,0,0.000418996,0.000418996,0.00047448,True,1,6,3,0.0,0.04,17.539428571428573,1.0,1.0,5961,0.79,3.2160476430129172,0.6964982933097222,39.255,1.435,2.62,2.923,3.2,3.465,3.708,3.871,5.089199999999993,6.724799999999999,0.0,0.0,0.0,0.0,409.811,409.811,441.911,441.911,509.28899999999993,509.28899999999993,564.0545999999998,564.0545999999998
open,tcp,16,1,264300,50,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,12016249.359,48780992.471958,21274224.972702716,84485081.881,12736830.45293,15623209.589300001,30050379.087750003,48841495.331,67687749.72875,77749139.50330001,81119753.48975,83818252.52941,84419179.411345,100.0,100.0,100.0,100.0,1,False,20302.15810052903,20302.15810052903,20302.15810052903,263977.82814632653,6.007292397,0.0,0,84.485081881,84.485081881,84.485273678,False,1707774,16,1707783,419910.84,1531929.52,9.985298091995027,1.0,1.0,1585792,12015692.862,48780384.82740125,21274238.64626667,84484480.082,12736324.6008,15622563.0566,30049747.7045,48840933.6155,67687283.29875,77748596.1489,81119188.41894999,83817792.35982,84418526.88235901,100.0,100.0,100.0,100.0,48841495.331,48841495.331,77749139.50330001,77749139.50330001,83818252.52941,83818252.52941,84419179.411345,84419179.411345
open,tcp,16,4,264300,50,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,2529656.138,9361444.522884918,3920975.796132363,16162526.031,2680957.64335,3255269.9869,5963618.90875,9359718.660500001,12758553.284,14795527.4408,15473572.60715,16023004.49195,16148804.460177999,100.0,100.0,100.0,100.0,1,False,77734.18857274245,77734.18857274245,77734.18857274245,263977.82814632653,6.007292397,0.0,0,16.162485598,16.162485598,16.162594334,False,1307820,16,1307872,325701.68,1175973.56,3.944819198962218,4.0,4.0,1585792,2528931.597,9360761.605335396,3920977.2268039305,16161815.597,2680311.5025400002,3254530.21145,5962958.893750001,9359143.46,12757850.214499999,14794800.0205,15472903.81605,16022336.0389,16148132.862133,100.0,100.0,100.0,100.0,9359718.660500001,9359718.660500001,14795527.4408,14795527.4408,16023004.49195,16023004.49195,16148804.460177999,16148804.460177999
open,tcp,16,16,264300,50,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,845.341,111479.36909554659,87228.0158405153,276149.256,1673.9882699999998,3823.4451,28683.819000000003,98551.476,189141.03975,239315.71930000014,257535.18889999998,272849.86748,275717.130617,99.98915368472032,98.80942771813706,91.52007325046412,88.00031782226168,1,False,254456.06755605375,254456.06755605375,254456.06755605375,263977.82814632653,6.007292397,0.010846315279683591,0,0.275835625,0.275835625,0.275926023,False,68724,16,68932,4815.76,58117.88,2.520193503053889,15.999896222498963,15.999969731213174,1585792,64.471,110639.75690920689,87219.68858370806,275227.771,828.42196,2960.6947,27864.85675,97617.079,188331.81975,238475.50430000006,256693.78435,271978.94669000007,274882.181659,98.90023407861813,97.86031207119218,90.77552415449189,87.36713263782387,98551.476,98551.476,239315.71930000014,239315.71930000014,272849.86748,272849.86748,275717.130617,275717.130617
open,tcp,16,64,18900,50,132300,4096,8900,nvme,direct-dsync,raw,good,113502,402.863,659.2519991806312,95.46511759281299,1011.664,471.01409,510.398,587.79775,655.117,725.90175,787.0187000000001,823.77355,886.3128700000001,939.6854149999997,0.0008810417437578193,0.0,0.0,0.0,1,True,18849.392465201396,18849.392465201396,18849.392465201396,18849.890691418324,6.021361177,99.99911895825625,0,0.000538683,0.000538683,0.000717316,True,5,16,24,0.76,0.6,8.256084656084656,1.987501126701319,2.4771633980017973,113502,1.541,41.48692008070342,16.560519082556365,84.285,3.50201,7.838,28.969250000000002,52.692,53.923,54.855,55.427949999999996,56.94999000000001,59.39998599999994,0.0,0.0,0.0,0.0,655.117,655.117,787.0187000000001,787.0187000000001,886.3128700000001,886.3128700000001,939.6854149999997,939.6854149999997
open,tcp,16,64,188800,50,1321600,4096,8900,nvme,direct-dsync,raw,good,1132756,462.631,705.6921207409187,102.98094911236966,1757.026,535.867,568.78775,633.707,695.518,761.484,819.717,865.18075,1065.8599,1344.2840800000206,1.640423886521016,0.0,0.0,0.0,1,True,188730.7887993256,188730.7887993256,188730.7887993256,188736.45377874613,6.001787028,98.35957611347898,0,0.000702152,0.000702152,0.0008054,True,19,16,203,7.28,7.12,2.945021186440678,11.432822651106862,12.48783497946601,1132756,2.492,41.22905517251729,22.932308562733784,608.951,8.753,12.798,25.291,40.184,54.95425,61.981,65.749,116.8268499999994,247.51190500000772,0.0,0.0,0.0,0.0,695.518,695.518,819.717,819.717,1065.8599,1065.8599,1344.2840800000206,1344.2840800000206
open,tcp,16,64,264300,0,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,567.159,1176.8508341434438,201.72476552372243,2586.838,779.06482,891.09055,1041.79575,1155.645,1285.724,1434.3599000000002,1533.43645,1770.38509,2185.149433000011,82.4741201872629,0.3167502421502946,0.0,0.0,1,True,263981.3238975922,263981.3238975922,263981.3238975922,263977.82814632653,6.007292397,17.52562757284688,0,0.000889228,0.000889228,0.001127982,True,172,16,615,38.52,31.92,2.451672882546889,22.84497129097981,44.02823951691016,1585792,0.825,141.89229719219168,104.39783470400818,1035.689,5.904,14.353,57.793,121.895,207.714,285.78,324.0014499999999,442.3632700000002,704.760958000002,0.0006305997255629995,0.0,0.0,0.0,1155.645,1155.645,1434.3599000000002,1434.3599000000002,1770.38509,1770.38509,2185.149433000011,2185.149433000011
open,tcp,16,64,264300,50,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,504.5,714.036776947418,74.63199267561313,1439.873,575.75982,609.134,664.03,708.445,754.195,799.453,834.7464499999999,958.9695400000005,1149.302209,0.6423288804584713,0.0,0.0,0.0,1,True,263978.1610750185,263978.1610750185,263978.1610750185,263977.82814632653,6.007292397,99.35767111954154,0,0.000644592,0.000644592,0.000820662,True,56,16,264,11.08,11.56,2.628771417761202,16.04805482066184,17.243699047542176,1585792,3.675,46.06378517106909,25.4484479172783,459.942,11.94,16.55,29.178,43.944,58.539,66.873,73.391,150.459,263.0415980000007,0.0,0.0,0.0,0.0,708.445,708.445,799.453,799.453,958.9695400000005,958.9695400000005,1149.302209,1149.302209
open,tcp,16,64,264300,100,1850100,4096,8900,nvme,direct-dsync,raw,good,1585792,577.971,881.2083759837356,98.72672300342134,1328.304,655.03973,721.736,813.101,881.0865,951.879,1009.9209000000002,1038.07345,1105.5712700000001,1142.8546720000004,12.421994813947856,0.0,0.0,0.0,1,True,263978.99339674844,263978.99339674844,263978.99339674844,263977.82814632653,6.007292397,87.57794212607959,0,0.000798892,0.000798892,0.000831341,True,44,16,313,19.96,17.6,2.37714177612021,29.195663494768734,29.103187555492777,1585792,9.048,78.09585396004016,31.007305585295942,311.922,23.092,29.81,51.499,78.174,104.835,120.612,125.647,132.102,138.55220900000003,0.0,0.0,0.0,0.0,881.0865,881.0865,1009.9209000000002,1009.9209000000002,1105.5712700000001,1105.5712700000001,1142.8546720000004,1142.8546720000004
open,tcp,16,64,320900,50,2000000,4096,8900,nvme,direct-dsync,raw,good,1679695,546.018,1066.094470410402,202.64163165713288,2133.454,674.1498799999999,743.7627,912.927,1067.428,1206.915,1323.6806000000001,1400.9582999999998,1553.5287200000007,1775.283300000005,61.785026448254,0.008096708033303665,0.0,0.0,1,True,321026.3354525189,321026.3354525189,321026.3354525189,321026.5265744348,5.232262324,38.214973551746,0,0.00081927,0.00081927,0.00085337,True,90,16,518,23.92,27.72,2.36755,25.57381241608593,29.841183667272926,1679695,5.037,74.36820226529221,55.64336746925576,600.333,15.506,21.382,38.723,57.919,87.185,152.3516000000001,196.7672999999998,275.3341800000002,365.41212000000195,0.0,0.0,0.0,0.0,1067.428,1067.428,1323.6806000000001,1323.6806000000001,1553.5287200000007,1553.5287200000007,1775.283300000005,1775.283300000005
