name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,1,1,11764,2439.1721398276727,2439.3205542332535,ns,3011584.0,256.0,104947256.5447504,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,2,1,11764,2463.412869643117,2463.621302278138,ns,3011584.0,256.0,103912074.3773704,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,3,1,11764,2395.114502009791,2381.89255355321,ns,3011584.0,256.0,107477560.06798446,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/1024,2,0,runtime/bytes64_0/weighted_bound/1024,iteration,5,4,1,11764,2384.8110335235874,2382.207582454953,ns,3011584.0,256.0,107463346.97507031,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,0,1,11257,2446.540472424241,2446.5998933996602,ns,2881792.0,256.0,104635008.23760623,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,1,1,11257,2461.338817492158,2461.7201741138906,ns,2881792.0,256.0,103992323.21039437,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,2,1,11257,2419.1239971011955,2417.9954694856474,ns,2881792.0,256.0,105872820.3715187,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,3,1,11257,2451.7928438351,2451.944745491692,ns,2881792.0,256.0,104406920.45393704,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/weighted_bound/65536,2,1,runtime/bytes64_0/weighted_bound/65536,iteration,5,4,1,11257,2433.3596767316103,2433.463622634811,ns,2881792.0,256.0,105199846.67895642,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,0,1,2729,11772.148040853257,11772.596555514847,ns,698624.0,256.0,21745415.19305504,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,1,1,2729,9592.582248820188,9592.692561377778,ns,698624.0,256.0,26686980.570055008,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/scalar64/1024,3,0,runtime/bytes64_0/scalar64/1024,iteration,5,2,1,2729,9581.084988025703,9581.85196042506,ns,698624.0,256.0,26717173.36662375,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
