scope,case,before_ns_per_value,after_ns_per_value,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
placement,head-placement/avx2/local/k16/h16/n257/headgap0-0/encode-bound,0.1047724286884174,0.0521716901435703,0.4979524746794181,0.09031442707096703,0.10688377459109652,0.04870369322143897,0.06818661326326031,True,False,True,"[0.1048217737992618, 0.05204273934850133, 0.05408967412839481, 0.10472308357757298]"
placement,head-placement/avx2/local/k16/h16/n257/headgap0-17/encode-bound,0.09157111145443333,0.08072889869071281,0.8815978905190452,0.09147851849631872,0.0916374617596878,0.08054278281340953,0.08086924437378624,True,False,True,"[0.09156960315813538, 0.08084237191954487, 0.0805707640626702, 0.09159003390980068]"
placement,head-placement/avx2/local/k16/h16/n257/headgap13-0/encode-bound,0.11350902346383526,0.08674100927230799,0.7641772136286967,0.11070134090229798,0.11610082720323463,0.08466023812618889,0.08886567338970695,True,False,True,"[0.1107747686544103, 0.08876426450165907, 0.08470027937431404, 0.1160381358843965]"
placement,head-placement/avx2/local/k16/h16/n257/headgap13-17/encode-bound,0.1035040450400069,0.08916890459565846,0.8615016404546552,0.10266347410086797,0.1042615707130613,0.08839824187643454,0.0899285925605627,True,False,True,"[0.10281680766756215, 0.08990821862954615, 0.08845165761099173, 0.10422922792875258]"
placement,head-placement/avx2/local/k16/h16/n8193/headgap0-0/encode-bound,0.08914105110542453,0.050247177834049625,0.5636816843748426,0.08881119029375455,0.0894484633731608,0.04995100296518703,0.050551924252905375,True,False,True,"[0.08883997325137678, 0.050011175753965985, 0.05043559076852288, 0.08944356941112559]"
placement,head-placement/avx2/local/k16/h16/n8193/headgap0-17/encode-bound,0.10821601871177625,0.07404328119711961,0.6842173836973925,0.10763497853095365,0.10878540375259889,0.07369889854903887,0.07431384743761733,True,False,True,"[0.10770427941629585, 0.07387638562636685, 0.07423120908305755, 0.10871720197928894]"
placement,head-placement/avx2/local/k16/h16/n8193/headgap13-0/encode-bound,0.09574874278726611,0.06904890179574724,0.7211468243417003,0.0954898719971236,0.09612147247558951,0.06887101514197731,0.06916809481578863,True,False,True,"[0.09554687031244213, 0.06915735563899077, 0.06897666945156308, 0.09608271673615373]"
placement,head-placement/avx2/local/k16/h16/n8193/headgap13-17/encode-bound,0.11317865380874181,0.07876617320067997,0.6959454857431441,0.11289986576493272,0.11344401404854834,0.07818071548201128,0.07931049158642635,True,False,True,"[0.11291502022370682, 0.0782036268314069, 0.07930268569500255, 0.11343897168504734]"
placement,head-placement/avx2/local/k23/h16/n257/headgap0-0/encode-bound,0.17430100456986747,0.11030029962364739,0.6328150540258889,0.1739450582199442,0.174776539438342,0.11001701439051713,0.11067063506844554,True,False,True,"[0.17412458627688748, 0.11006697493039094, 0.11061037289784408, 0.1745347947241272]"
placement,head-placement/avx2/local/k23/h16/n257/headgap0-17/encode-bound,0.17089719681849447,0.18176958834422746,1.0636194842755688,0.17060579585243896,0.171237580581626,0.1814438650496292,0.18253075593607307,False,True,True,"[0.1709571374988073, 0.18153189698872269, 0.18216665947109537, 0.17063430772388954]"
