dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,dispersed32,union,local-inline,complete,5,3197.85,3181.33,3209.91,8887.29150390625,24.187290109823618
census-income,dispersed32,union,local-point,complete,5,3329.67,3325.89,3332.79,9253.0673828125,25.184325174719394
census-income,dispersed32,union,mixed-frame,complete,5,3233.46,3220.35,3258.94,8991.70654296875,24.45663026049073
census-income,dispersed32,union,mixed-frame-point,complete,5,3197.47,3180.97,3270.02,8883.94287109375,24.184415938038907
census-income,dispersed32,union,mixed-point-frame,complete,5,3270.13,3253.62,3302.23,9087.509765625,24.733987837715187
census-income,dispersed32,union,plain,complete,5,132.212,131.274,132.391,367.16046142578125,1.0
census-income,dispersed32,union,plain,selected,5,71.4443,71.3152,71.6582,198.6930923461914,1.0
census-income,none,intersection,bec-plain-frame,complete,5,61.1123,60.2781,62.5154,168.81494140625,1.0440193659926609
census-income,none,intersection,local-frame,complete,5,62.5772,61.5755,63.0295,173.8286361694336,1.0690451622602313
census-income,none,intersection,local-frame,selected,5,4.48647,4.46871,4.50723,12.495203495025635,1.9598932350140226
census-income,none,intersection,local-inline,complete,5,55.3999,55.0655,56.2161,153.89077758789062,0.9464308899199804
census-income,none,intersection,local-point,complete,5,61.939,61.0037,62.5966,172.4060516357422,1.058142395396989
census-income,none,intersection,mixed-frame,complete,5,62.2993,61.2229,63.2449,173.39950561523438,1.0642976240100042
census-income,none,intersection,mixed-frame-point,complete,5,62.0691,61.3589,62.3722,172.6063003540039,1.0603649744770702
census-income,none,intersection,mixed-point-frame,complete,5,61.6314,61.5677,63.088,171.43236541748047,1.0528874736058056
census-income,none,intersection,plain,complete,5,58.5356,57.8756,59.7164,162.85289764404297,1.0
census-income,none,intersection,plain,selected,5,2.28914,2.28324,2.29927,6.372664928436279,1.0
census-income,none,union,bec-plain-frame,complete,5,60.2516,59.7906,60.8062,167.5993194580078,1.0781875477566243
census-income,none,union,local-frame,complete,5,65.1746,62.7955,65.7585,181.40252685546875,1.1662834206895565
census-income,none,union,local-frame,selected,5,4.31149,4.3056,4.32204,12.024987697601318,1.881382927659426
census-income,none,union,local-inline,complete,5,55.4313,54.9288,56.3847,153.4144287109375,0.9919294660384415
census-income,none,union,local-point,complete,5,65.6126,62.8035,66.5826,182.60382080078125,1.1741213228517795
census-income,none,union,mixed-frame,complete,5,65.1684,62.7281,65.6583,181.20376586914062,1.1661724732160272
census-income,none,union,mixed-frame-point,complete,5,65.5268,62.592,65.662,181.57752227783203,1.172585952976166
census-income,none,union,mixed-point-frame,complete,5,64.2543,61.8309,65.8893,178.1458969116211,1.1498148787719904
census-income,none,union,plain,complete,5,55.8823,55.1425,56.4821,155.3719482421875,1.0
census-income,none,union,plain,selected,5,2.29166,2.28565,2.30699,6.379897832870483,1.0
census-income,single255,intersection,bec-plain-frame,complete,5,106.322,103.964,106.666,295.4152526855469,1.7996702697761964
census-income,single255,intersection,local-frame,complete,5,109.022,107.672,113.34,304.2858428955078,1.845372097510774
census-income,single255,intersection,local-frame,selected,5,44.0157,43.8206,44.0589,122.28448486328125,13.046907651949669
census-income,single255,intersection,local-inline,complete,5,101.638,101.455,104.078,282.7716369628906,1.7203860619581373
census-income,single255,intersection,local-point,complete,5,101.688,99.6305,101.966,280.9125061035156,1.7212323921013701
census-income,single255,intersection,mixed-frame,complete,5,110.521,109.98,111.377,307.50123596191406,1.8707450752048964
census-income,single255,intersection,mixed-frame-point,complete,5,110.464,109.599,111.089,307.25262451171875,1.869780258841611
census-income,single255,intersection,mixed-point-frame,complete,5,104.996,104.134,105.933,292.07275390625,1.7772255943776594
census-income,single255,intersection,plain,complete,5,59.0786,56.45,59.1865,164.4156723022461,1.0
census-income,single255,intersection,plain,selected,5,3.37365,3.35695,3.42374,9.380341529846191,1.0
census-income,single255,union,bec-plain-frame,complete,5,104.219,103.431,108.546,290.3475036621094,1.7787453086038372
census-income,single255,union,local-frame,complete,5,157.726,156.593,159.384,437.41705322265625,2.6919696268899993
census-income,single255,union,local-frame,selected,5,93.6374,93.3594,94.2508,260.4031524658203,27.777748112549872
census-income,single255,union,local-inline,complete,5,149.389,147.941,151.071,414.83152770996094,2.549678877239454
census-income,single255,union,local-point,complete,5,149.579,148.31,150.557,416.3701934814453,2.5529216794984926
census-income,single255,union,mixed-frame,complete,5,156.895,155.16,157.807,432.07373046875,2.6777866338517837
census-income,single255,union,mixed-frame-point,complete,5,150.541,150.045,151.708,419.0059814453125,2.569340499357413
census-income,single255,union,mixed-point-frame,complete,5,148.224,146.986,150.364,412.30963134765625,2.529795379177455
census-income,single255,union,plain,complete,5,58.5913,57.9988,59.0565,162.45050811767578,1.0
census-income,single255,union,plain,selected,5,3.37095,3.35761,3.37509,9.377460479736328,1.0
census-income_srt,all,intersection,bec-plain-frame,complete,5,5833.16,5806.38,5844.86,16206.796875,14.844799372937041
census-income_srt,all,intersection,local-frame,complete,5,1615.3,1614.91,1618.22,4487.065673828125,4.110774336226883
census-income_srt,all,intersection,local-frame,selected,5,1616.07,1612.26,1629.3,4482.64111328125,4.146320812807882
census-income_srt,all,intersection,local-inline,complete,5,1045.43,1044.41,1047.93,2909.002197265625,2.6605131024092556
census-income_srt,all,intersection,local-point,complete,5,3944.49,3942.83,3951.16,10971.92578125,10.038326169444423
census-income_srt,all,intersection,mixed-frame,complete,5,1591.9,1581.92,1599.17,4422.8388671875,4.051223714380966
census-income_srt,all,intersection,mixed-frame-point,complete,5,2032.82,2031.46,2043.24,5657.007080078125,5.173320303453681
census-income_srt,all,intersection,mixed-point-frame,complete,5,2708.71,2698.61,2718.32,7524.51025390625,6.893391662403962
census-income_srt,all,intersection,plain,complete,5,392.943,390.246,393.975,1089.8699340820312,1.0
census-income_srt,all,intersection,plain,selected,5,389.76,388.848,393.487,1085.2958984375,1.0
census-income_srt,all,union,bec-plain-frame,complete,5,5894.56,5872.95,5936.71,16383.05078125,15.026333097108715
census-income_srt,all,union,local-frame,complete,5,8668.67,8643.43,8707.87,24125.9453125,22.09805701000811
census-income_srt,all,union,local-frame,selected,5,8665.58,8638.6,8705.61,24121.791015625,22.143014110275818
census-income_srt,all,union,local-inline,complete,5,8405.33,8383.8,8452.44,23400.2080078125,21.426754222727528
census-income_srt,all,union,local-point,complete,5,11184.2,11146.2,11209.5,31081.05078125,28.51061226362668
census-income_srt,all,union,mixed-frame,complete,5,8656.93,8636.36,8700.2,24094.1552734375,22.06812955985745
census-income_srt,all,union,mixed-frame-point,complete,5,9071.16,9040.48,9173.25,25252.4365234375,23.12407910635716
census-income_srt,all,union,mixed-point-frame,complete,5,10202.2,10130.3,10210.2,28135.884765625,26.00731106703851
census-income_srt,all,union,plain,complete,5,392.282,391.147,392.67,1090.4446411132812,1.0
census-income_srt,all,union,plain,selected,5,391.346,388.37,397.96,1086.2203369140625,1.0
census-income_srt,cluster32,intersection,bec-plain-frame,complete,5,187.989,185.871,190.683,524.6952819824219,1.9531487014957007
census-income_srt,cluster32,intersection,local-frame,complete,5,224.742,223.413,225.388,624.3045654296875,2.335001225984216
census-income_srt,cluster32,intersection,local-frame,selected,5,154.181,153.435,155.555,428.0760803222656,3.390262458880856
census-income_srt,cluster32,intersection,local-inline,complete,5,134.206,129.95,137.027,371.49456787109375,1.3943596414307857
census-income_srt,cluster32,intersection,local-point,complete,5,479.32,476.966,482.304,1333.5715942382812,4.9799894440681065
census-income_srt,cluster32,intersection,mixed-frame,complete,5,221.506,220.781,222.187,616.2386169433594,2.3013801673156764
census-income_srt,cluster32,intersection,mixed-frame-point,complete,5,262.193,261.134,263.289,728.9631652832031,2.724105758801112
census-income_srt,cluster32,intersection,mixed-point-frame,complete,5,357.81,350.958,360.553,993.5628662109375,3.717537392518587
census-income_srt,cluster32,intersection,plain,complete,5,96.2492,95.9555,96.8725,267.9159698486328,1.0
census-income_srt,cluster32,intersection,plain,selected,5,45.4776,44.9046,45.7071,126.3160171508789,1.0
census-income_srt,cluster32,union,bec-plain-frame,complete,5,198.654,198.229,200.243,552.1271362304688,2.0483425927071606
census-income_srt,cluster32,union,local-frame,complete,5,533.194,532.547,535.935,1484.5772705078125,5.497820232041145
census-income_srt,cluster32,union,local-frame,selected,5,457.472,455.819,466.517,1272.5907592773438,9.587432255143998
census-income_srt,cluster32,union,local-inline,complete,5,470.296,467.638,470.62,1304.6102294921875,4.849272242088288
census-income_srt,cluster32,union,local-point,complete,5,813.324,811.001,813.624,2258.3741455078125,8.38627055519123
census-income_srt,cluster32,union,mixed-frame,complete,5,531.832,530.442,534.611,1482.5419311523438,5.483776504699803
census-income_srt,cluster32,union,mixed-frame-point,complete,5,585.247,581.564,588.007,1629.9480590820312,6.034544269705556
census-income_srt,cluster32,union,mixed-point-frame,complete,5,656.45,653.144,657.741,1824.423095703125,6.768726000899129
census-income_srt,cluster32,union,plain,complete,5,96.9828,96.7418,106.322,270.72084045410156,1.0
census-income_srt,cluster32,union,plain,selected,5,47.7158,47.6513,47.8495,132.4882354736328,1.0
census-income_srt,dispersed32,intersection,bec-plain-frame,complete,5,950.295,945.865,956.555,2643.0306396484375,7.554074356711896
census-income_srt,dispersed32,intersection,local-frame,complete,5,540.908,533.4,544.472,1501.61865234375,4.299779807470648
census-income_srt,dispersed32,intersection,local-frame,selected,5,448.572,447.325,450.97,1247.7216186523438,6.097387583443323
census-income_srt,dispersed32,intersection,local-inline,complete,5,426.382,421.881,428.663,1182.9835815429688,3.389391012647159
census-income_srt,dispersed32,intersection,local-point,complete,5,588.966,584.842,589.21,1635.8797607421875,4.6818019221138485
census-income_srt,dispersed32,intersection,mixed-frame,complete,5,518.407,514.81,538.567,1442.7327270507812,4.1209151106129625
census-income_srt,dispersed32,intersection,mixed-frame-point,complete,5,482.55,478.776,486.533,1342.6251220703125,3.835881048339017
census-income_srt,dispersed32,intersection,mixed-point-frame,complete,5,540.742,539.32,542.917,1503.8336181640625,4.29846024213229
