case,control,sweep_ratio,trial1_ratio,trial2_ratio,trial1_cpu_ns,trial2_cpu_ns
overwrite-all/striped/k4/ikea2,overwrite-all/striped/k4/prior,1.476144941708882,1.4712658388634545,1.4693928884601188,130.02023385393892,129.84869385548149
overwrite-all/striped/k10/ikea2,overwrite-all/striped/k10/ikea,1.4095148241064241,1.4183866541857442,1.4196881997729265,436.0794109585637,436.1268555584978
overwrite-all/local/k28/ikea2,overwrite-all/local/k28/ikea,1.5088193624199613,1.5068262320001737,1.5070666401486021,2639.347179274444,2639.3250334571217
overwrite-all/local/k36/ikea2,overwrite-all/local/k36/ikea,1.4774138683198232,1.4782537108164622,1.4773473862725794,3009.3131328331488,3007.8983451536715
overwrite/striped/k12/all/ikea2-coverage,overwrite/striped/k12/all/control-coverage,1.5907282314178708,1.591911213591448,1.5920180475772945,492.4013907226479,492.44366593505447
placed/k63h16/substituted/all/sum-native,placed/k63h16/substituted/all/sum-materialized,1.4432354165220704,1.4419455840204922,1.4466785691568653,7767.743216192191,7788.946823319772
decode/striped/k5/ikea2,decode/striped/k5/prior,1.4296798585387096,1.317539137718845,1.3281169862896411,212.11464575930202,214.51306719487016
decode/striped/k7/ikea2,decode/striped/k7/prior,1.6083770883380708,1.4394956787903155,1.4595465148311555,252.36042293237097,255.84917239602623
get16-ends/striped/k7/ikea2-range,get16-ends/striped/k7/prior,1.5242640875053726,1.5425033458062014,1.5634409890639862,1846.292187100837,1870.1261268600078
