trial,case,repetition,cpu_ns,real_ns
01-candidate,overwrite-all/striped/k4/ikea2,0,130.0780480544729,130.08046659172012
01-candidate,overwrite-all/striped/k4/ikea2,1,130.08204608243494,130.0784424619935
01-candidate,overwrite-all/striped/k4/ikea2,2,129.64202859455082,129.63844078771675
01-candidate,overwrite-all/striped/k4/ikea2,3,130.04457363980538,130.0459326718898
01-candidate,overwrite-all/striped/k4/ikea2,4,129.85468870636169,129.8532961869003
01-candidate,overwrite-all/striped/k4/ikea2,5,129.80719421783584,129.8036436192066
01-candidate,overwrite-all/striped/k4/ikea2,6,130.02023385393892,130.03391626279804
01-candidate,overwrite-all/striped/k4/prior,0,88.31175684188341,88.30937532753414
01-candidate,overwrite-all/striped/k4/prior,1,88.35212202847214,88.35184493221684
01-candidate,overwrite-all/striped/k4/prior,2,88.3703346491733,88.37038009543298
01-candidate,overwrite-all/striped/k4/prior,3,88.37303933759442,88.37210200662793
01-candidate,overwrite-all/striped/k4/prior,4,88.39908135273564,88.39665186737369
01-candidate,overwrite-all/striped/k4/prior,5,88.49471370699486,88.494984491398
01-candidate,overwrite-all/striped/k4/prior,6,88.43227296081646,88.44176177779592
01-candidate,overwrite-all/striped/k10/ikea2,0,436.0794109585637,436.06744138309597
01-candidate,overwrite-all/striped/k10/ikea2,1,436.0917138016091,436.095466946317
01-candidate,overwrite-all/striped/k10/ikea2,2,436.0283681758145,436.0273746039421
01-candidate,overwrite-all/striped/k10/ikea2,3,435.75236090000726,435.7466984766023
01-candidate,overwrite-all/striped/k10/ikea2,4,435.85504447711395,435.8430655567334
01-candidate,overwrite-all/striped/k10/ikea2,5,437.41545922308416,437.4110115112914
01-candidate,overwrite-all/striped/k10/ikea2,6,436.52119826576615,436.5330307978189
01-candidate,overwrite-all/striped/k10/ikea,0,308.0534113507389,308.0524478913742
01-candidate,overwrite-all/striped/k10/ikea,1,306.93317077257547,306.9243386958253
01-candidate,overwrite-all/striped/k10/ikea,2,306.7580968044898,306.74958441129667
01-candidate,overwrite-all/striped/k10/ikea,3,307.4474859670085,307.4504799651483
01-candidate,overwrite-all/striped/k10/ikea,4,307.278349288099,307.2732696324606
01-candidate,overwrite-all/striped/k10/ikea,5,307.87767376436915,307.90367613664154
01-candidate,overwrite-all/striped/k10/ikea,6,307.87962272969753,307.8774863641125
01-candidate,overwrite-all/local/k28/ikea2,0,2639.2789048947884,2639.206312692199
01-candidate,overwrite-all/local/k28/ikea2,1,2639.2420619956256,2639.1693378123955
01-candidate,overwrite-all/local/k28/ikea2,2,2639.347179274444,2639.517195870715
01-candidate,overwrite-all/local/k28/ikea2,3,2640.0237008824165,2639.9512595224523
01-candidate,overwrite-all/local/k28/ikea2,4,2640.3278150690157,2640.295308844489
