case,control,scope,native_ns,control_ns,native_over_control,separated,first_edge,second_edge,edges_agree,native_samples,control_samples
wikileaks-noquotes_srt/split/0/256,specialized,count,7689.022228423344,7712.718377976149,0.9969276526911096,overlap,1.0002567482689058,0.995194602458353,False,"[7686.338169643216, 7690.229352679056, 7688.827008928674, 7697.283110119635, 7688.508928569003, 7689.217447918014]","[7699.204613095547, 7684.18954613064, 7686.853422619084, 7729.591517857152, 7726.232142856752, 7726.345610118794]"
wikileaks-noquotes_srt/split/0/256,materialized,count,7689.022228423344,7705.65085565447,0.9978420217133347,win,0.9976352248107733,0.998325362538536,True,"[7686.338169643216, 7690.229352679056, 7688.827008928674, 7697.283110119635, 7688.508928569003, 7689.217447918014]","[7707.052455357172, 7710.450706844258, 7704.24925595177, 7701.139136903226, 7702.115699400761, 7708.875372026638]"
wikileaks-noquotes_srt/inline/3/37,specialized,count,1065.8272752637545,1067.485040962401,0.998447036131624,overlap,1.0001901743641086,0.9967496055377624,False,"[1065.7539569804917, 1065.9005935470173, 1068.4581726866516, 1065.6925984172397, 1065.6167309252974, 1066.331802962955]","[1065.8196530032476, 1065.3420505275521, 1065.6979251217754, 1069.3031045750827, 1069.150428921554, 1069.167815564152]"
wikileaks-noquotes_srt/inline/3/37,materialized,count,1065.8272752637545,1100.7297084733264,0.9682915497411437,win,0.9684317373521577,0.9678821954048549,True,"[1065.7539569804917, 1065.9005935470173, 1068.4581726866516, 1065.6925984172397, 1065.6167309252974, 1066.331802962955]","[1100.646078020279, 1100.1283294883121, 1100.8133389263737, 1101.3521130449071, 1101.0561031877146, 1100.601536283835]"
wikileaks-noquotes_srt/split/3/37,specialized,count,1142.9337565106568,1142.1744656033093,1.0006647766433359,overlap,1.0018782378413973,1.0007189086705095,True,"[1144.8648929196463, 1144.3549224214153, 1141.4374999998608, 1142.4599880641151, 1143.0681694883185, 1142.7993435329952]","[1142.5717502169846, 1142.2095811632678, 1142.139350043351, 1142.4482353589055, 1141.6554851399005, 1141.978365384586]"
wikileaks-noquotes_srt/split/3/37,materialized,count,1142.9337565106568,1145.831785402198,0.9974708077324597,win,0.9957344557267673,0.9974867881223127,True,"[1144.8648929196463, 1144.3549224214153, 1141.4374999998608, 1142.4599880641151, 1143.0681694883185, 1142.7993435329952]","[1145.8808184007216, 1149.2571295890054, 1149.5292012677114, 1145.782752403674, 1145.6150021851404, 1145.6786767915207]"
wikileaks-noquotes_srt/inline/15/18,specialized,count,517.2088673107598,517.0674290996337,1.0002735392004334,overlap,0.9992628167760096,1.001122604512959,False,"[516.9704381901138, 517.0431289431975, 516.8085198147185, 517.3832437895788, 517.4784971412275, 517.374605678322]","[516.963032334392, 517.3518212736576, 518.6450734424368, 516.8030783215439, 517.1718258648755, 516.7465728186116]"
wikileaks-noquotes_srt/inline/15/18,materialized,count,517.2088673107598,537.2139044376975,0.9627615053116003,win,0.9624571109582862,0.9629465975841021,True,"[516.9704381901138, 517.0431289431975, 516.8085198147185, 517.3832437895788, 517.4784971412275, 517.374605678322]","[537.1360783810758, 537.3142161884952, 536.9734246925614, 538.0548534520276, 537.291730494319, 536.8160871119769]"
wikileaks-noquotes_srt/split/15/18,specialized,count,547.787213889939,548.8610102505479,0.9980435914729693,overlap,0.9972129475105609,0.9988931108590867,True,"[547.594899665611, 547.4704091764378, 547.8569711538674, 547.7174566260106, 547.9894439798687, 548.1548521115047]","[549.8229734689638, 549.1253408137401, 548.0049811241641, 548.0310546871851, 548.5966796873557, 549.4956380210543]"
wikileaks-noquotes_srt/split/15/18,materialized,count,547.787213889939,553.0798603780539,0.9904305926372059,win,0.9899367969287403,0.9909367897305489,True,"[547.594899665611, 547.4704091764378, 547.8569711538674, 547.7174566260106, 547.9894439798687, 548.1548521115047]","[554.2928499788964, 553.1614759290832, 552.6316379856689, 553.0014120566415, 552.9668232687266, 553.1583086994664]"
