name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,drain_ns_per_update,flush_ns_per_update,read_ns_per_update,reset_ns_per_update,updates,write_ns_per_update
spread/t4/eager_atomic/manual_time,0,1,44,1257709.772727273,2460577.386363637,ns,0.0,0.0,0.5694469105113638,0.0,8192.0,152.95957808061078
spread/t4/eager_atomic/manual_time,1,1,44,1374472.9545454548,2483972.477272727,ns,0.0,0.0,0.6241011186079546,0.0,8192.0,167.15824196555403
spread/t4/eager_atomic/manual_time,2,1,44,1269998.7045454546,2517306.704545454,ns,0.0,0.0,0.5513971502130682,0.0,8192.0,154.47774158824575
spread/t4/eager_atomic/manual_time,3,1,44,1226026.2727272725,2506302.431818183,ns,0.0,0.0,0.5631741610440343,0.0,8192.0,149.09823608398438
spread/t4/eager_atomic/manual_time,4,1,44,1229853.5227272725,2458397.5454545463,ns,0.0,0.0,0.5888949307528409,0.0,8192.0,149.53970891779116
spread/t4/eager_striped/manual_time,0,1,60,1024029.3166666668,2468409.0500000017,ns,0.0,0.0,0.6985514322916664,0.0,8192.0,124.30502726236983
spread/t4/eager_striped/manual_time,1,1,60,1016434.1833333331,2495628.449999998,ns,0.0,0.0,0.6076029459635418,0.0,8192.0,123.46883544921874
spread/t4/eager_striped/manual_time,2,1,60,1014613.5833333333,2419203.5333333323,ns,0.0,0.0,0.6221394856770834,0.0,8192.0,123.23205769856773
spread/t4/eager_striped/manual_time,3,1,60,998957.8666666669,2441570.2833333346,ns,0.0,0.0,0.5778076171875,0.0,8192.0,121.36529134114578
spread/t4/eager_striped/manual_time,4,1,60,1026277.5333333333,2454231.883333335,ns,0.0,0.0,0.5857482910156249,0.0,8192.0,124.69227091471355
spread/t4/word_check_span/manual_time,0,1,29,1835839.0,2966014.551724133,ns,53.3789272966056,53.95666082974138,5.100758519665949,0.5777335331357757,8192.0,165.04402108028017
spread/t4/word_check_span/manual_time,1,1,29,1914951.2413793101,2898810.51724139,ns,57.059991244612064,57.66103178879311,5.275908371497846,0.6010405441810346,8192.0,170.8217562971444
spread/t4/word_check_span/manual_time,2,1,29,1940418.1034482752,2971867.5862069027,ns,59.69968598464438,60.39631179283406,5.513293036099139,0.6966258081896551,8192.0,170.9578394396552
spread/t4/word_check_span/manual_time,3,1,29,1931545.965517242,2969859.206896565,ns,58.66941254714439,59.197354020743525,5.874722184806035,0.5279414735991379,8192.0,170.71234341325427
spread/t4/word_check_span/manual_time,4,1,29,1903756.310344828,2921860.758620691,ns,56.20727539062499,56.73186624461208,5.287319841056035,0.5245908539870688,8192.0,170.37294164197198
spread/t4/read_flush_span/manual_time,0,1,29,1916759.6551724137,3001061.5172413783,ns,64.02462031923493,64.52887594288794,0.5393445245150876,0.5042556236530175,8192.0,168.91122962688578
spread/t4/read_flush_span/manual_time,1,1,29,1886931.3448275863,2993406.827586202,ns,61.647040005387936,62.130211139547406,0.5750690328663789,0.4831711341594827,8192.0,167.63301875673488
spread/t4/read_flush_span/manual_time,2,1,29,1933101.7241379314,2953268.7931034444,ns,64.54495554956895,65.01329724542026,0.5842285156250002,0.46834169585129304,8192.0,170.3768057987608
spread/t4/read_flush_span/manual_time,3,1,29,1978234.5172413788,2966561.9310344867,ns,68.61624040274783,69.08153875942887,0.5689486799568987,0.46529835668103453,8192.0,171.83321827855605
spread/t4/read_flush_span/manual_time,4,1,29,1985076.7586206896,2960790.275862073,ns,67.05242709455817,67.52178744612071,0.5628030711206895,0.4693603515624999,8192.0,174.2343497440732
spread/t4/append_scan/manual_time,0,1,55,1064606.4363636363,2987269.509090916,ns,57.7130770596591,57.946573153409105,10.289988014914773,0.23349609374999997,8192.0,61.72027920809658
spread/t4/append_scan/manual_time,1,1,55,1066847.709090909,3043718.781818182,ns,57.76340110085226,57.97860440340907,10.371271306818183,0.21520330255681816,8192.0,61.8805575284091
spread/t4/append_scan/manual_time,2,1,55,1046691.2545454545,2994859.85454545,ns,57.05740855823866,57.253739790482975,10.433760209517045,0.19633123224431812,8192.0,60.08242853338069
spread/t4/append_scan/manual_time,3,1,55,1039522.3090909091,3002733.327272722,ns,56.683820134943154,56.86517888849432,10.057739257812498,0.1813587535511364,8192.0,59.97189497514204
spread/t4/append_scan/manual_time,4,1,55,1062564.563636364,3013897.581818173,ns,57.87715953480113,58.15698020241477,10.466095525568186,0.2798206676136364,8192.0,61.08451260653409
spread/t4/append_flush/manual_time,0,1,43,1220687.1627906975,3156685.1395348776,ns,87.74310728561049,88.07336993550145,0.5724984102470937,0.33026264989098836,8192.0,60.36379508085029
spread/t4/append_flush/manual_time,1,1,43,1217145.9767441857,3199494.9534883685,ns,85.94587743005086,86.20611146438955,0.5773812227470907,0.2602340343386628,8192.0,61.793897052143905
spread/t4/append_flush/manual_time,2,1,43,1207679.3953488371,3154792.9302325565,ns,86.27219976380813,86.63784577125729,0.6020848473837208,0.365646007449128,8192.0,60.18187057140263
spread/t4/append_flush/manual_time,3,1,43,1224462.8139534881,3200642.4651162685,ns,88.0081332894259,88.39574627543605,0.5630337027616279,0.3876129860101744,8192.0,60.511778365734024
spread/t4/append_flush/manual_time,4,1,43,1193535.0465116284,3080154.837209305,ns,84.35789312318313,84.7784054778343,0.5937840661337215,0.4205123546511629,8192.0,60.32300656340843
hot/t4/eager_atomic/manual_time,0,1,42,1231326.7857142854,2361549.571428571,ns,0.0,0.0,1.0369001116071428,0.0,8192.0,149.27154541015628
hot/t4/eager_atomic/manual_time,1,1,42,1221736.9285714286,2367824.0238095336,ns,0.0,0.0,1.024890718005952,0.0,8192.0,148.11291794549857
hot/t4/eager_atomic/manual_time,2,1,42,1208711.8571428573,2348011.452380944,ns,0.0,0.0,0.9769403366815474,0.0,8192.0,146.57089378720238
hot/t4/eager_atomic/manual_time,3,1,42,1210599.3095238097,2337279.476190467,ns,0.0,0.0,1.0017961774553572,0.0,8192.0,146.7764398484003
hot/t4/eager_atomic/manual_time,4,1,42,1208444.4523809524,2324341.2857142747,ns,0.0,0.0,0.9708048502604163,0.0,8192.0,146.5443870907738
hot/t4/eager_striped/manual_time,0,1,54,1033404.8148148148,2356567.000000005,ns,0.0,0.0,1.0203676576967593,0.0,8192.0,125.12768102575234
hot/t4/eager_striped/manual_time,1,1,54,1024170.351851852,2313854.1111111143,ns,0.0,0.0,1.0149174442997684,0.0,8192.0,124.00587745949076
hot/t4/eager_striped/manual_time,2,1,54,1046286.8148148151,2344718.222222223,ns,0.0,0.0,1.1675663700810184,0.0,8192.0,126.55299207899304
hot/t4/eager_striped/manual_time,3,1,54,1017101.4814814813,2367660.9074074104,ns,0.0,0.0,1.0521262839988426,0.0,8192.0,123.10576940465859
hot/t4/eager_striped/manual_time,4,1,54,1013290.2222222224,2342210.7222222234,ns,0.0,0.0,1.1250067816840277,0.0,8192.0,122.56764729817708
hot/t4/word_check_span/manual_time,0,1,80,692159.7,2484160.3999999906,ns,6.393974304199219,11.695933532714841,2.683607482910156,5.301959228515626,8192.0,70.11260986328122
hot/t4/word_check_span/manual_time,1,1,80,698026.8624999998,2489707.9124999945,ns,6.557133483886721,11.659936523437505,2.645416259765626,5.102803039550781,8192.0,70.9030044555664
hot/t4/word_check_span/manual_time,2,1,80,698709.5000000003,2489543.6750000054,ns,6.265022277832032,11.544705200195313,2.6209686279296878,5.279682922363284,8192.0,71.12601318359376
hot/t4/word_check_span/manual_time,3,1,80,708260.5000000002,2491854.9249999924,ns,6.3437622070312525,11.683987426757815,2.7079620361328134,5.340225219726562,8192.0,72.06563110351563
hot/t4/word_check_span/manual_time,4,1,80,712656.7500000002,2497209.899999997,ns,6.490438842773438,11.478048706054684,2.7413223266601574,4.987609863281249,8192.0,72.77486114501951
hot/t4/read_flush_span/manual_time,0,1,80,704616.35,2469191.2250000006,ns,6.750918579101563,11.42890625,1.0298126220703128,4.677987670898438,8192.0,73.55401916503908
hot/t4/read_flush_span/manual_time,1,1,80,698955.3874999998,2501419.075,ns,6.931600952148438,11.80941314697265,1.0664596557617185,4.8778121948242195,8192.0,72.44582977294921
hot/t4/read_flush_span/manual_time,2,1,80,682725.05,2489386.8250000062,ns,6.816508483886717,11.566928100585937,1.0194122314453127,4.750419616699219,8192.0,70.75411987304689
