case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct
small,1,eager_plain,8192,949504,8192,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,eager_atomic,8192,949504,8192,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,eager_striped,8192,949504,8192,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,scatter_record,8192,949504,8192,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1
small,1,word_or_record,8192,949504,8192,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1
small,1,word_check_record,8192,949504,8192,3844784674952346609,38028,8192,28,0,4,28672,7699907071562194480,1
small,1,word_check_span,8192,949504,8192,3844784674952346609,38028,128,28,0,4,28672,7699907071562194480,1
small,1,exact_top_span,8192,949504,8192,3844784674952346609,38040,128,28,0,4,28672,7699907071562194480,1
small,1,read_flush_span,8192,949504,8192,3844784674952346609,38028,128,8,0,0,0,7699907071562194480,1
small,1,append_scan,8192,949504,0,3844784674952346609,0,128,32,4,4,32768,7699907071562194480,1
small,1,append_flush,8192,949504,0,3844784674952346609,0,128,8,0,0,0,7699907071562194480,1
small,4,eager_atomic,8192,949504,8192,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,4,eager_striped,8192,949504,8192,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,4,scatter_record,8192,949504,8192,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1
small,4,word_or_record,8192,949504,8192,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1
small,4,word_check_record,8192,949504,8192,3844784674952346609,38047,8192,28,0,4,28672,7699907071562194480,1
small,4,word_check_span,8192,949504,8192,3844784674952346609,38066,128,28,0,4,28672,7699907071562194480,1
small,4,exact_top_span,8192,949504,8192,3844784674952346609,38059,128,28,0,4,28672,7699907071562194480,1
small,4,read_flush_span,8192,949504,8192,3844784674952346609,38057,128,8,0,0,0,7699907071562194480,1
small,4,append_scan,8192,949504,0,3844784674952346609,0,128,32,4,4,32768,7699907071562194480,1
small,4,append_flush,8192,949504,0,3844784674952346609,0,128,8,0,0,0,7699907071562194480,1
spread,1,eager_plain,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,eager_atomic,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,eager_striped,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,scatter_record,8192,55653632,8192,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1
spread,1,word_or_record,8192,55653632,8192,3026247559750320707,65536,8192,18,2,16,18432,401617623381871345,1
spread,1,word_check_record,8192,55653632,8192,3026247559750320707,58413,8192,18,2,16,18432,401617623381871345,1
spread,1,word_check_span,8192,55653632,8192,3026247559750320707,58413,128,18,2,16,18432,401617623381871345,1
spread,1,exact_top_span,8192,55653632,8192,3026247559750320707,58464,128,18,2,16,18432,401617623381871345,1
spread,1,read_flush_span,8192,55653632,8192,3026247559750320707,58413,128,8,0,0,0,401617623381871345,1
spread,1,append_scan,8192,55653632,0,3026247559750320707,0,128,32,16,16,32768,401617623381871345,1
spread,1,append_flush,8192,55653632,0,3026247559750320707,0,128,8,0,0,0,401617623381871345,1
spread,4,eager_atomic,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,4,eager_striped,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,4,scatter_record,8192,55653632,8192,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1
spread,4,word_or_record,8192,55653632,8192,3026247559750320707,65536,8192,18,2,16,18432,401617623381871345,1
spread,4,word_check_record,8192,55653632,8192,3026247559750320707,58443,8192,18,2,16,18432,401617623381871345,1
spread,4,word_check_span,8192,55653632,8192,3026247559750320707,58443,128,18,2,16,18432,401617623381871345,1
spread,4,exact_top_span,8192,55653632,8192,3026247559750320707,58493,128,18,2,16,18432,401617623381871345,1
spread,4,read_flush_span,8192,55653632,8192,3026247559750320707,58447,128,8,0,0,0,401617623381871345,1
spread,4,append_scan,8192,55653632,0,3026247559750320707,0,128,32,16,16,32768,401617623381871345,1
spread,4,append_flush,8192,55653632,0,3026247559750320707,0,128,8,0,0,0,401617623381871345,1
hot,1,eager_plain,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,eager_atomic,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,eager_striped,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,scatter_record,8192,55653632,8192,13296192339615243068,262144,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_or_record,8192,55653632,8192,13296192339615243068,65536,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_check_record,8192,55653632,8192,13296192339615243068,4064,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_check_span,8192,55653632,8192,13296192339615243068,4064,128,11,0,21,11264,12571949920618476691,1
hot,1,exact_top_span,8192,55653632,8192,13296192339615243068,4064,128,11,0,21,11264,12571949920618476691,1
hot,1,read_flush_span,8192,55653632,8192,13296192339615243068,4064,128,8,0,0,0,12571949920618476691,1
hot,1,append_scan,8192,55653632,0,13296192339615243068,0,128,32,21,21,32768,12571949920618476691,1
hot,1,append_flush,8192,55653632,0,13296192339615243068,0,128,8,0,0,0,12571949920618476691,1
hot,4,eager_atomic,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,4,eager_striped,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
