input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
02-candidate,scan_grain/k4/predecessor256/decode/8192,1,5,"[131.79791821259136,129.03440641613375,127.62197668154066,128.48970796019282,130.02685383778652]",129.03440641613375,"[131.79480569638832,129.03139554976013,127.61896378229956,128.48670522579656,130.0386025188705]",129.03139554976013,"[0.016088613063060468,0.01575127031446945,0.015578854575383381,0.015684778803734478,0.015872418681370428]",0.01575127031446945
02-candidate,scan_grain/k4/predecessor256/encode/256,1,5,"[3.0194115797893764,3.0058632306108684,3.0237394585761823,2.9904278326555116,3.010945088676808]",3.010945088676808,"[3.0193417033813503,3.005792754038068,3.023667824544015,2.9903578276439813,3.0109638652804795]",3.0109638652804795,"[0.011794576483552251,0.011741653244573706,0.011811482260063214,0.011681358721310592,0.01176150425264378]",0.01176150425264378
02-candidate,scan_grain/k4/predecessor256/encode/65536,1,5,"[886.2838038068479,885.428846421743,886.4777047477875,886.7260362448258,886.8340361941629]",886.4777047477875,"[886.2630979058815,885.4082544983421,886.4569988464498,886.7251244250207,886.8132416441201]",886.4569988464498,"[0.013523617611798827,0.013510571997402082,0.013526576305355642,0.013530365543286526,0.013532013491732223]",0.013526576305355642
02-candidate,scan_grain/k4/predecessor256/encode/8192,1,5,"[87.16555090707524,87.11619794829402,87.12371085372658,87.53243526172896,87.1103291894381]",87.12371085372658,"[87.16347461318503,87.11660898486538,87.1216469779004,87.54509916410126,87.1082814570729]",87.1216469779004,"[0.010640326038461333,0.010634301507360108,0.010635218610074047,0.010685111726285272,0.010633585106132583]",0.010635218610074047
02-candidate,scan_grain/k6/bound/decode/256,1,5,"[6.918390007337756,6.91950719226125,6.92085446148895,6.918089592018777,6.918913186995983]",6.918913186995983,"[6.9182263962258155,6.919344570327872,6.920947148074079,6.917924793892509,6.918750861821567]",6.918750861821567,"[0.027024960966163105,0.027029324969770507,0.02703458774019121,0.027023787468823345,0.02702700463670306]",0.02702700463670306
02-candidate,scan_grain/k6/bound/decode/65536,1,5,"[1559.1974788980149,1559.335649540093,1558.981024921481,1559.1910425157532,1558.6021692167142]",1559.1910425157532,"[1559.16119908203,1559.3539787548864,1558.9445001223642,1559.1543618192388,1558.564887197576]",1559.1543618192388,"[0.023791465437286604,0.023793573753968705,0.023788162611716936,0.023791367225887348,0.023782381732432772]",0.023791367225887348
02-candidate,scan_grain/k6/bound/decode/8192,1,5,"[158.4675246566608,158.28244029719,158.4471933688173,158.34513446415647,158.45618553204537]",158.4471933688173,"[158.46380072071685,158.29801887519739,158.45201843184228,158.34146479348726,158.4524457688497]",158.45201843184228,"[0.019344180255940042,0.019321586950340575,0.01934169840927945,0.019329240046894104,0.01934279608545476]",0.01934169840927945
02-candidate,scan_grain/k6/bound/encode/256,1,5,"[9.090804670716139,9.086006595985955,9.090717717001638,9.090275138214604,9.086091466976928]",9.090275138214604,"[9.090588978647025,9.085795329699295,9.090780328876225,9.090254180800754,9.085878638639498]",9.090254180800754,"[0.03551095574498492,0.03549221326557014,0.03551061608203765,0.03550888725865079,0.035492544792878625]",0.03550888725865079
02-candidate,scan_grain/k6/bound/encode/65536,1,5,"[1407.46042832413,1407.7208445714857,1407.7150879594212,1408.227366048082,1407.7525461937807]",1407.7208445714857,"[1407.4672718505865,1407.6873314294814,1407.6818968659209,1408.2587053663067,1407.749667889161]",1407.6873314294814,"[0.0214761417896138,0.021480115426200645,0.021480027587271446,0.02148784433056766,0.021480599154568188]",0.021480115426200645
02-candidate,scan_grain/k6/bound/encode/8192,1,5,"[174.5655483366924,174.16874730951437,174.3733163464603,174.70816340241942,174.5897098380366]",174.5655483366924,"[174.5869403477446,174.16472619868568,174.3692429809339,174.7040925255093,174.59122770779197]",174.5869403477446,"[0.021309271037193895,0.021260833411805954,0.02128580521807377,0.021326680102834398,0.021312220439213454]",0.021309271037193895
