scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
bulk,bulk/calico/local/k1/h0/u64/encode,prior-control,ns/value,0.05813544172450705,0.05803964893518196,0.9983522480180157,0.05798479470500365,0.058203215778144905,0.057941250774604165,0.05807098921392494,False,False,True,"[0.05817166345371078, 0.057978322861240626, 0.05804449442153878, 0.05809921999530331]"
bulk,bulk/calico/local/k10/h0/u64/encode,prior-control,ns/value,0.06458456165576254,0.06423394372140051,0.9945711803970919,0.06449920329147629,0.06469047103357327,0.06406030608755656,0.06439806652504182,True,False,True,"[0.06453482767038402, 0.06422773729528318, 0.06424015014751785, 0.06463429564114107]"
bulk,bulk/calico/local/k11/h0/u64/encode,prior-control,ns/value,0.06536398800184316,0.06510946460266415,0.9961060607383405,0.06506079125507899,0.06552283609589402,0.06483173908624973,0.06545402828243146,False,False,False,"[0.06542688897722906, 0.06502300419386103, 0.06537902488919241, 0.0652677791669851]"
bulk,bulk/calico/local/k12/h0/u64/encode,prior-control,ns/value,0.06617339358349017,0.06663387140394383,1.006958655065388,0.06613682898973217,0.06640941261521602,0.06651364489743365,0.0667347216059681,False,True,True,"[0.06614416050682265, 0.06659915869691502, 0.06665724392972364, 0.06620156462735724]"
bulk,bulk/calico/local/k13/h0/u64/encode,prior-control,ns/value,0.06654131269099864,0.06633416321704505,0.9968869043068697,0.06623090168053457,0.06675954396840574,0.06610240184443061,0.0666072000826387,False,False,True,"[0.06672893768800599, 0.06644683208015437, 0.06616842687823636, 0.06627122644918967]"
bulk,bulk/calico/local/k14/h0/u64/encode,prior-control,ns/value,0.06672080114330764,0.06718186066293888,1.0069102815273596,0.0663920164386459,0.06685589649196352,0.0670736100966329,0.06734302075085533,False,True,True,"[0.06653030315289916, 0.06708525622844677, 0.06718945281747243, 0.06685332531304616]"
bulk,bulk/calico/local/k15/h0/u64/encode,prior-control,ns/value,0.06827928491533741,0.06840152041279873,1.0017902281433217,0.0679424074569091,0.06854542002387987,0.06823581848404589,0.06851194894179484,False,False,False,"[0.06822257147374491, 0.0684639813775424, 0.06838985355308909, 0.06846927403590522]"
bulk,bulk/calico/local/k16/h0/u64/encode,prior-control,ns/value,0.0694692174363318,0.06935854004025722,0.9984068138355522,0.06932214932270363,0.06975869754376379,0.06894674809813207,0.06956982898486673,False,False,True,"[0.06939247718192113, 0.06937599809631505, 0.06903318704946446, 0.06961323675103677]"
bulk,bulk/calico/local/k17/h0/u64/encode,prior-control,ns/value,0.06890636103258614,0.06857901078264672,0.9952493464313895,0.06788267409180375,0.06951408783857835,0.06850804069790299,0.0687582361007164,False,False,False,"[0.06942538069394769, 0.06859775642196711, 0.06856026514332632, 0.06790484416007941]"
bulk,bulk/calico/local/k18/h0/u64/encode,prior-control,ns/value,0.06950009956342208,0.06945182103517883,0.999305345912502,0.06899301454733926,0.06998203315075992,0.06900510034961896,0.07002792827426996,False,False,False,"[0.06912601104368307, 0.06985849685880718, 0.06902606417715772, 0.0698989913295485]"
bulk,bulk/calico/local/k19/h0/u64/encode,prior-control,ns/value,0.06924311116978787,0.06929954998095667,1.000815081965777,0.06868314358346095,0.06980359755085025,0.06864679728537446,0.06987591785527941,False,False,True,"[0.06973956802879654, 0.06986609308043763, 0.06868898300045656, 0.06868324190172287]"
bulk,bulk/calico/local/k2/h0/u64/encode,prior-control,ns/value,0.0594576291114687,0.05936106717733764,0.9983759538418522,0.05942110035687068,0.05959742129015054,0.05926373028079043,0.059574650413654194,False,False,True,"[0.059451822418547545, 0.05942448748787524, 0.05928417854251079, 0.059463435804389855]"
bulk,bulk/calico/local/k20/h0/u64/encode,prior-control,ns/value,0.06968953586817363,0.06917694518585746,0.9926446535203535,0.06877470770919906,0.0706763599711432,0.0688040667381205,0.06970839074466885,False,False,False,"[0.07059253069938314, 0.06955681480673556, 0.06883353639682614, 0.06880530411865207]"
bulk,bulk/calico/local/k21/h0/u64/encode,prior-control,ns/value,0.06919617624878087,0.06972508047426891,1.0076435470015925,0.06867069389821577,0.06973420337481184,0.06935934137548995,0.07015299906639774,False,False,False,"[0.06969395584374195, 0.06940481958574411, 0.07012718369335012, 0.06869388195559324]"
bulk,bulk/calico/local/k22/h0/u64/encode,prior-control,ns/value,0.06881242301537671,0.06991417025107793,1.0160108769234157,0.0687342326872043,0.06884361303336353,0.06962779246190369,0.07018232844969534,False,True,True,"[0.06881338501921203, 0.06968789586604686, 0.07010372154715896, 0.0688114610115414]"
bulk,bulk/calico/local/k23/h0/u64/encode,prior-control,ns/value,0.0702209723630959,0.06947604414237829,0.9893916561441821,0.06920273392136186,0.07129600193263187,0.06894066486430968,0.0700700430804535,False,False,False,"[0.07125452797979151, 0.06897190339483948, 0.06997737259904356, 0.06922421087198327]"
bulk,bulk/calico/local/k24/h0/u64/encode,prior-control,ns/value,0.06525289062092177,0.06633168678534691,1.0165325421473246,0.06477874258078035,0.06566212863373393,0.0648691665034332,0.06774359798202002,False,False,False,"[0.06563755408181207, 0.06497403627279948, 0.06761016198172173, 0.06484212776375521]"
bulk,bulk/calico/local/k25/h0/u64/encode,prior-control,ns/value,0.08616104244414685,0.08759501073223928,1.0166428846194844,0.08568518484124524,0.08665919888425067,0.08721131363755481,0.08808657638989711,False,True,True,"[0.08656533461004032, 0.08722184583863686, 0.08797416278928333, 0.08571289651066613]"
bulk,bulk/calico/local/k26/h0/u64/encode,prior-control,ns/value,0.08889043925910298,0.08898359865656136,1.001048024942107,0.08772779071282248,0.09005852331987654,0.08822344164213923,0.08991583500303767,False,False,False,"[0.08772806250053693, 0.08967892946057293, 0.08824325715970979, 0.09001827447500209]"
