scope,corpus,name,partition,weighting,corpus_windows,occurrence_weight_within_corpus,model,scan,byte_scope,metadata_bytes,suffix_bytes,plain_bytes,minimum_saving_bytes,windows,actual_body_bytes_sum,predicted_body_bytes_sum,actual_total_bytes_sum,predicted_total_bytes_sum,predicted_conversions,actual_beneficial_windows,false_conversions,missed_savings_windows,false_conversion_excess_bytes,missed_savings_bytes,excess_actual_bytes_over_best,chosen_actual_bytes,best_actual_bytes,near_crossover_windows,near_false_conversions,near_missed_savings_windows,near_excess_actual_bytes_over_best,signed_error_mean_bytes,mae_bytes,p95_absolute_error_bytes,max_absolute_error_bytes,min_signed_error_bytes,max_signed_error_bytes,near_signed_error_mean_bytes,near_mae_bytes,near_p95_absolute_error_bytes,near_max_absolute_error_bytes,near_min_signed_error_bytes,near_max_signed_error_bytes,actual_total_bytes_mean,predicted_total_bytes_mean,false_conversion_fraction,missed_savings_fraction,mean_excess_actual_bytes_over_best
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,1024,64,8192,0,135,605092,606833,756160,757952,135,135,0,0,0,0,0,756160,756160,0,0,0,0,12.896296296296295,13.311111111111112,29,43,-10,43,,,,,,,5601.185185185185,5614.459259259259,0.0,0.0,0.0
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,1024,64,8192,0,135,605092,606833,751972,753713,135,135,0,0,0,0,0,751972,751972,0,0,0,0,12.896296296296295,13.311111111111112,29,43,-10,43,,,,,,,5570.162962962963,5583.059259259259,0.0,0.0,0.0
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,512,64,8192,0,135,605092,606744,687040,688640,135,135,0,0,0,0,0,687040,687040,0,0,0,0,12.237037037037037,106.19259259259259,252,317,-317,294,,,,,,,5089.185185185185,5101.037037037037,0.0,0.0,0.0
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,512,64,8192,0,135,605092,606744,682852,684504,135,135,0,0,0,0,0,682852,682852,0,0,0,0,12.237037037037037,106.19259259259259,252,317,-317,294,,,,,,,5058.162962962963,5070.4,0.0,0.0,0.0
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,1024,64,8192,0,135,605092,606744,756160,757760,135,135,0,0,0,0,0,756160,756160,0,0,0,0,12.237037037037037,106.19259259259259,252,317,-317,294,,,,,,,5601.185185185185,5613.037037037037,0.0,0.0,0.0
archive,msmarco-keyset,3,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,1024,64,8192,0,135,605092,606744,751972,753624,135,135,0,0,0,0,0,751972,751972,0,0,0,0,12.237037037037037,106.19259259259259,252,317,-317,294,,,,,,,5570.162962962963,5582.4,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,512,64,8192,0,135,1155442,1154245,1237312,1236736,2,2,0,0,0,0,0,1105792,1105792,3,0,0,0,-8.866666666666667,17.666666666666668,44,84,-84,54,-65.66666666666667,65.66666666666667,84,84,-84,-44,9165.274074074074,9161.007407407407,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,512,64,8192,0,135,1155442,1154245,1233202,1232005,2,2,0,0,0,0,0,1105760,1105760,3,0,0,0,-8.866666666666667,17.666666666666668,44,84,-84,54,-65.66666666666667,65.66666666666667,84,84,-84,-44,9134.82962962963,9125.962962962964,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,1024,64,8192,0,135,1155442,1154245,1306432,1305856,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,-8.866666666666667,17.666666666666668,44,84,-84,54,-76.5,76.5,84,84,-84,-69,9677.274074074074,9673.007407407407,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,1024,64,8192,0,135,1155442,1154245,1302322,1301125,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,-8.866666666666667,17.666666666666668,44,84,-84,54,-76.5,76.5,84,84,-84,-69,9646.82962962963,9637.962962962964,0.0,0.0,0.0
