host,family,context,change,seed,baseline_ns,candidate_ns,candidate_over_baseline,baseline_allocated_bytes,candidate_allocated_bytes
zen5,bucket,rows4096/load90_skew/miss/rawfp_tuplepack,N16 split,712367,166.652359009,166.561553955,0.9994551229005099,62848,62848
zen5,bucket,rows4096/load90_skew/mixed/rawfp_tuplepack,N16 split,712367,133.985127767,134.981129964,1.0074336772565686,62848,62848
zen5,bucket,rows4096/load90_skew/update/rawfp_tuplepack,N16 split,712367,101.083953857,101.238899231,1.001532838478194,62848,62848
zen5,bucket,rows4096/load90_skew/hit/rawfp_tuplepack,N16 split fingerprint 8 to 12,712367,98.075119019,131.570668538,1.3415295321998126,62848,66944
zen5,bucket,rows4096/load90_skew/miss/rawfp_tuplepack,N16 split fingerprint 8 to 12,712367,166.561553955,227.460586548,1.3656247864345281,62848,66944
zen5,bucket,rows4096/load90_skew/mixed/rawfp_tuplepack,N16 split fingerprint 8 to 12,712367,134.981129964,179.849014282,1.3324011610361128,62848,66944
zen5,bucket,rows4096/load90_skew/update/rawfp_tuplepack,N16 split fingerprint 8 to 12,712367,101.238899231,135.36138916,1.3370491993511469,62848,66944
zen5,bucket,rows4096/load90_skew/hit/seriespack_tuplepack,N16 split fingerprint 8 to 12,712367,63.284088135,72.44876709,1.1448180613023857,62848,66944
zen5,bucket,rows4096/load90_skew/miss/seriespack_tuplepack,N16 split fingerprint 8 to 12,712367,93.016647339,104.645629883,1.1250204439385787,62848,66944
zen5,bucket,rows4096/load90_skew/mixed/seriespack_tuplepack,N16 split fingerprint 8 to 12,712367,79.373588562,88.882850647,1.1198038573948583,62848,66944
zen5,bucket,rows4096/load90_skew/update/seriespack_tuplepack,N16 split fingerprint 8 to 12,712367,65.754931641,73.93760376,1.1244419530944791,62848,66944
zen5,prefix,rows4096/all_fields,7-byte prefix,918273,15.007043748,14.971368699,0.9976227797027143,299264,299264
