dataset,arm,order,container_rows,policy,rows,hits,filters,re2_calls,missed_rejections,switches,probe_containers,queries,queries_switching
accidents,rich,survivors-first,256,prefix20,262144,8772,197632,67009,58237,1,0,4,1
accidents,rich,survivors-first,256,prefix50,262144,8772,68608,196033,187261,3,0,4,3
accidents,rich,survivors-first,64,always,262144,8772,262144,8772,0,0,0,4,0
accidents,rich,survivors-first,64,direct,262144,8772,0,262144,253372,0,0,4,0
accidents,rich,survivors-first,64,periodic20,262144,8772,253504,9875,1103,6,9,4,3
accidents,rich,survivors-first,64,prefix05,262144,8772,66304,196691,187919,3,0,4,3
accidents,rich,survivors-first,64,prefix20,262144,8772,66304,196691,187919,3,0,4,3
accidents,rich,survivors-first,64,prefix50,262144,8772,66304,196691,187919,3,0,4,3
uap,like,shuffled,1024,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,shuffled,1024,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,shuffled,1024,periodic20,18923307,120627,17016790,2676334,17281,37,0,1039,37
uap,like,shuffled,1024,prefix05,18923307,120627,17157960,2659878,825,27,0,1039,27
uap,like,shuffled,1024,prefix20,18923307,120627,17016790,2676334,17281,37,0,1039,37
uap,like,shuffled,1024,prefix50,18923307,120627,16409759,2897925,238872,80,0,1039,80
uap,like,shuffled,256,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,shuffled,256,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,shuffled,256,periodic20,18923307,120627,16926749,2682284,23231,42,148,1039,42
uap,like,shuffled,256,prefix05,18923307,120627,17075016,2660061,1008,27,0,1039,27
uap,like,shuffled,256,prefix20,18923307,120627,16903126,2680327,21274,37,0,1039,37
uap,like,shuffled,256,prefix50,18923307,120627,16163999,2950998,291945,80,0,1039,80
uap,like,shuffled,64,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,shuffled,64,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,shuffled,64,periodic20,18923307,120627,16744383,2720151,61098,48,801,1039,48
uap,like,shuffled,64,prefix05,18923307,120627,17054280,2660115,1062,27,0,1039,27
uap,like,shuffled,64,prefix20,18923307,120627,16784925,2702181,43128,42,0,1039,42
uap,like,shuffled,64,prefix50,18923307,120627,16048688,2992718,333665,83,0,1039,83
uap,like,source,1024,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,source,1024,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,source,1024,periodic20,18923307,120627,16731887,2775449,116396,64,0,1039,64
uap,like,source,1024,prefix05,18923307,120627,17157960,2659704,651,27,0,1039,27
uap,like,source,1024,prefix20,18923307,120627,16946205,2694498,35445,42,0,1039,42
uap,like,source,1024,prefix50,18923307,120627,16663865,2781809,122756,62,0,1039,62
uap,like,source,256,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,source,256,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,source,256,periodic20,18923307,120627,16381229,2892900,233847,246,278,1039,93
uap,like,source,256,prefix05,18923307,120627,17126583,2659053,0,24,0,1039,24
uap,like,source,256,prefix20,18923307,120627,16937504,2675946,16893,35,0,1039,35
uap,like,source,256,prefix50,18923307,120627,16490590,2797311,138258,61,0,1039,61
uap,like,source,64,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,source,64,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,source,64,periodic20,18923307,120627,16232138,2898936,239883,658,1337,1039,113
uap,like,source,64,prefix05,18923307,120627,16928581,2674640,15587,34,0,1039,34
uap,like,source,64,prefix20,18923307,120627,16677183,2728704,69651,48,0,1039,48
uap,like,source,64,prefix50,18923307,120627,16425785,2812039,152986,62,0,1039,62
uap,like,survivors-first,1024,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,survivors-first,1024,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,survivors-first,1024,periodic20,18923307,120627,16240355,3095179,436126,92,0,1039,92
uap,like,survivors-first,1024,prefix05,18923307,120627,16240355,3095179,436126,92,0,1039,92
uap,like,survivors-first,1024,prefix20,18923307,120627,16240355,3095179,436126,92,0,1039,92
uap,like,survivors-first,1024,prefix50,18923307,120627,16226238,3109296,450243,93,0,1039,93
uap,like,survivors-first,256,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,survivors-first,256,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,survivors-first,256,periodic20,18923307,120627,16300104,2812531,153478,171,317,1039,99
uap,like,survivors-first,256,prefix05,18923307,120627,15871786,3178116,519063,97,0,1039,97
uap,like,survivors-first,256,prefix20,18923307,120627,15837408,3212494,553441,99,0,1039,99
uap,like,survivors-first,256,prefix50,18923307,120627,15665518,3384384,725331,109,0,1039,109
uap,like,survivors-first,64,always,18923307,120627,17539119,2659053,0,0,0,1039,0
uap,like,survivors-first,64,direct,18923307,120627,0,18923307,16264254,0,0,1039,0
uap,like,survivors-first,64,periodic20,18923307,120627,16317576,2724307,65254,237,1257,1039,132
uap,like,survivors-first,64,prefix05,18923307,120627,15294494,3673606,1014553,125,0,1039,125
uap,like,survivors-first,64,prefix20,18923307,120627,15168795,3799305,1140252,132,0,1039,132
uap,like,survivors-first,64,prefix50,18923307,120627,14845569,4122531,1463478,150,0,1039,150
uap,rich,shuffled,1024,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,shuffled,1024,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,shuffled,1024,periodic20,18923307,120627,17045024,2584869,19043,35,0,1039,35
uap,rich,shuffled,1024,prefix05,18923307,120627,17186194,2567109,1283,25,0,1039,25
uap,rich,shuffled,1024,prefix20,18923307,120627,17045024,2584869,19043,35,0,1039,35
uap,rich,shuffled,1024,prefix50,18923307,120627,16522695,2777942,212116,72,0,1039,72
uap,rich,shuffled,256,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,shuffled,256,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,shuffled,256,periodic20,18923307,120627,16959079,2591051,25225,40,140,1039,40
uap,rich,shuffled,256,prefix05,18923307,120627,17109394,2567392,1566,25,0,1039,25
uap,rich,shuffled,256,prefix20,18923307,120627,16937504,2589188,23362,35,0,1039,35
uap,rich,shuffled,256,prefix50,18923307,120627,16284322,2833627,267801,73,0,1039,73
uap,rich,shuffled,64,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,shuffled,64,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,shuffled,64,periodic20,18923307,120627,16816056,2619664,53838,43,728,1039,43
uap,rich,shuffled,64,prefix05,18923307,120627,17090194,2567470,1644,25,0,1039,25
uap,rich,shuffled,64,prefix20,18923307,120627,16820839,2611120,45294,40,0,1039,40
uap,rich,shuffled,64,prefix50,18923307,120627,16192344,2865074,299248,75,0,1039,75
uap,rich,source,1024,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,source,1024,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,source,1024,periodic20,18923307,120627,16796109,2672673,106847,58,0,1039,58
uap,rich,source,1024,prefix05,18923307,120627,17214428,2566477,651,23,0,1039,23
uap,rich,source,1024,prefix20,18923307,120627,16988556,2600748,34922,39,0,1039,39
uap,rich,source,1024,prefix50,18923307,120627,16734450,2680373,114547,57,0,1039,57
uap,rich,source,256,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,source,256,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,source,256,periodic20,18923307,120627,16477343,2784394,218568,223,255,1039,87
uap,rich,source,256,prefix05,18923307,120627,17195339,2565826,0,20,0,1039,20
uap,rich,source,256,prefix20,18923307,120627,17023449,2577065,11239,30,0,1039,30
uap,rich,source,256,prefix50,18923307,120627,16610913,2685301,119475,54,0,1039,54
uap,rich,source,64,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,source,64,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,source,64,periodic20,18923307,120627,16330243,2796576,230750,638,1237,1039,108
uap,rich,source,64,prefix05,18923307,120627,17000409,2577854,12028,30,0,1039,30
uap,rich,source,64,prefix20,18923307,120627,16766968,2624303,58477,43,0,1039,43
uap,rich,source,64,prefix50,18923307,120627,16515570,2710253,144427,57,0,1039,57
uap,rich,survivors-first,1024,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,survivors-first,1024,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,survivors-first,1024,periodic20,18923307,120627,16310940,3004201,438375,87,0,1039,87
uap,rich,survivors-first,1024,prefix05,18923307,120627,16310940,3004201,438375,87,0,1039,87
uap,rich,survivors-first,1024,prefix20,18923307,120627,16310940,3004201,438375,87,0,1039,87
uap,rich,survivors-first,1024,prefix50,18923307,120627,16254472,3060669,494843,91,0,1039,91
uap,rich,survivors-first,256,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,survivors-first,256,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,survivors-first,256,periodic20,18923307,120627,16390034,2710156,144330,163,294,1039,94
uap,rich,survivors-first,256,prefix05,18923307,120627,15957731,3084903,519077,92,0,1039,92
uap,rich,survivors-first,256,prefix20,18923307,120627,15923353,3119281,553455,94,0,1039,94
uap,rich,survivors-first,256,prefix50,18923307,120627,15785841,3256793,690967,102,0,1039,102
uap,rich,survivors-first,64,always,18923307,120627,17539119,2565826,0,0,0,1039,0
uap,rich,survivors-first,64,direct,18923307,120627,0,18923307,16357481,0,0,1039,0
uap,rich,survivors-first,64,periodic20,18923307,120627,16408914,2625250,59424,221,1163,1039,123
uap,rich,survivors-first,64,prefix05,18923307,120627,15402236,3563719,997893,119,0,1039,119
uap,rich,survivors-first,64,prefix20,18923307,120627,15330408,3635547,1069721,123,0,1039,123
uap,rich,survivors-first,64,prefix50,18923307,120627,14989225,3976730,1410904,142,0,1039,142
