dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
census1881,0,256,local16,inline,5,21266.9,21220.5,22625.9,59177.40234375,0.8760044952484848,1.0
census1881,0,256,local16,split,5,21169.0,21131.8,21257.3,58922.6435546875,0.8800557418867212,0.9953966022316368
census1881,0,256,scan128,inline,5,21161.6,21103.0,21175.6,58921.0537109375,0.880363488583094,1.0
census1881,0,256,scan128,split,5,21002.7,20999.7,21205.0,58548.1240234375,0.887024049288901,0.9924911159836687
census1881,3,37,direct32,inline,5,2705.36,2704.14,2714.22,7532.233642578125,1.0,1.0
census1881,3,37,direct32,split,5,2883.26,2882.29,2893.28,8030.032958984375,0.9382990087609164,1.0657583463938256
census1881,3,37,local16,inline,5,3066.52,3065.04,3073.92,8540.454833984375,0.8822248020557505,1.0
census1881,3,37,local16,split,5,3060.51,3052.93,3067.93,8505.64208984375,0.8839572489552394,0.998040123658088
census1881,3,37,scan128,inline,5,3056.17,3055.37,3064.02,8514.0595703125,0.885212537260689,1.0
census1881,3,37,scan128,split,5,3040.03,3038.06,3050.93,8467.369384765625,0.8899122706025927,0.9947188801670065
census1881,15,18,direct32,inline,5,1315.27,1311.75,1319.35,3662.8201904296875,1.0,1.0
census1881,15,18,direct32,split,5,1406.99,1405.07,1410.72,3917.1978759765625,0.9348111926879367,1.069734731271906
census1881,15,18,local16,inline,5,1500.97,1495.54,1528.47,4167.5640869140625,0.876280005596381,1.0
census1881,15,18,local16,split,5,1492.67,1492.49,1501.38,4157.267822265625,0.8811525655369237,0.9944702425764672
census1881,15,18,scan128,inline,5,1493.08,1488.8,1495.57,4146.9246826171875,0.8809106009055108,1.0
census1881,15,18,scan128,split,5,1482.55,1481.69,1487.89,4129.301025390625,0.8871673805267951,0.9929474643019798
census1881,255,1,direct32,inline,5,87.722,87.4885,88.4757,244.29975128173828,1.0,1.0
census1881,255,1,direct32,split,5,87.4681,87.4094,87.7947,243.63253784179688,1.0029027725536508,0.9971056291466224
census1881,255,1,local16,inline,5,110.333,110.301,111.175,307.3940658569336,0.795065846120381,1.0
census1881,255,1,local16,split,5,109.542,109.379,109.803,305.1246337890625,0.800806996403206,0.9928307940507374
census1881,255,1,scan128,inline,5,104.014,103.885,104.306,289.78638458251953,0.8433672390255158,1.0
census1881,255,1,scan128,split,5,103.704,103.673,104.014,288.9164047241211,0.8458882974620072,0.997019631972619
census1881_srt,0,256,direct32,inline,5,18620.8,18557.4,18650.8,51808.779296875,1.0,1.0
