dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,3,37,direct32,inline,2,8,2048,16384,606208,8192,60591,65536,512,39352320,15819222,965.529,26.0954,61037946,73828648,15825419,15825419,available,0,0,unestablished
structural,3,37,direct32,inline,3,8,2048,16384,606208,8192,60591,65536,512,39352320,15817149,965.402,26.092,61060476,73828648,15823719,15823719,available,0,0,unestablished
structural,3,37,direct32,inline,4,8,2048,16384,606208,8192,60591,65536,512,39352320,15858410,967.921,26.16,61077948,73828649,15853447,15853447,available,0,0,unestablished
structural,3,37,direct32,split,0,8,2048,16384,606208,8192,60591,65536,512,39352320,16435155,1003.12,27.1114,63372992,84166952,16441526,16441526,available,0,0,unestablished
structural,3,37,direct32,split,1,8,2048,16384,606208,8192,60591,65536,512,39352320,16534269,1009.17,27.2749,63334229,84166954,16486918,16486918,available,0,0,unestablished
structural,3,37,direct32,split,2,8,2048,16384,606208,8192,60591,65536,512,39352320,16430732,1002.85,27.1041,63271986,84166953,16425050,16425050,available,0,0,unestablished
structural,3,37,direct32,split,3,8,2048,16384,606208,8192,60591,65536,512,39352320,16391502,1000.46,27.0394,63260890,84166953,16398550,16398550,available,0,0,unestablished
structural,3,37,direct32,split,4,8,2048,16384,606208,8192,60591,65536,512,39352320,16430072,1002.81,27.103,63288964,84166952,16428309,16428309,available,0,0,unestablished
structural,3,37,local16,inline,0,8,2048,16384,606208,4096,60591,65536,512,39352320,17286655,1055.09,28.516,66602477,79497515,17281457,17281457,available,0,0,unestablished
structural,3,37,local16,inline,1,8,2048,16384,606208,4096,60591,65536,512,39352320,17270351,1054.1,28.4892,66534914,79497513,17277082,17277082,available,0,0,unestablished
structural,3,37,local16,inline,2,8,2048,16384,606208,4096,60591,65536,512,39352320,17241638,1052.35,28.4418,66560106,79497513,17247869,17247869,available,0,0,unestablished
structural,3,37,local16,inline,3,8,2048,16384,606208,4096,60591,65536,512,39352320,17276195,1054.46,28.4988,66568815,79497514,17271936,17271936,available,0,0,unestablished
structural,3,37,local16,inline,4,8,2048,16384,606208,4096,60591,65536,512,39352320,17248730,1052.78,28.4535,66565477,79497514,17255584,17255584,available,0,0,unestablished
structural,3,37,local16,split,0,8,2048,16384,606208,4096,60591,65536,512,39352320,17434255,1064.1,28.7595,66778732,89344299,17373890,17373890,available,0,0,unestablished
structural,3,37,local16,split,1,8,2048,16384,606208,4096,60591,65536,512,39352320,17387494,1061.25,28.6824,66755842,89344300,17370720,17370720,available,0,0,unestablished
structural,3,37,local16,split,2,8,2048,16384,606208,4096,60591,65536,512,39352320,17550669,1071.21,28.9516,66940481,89344297,17379405,17379405,available,0,0,unestablished
structural,3,37,local16,split,3,8,2048,16384,606208,4096,60591,65536,512,39352320,17394117,1061.65,28.6933,66867872,89344299,17366262,17366262,available,0,0,unestablished
structural,3,37,local16,split,4,8,2048,16384,606208,4096,60591,65536,512,39352320,17335495,1058.07,28.5966,66908292,89344297,17342585,17342585,available,0,0,unestablished
structural,3,37,scan128,inline,0,8,2048,16384,606208,4096,60591,65536,512,39352320,16961003,1035.22,27.9789,65470237,80972073,16969295,16969295,available,0,0,unestablished
structural,3,37,scan128,inline,1,8,2048,16384,606208,4096,60591,65536,512,39352320,16967580,1035.62,27.9897,65365300,80972074,16963357,16963357,available,0,0,unestablished
structural,3,37,scan128,inline,2,8,2048,16384,606208,4096,60591,65536,512,39352320,16977802,1036.24,28.0066,65429050,80972073,16984979,16984979,available,0,0,unestablished
structural,3,37,scan128,inline,3,8,2048,16384,606208,4096,60591,65536,512,39352320,17077859,1042.35,28.1716,65422358,80972074,17045975,17045975,available,0,0,unestablished
structural,3,37,scan128,inline,4,8,2048,16384,606208,4096,60591,65536,512,39352320,17118971,1044.86,28.2394,65398091,80972074,17101385,17101385,available,0,0,unestablished
structural,3,37,scan128,split,0,8,2048,16384,606208,4096,60591,65536,512,39352320,17431516,1063.94,28.755,66796277,90589482,17428221,17428221,available,0,0,unestablished
structural,3,37,scan128,split,1,8,2048,16384,606208,4096,60591,65536,512,39352320,17351460,1059.05,28.6229,66756476,90589481,17357995,17357995,available,0,0,unestablished
structural,3,37,scan128,split,2,8,2048,16384,606208,4096,60591,65536,512,39352320,17330668,1057.78,28.5886,66766857,90589483,17325521,17325521,available,0,0,unestablished
structural,3,37,scan128,split,3,8,2048,16384,606208,4096,60591,65536,512,39352320,17284189,1054.94,28.512,66712574,90589481,17292743,17292743,available,0,0,unestablished
structural,3,37,scan128,split,4,8,2048,16384,606208,4096,60591,65536,512,39352320,17274348,1054.34,28.4957,66640764,90589481,17286887,17286887,available,0,0,unestablished
structural,15,18,direct32,inline,0,8,4096,32768,589824,8192,60591,65536,512,39030784,15241653,465.138,25.841,58878028,70979879,15263758,15263758,available,0,0,unestablished
structural,15,18,direct32,inline,1,8,4096,32768,589824,8192,60591,65536,512,39030784,15300936,466.948,25.9415,58923312,70979880,15295008,15295008,available,0,0,unestablished
structural,15,18,direct32,inline,2,8,4096,32768,589824,8192,60591,65536,512,39030784,15247577,465.319,25.8511,58854316,70979879,15253406,15253406,available,0,0,unestablished
structural,15,18,direct32,inline,3,8,4096,32768,589824,8192,60591,65536,512,39030784,15254663,465.535,25.8631,58846521,70979879,15261280,15261280,available,0,0,unestablished
structural,15,18,direct32,inline,4,8,4096,32768,589824,8192,60591,65536,512,39030784,15329655,467.824,25.9902,58907426,70979881,15323268,15323268,available,0,0,unestablished
structural,15,18,direct32,split,0,8,4096,32768,589824,8192,60591,65536,512,39030784,15600408,476.087,26.4493,60102129,81105191,15607523,15607523,available,0,0,unestablished
structural,15,18,direct32,split,1,8,4096,32768,589824,8192,60591,65536,512,39030784,15550053,474.55,26.3639,60033963,81105192,15556690,15556690,available,0,0,unestablished
structural,15,18,direct32,split,2,8,4096,32768,589824,8192,60591,65536,512,39030784,15665603,478.076,26.5598,60036123,81105193,15659507,15659507,available,0,0,unestablished
structural,15,18,direct32,split,3,8,4096,32768,589824,8192,60591,65536,512,39030784,15575088,475.314,26.4063,60032382,81105191,15580664,15580664,available,0,0,unestablished
structural,15,18,direct32,split,4,8,4096,32768,589824,8192,60591,65536,512,39030784,15599227,476.051,26.4473,59999985,81105192,15605940,15605940,available,0,0,unestablished
structural,15,18,local16,inline,0,8,4096,32768,589824,4096,60591,65536,512,39030784,16735240,510.719,28.3733,64607598,78025001,16743021,16743021,available,0,0,unestablished
structural,15,18,local16,inline,1,8,4096,32768,589824,4096,60591,65536,512,39030784,16829552,513.597,28.5332,64684086,78025002,16812410,16812410,available,0,0,unestablished
structural,15,18,local16,inline,2,8,4096,32768,589824,4096,60591,65536,512,39030784,16711905,510.007,28.3337,64546902,78025000,16718455,16718455,available,0,0,unestablished
