host,profile,case,control,same_wire,series_ns,control_ns,series_samples,control_samples,ratio,observation
zen,avx2,bulk/series/avx2/local/k1/h0/u8/encode,bulk/predecessor/local/k1/h0/u8/encode,True,0.009547820035414867,0.050683028968504906,"[0.009547820035414867, 0.009542771588052036, 0.009548431166853987]","[0.050683028968504906, 0.05065993184412991, 0.0507309593348051]",0.18838298005724968,separated faster
zen,avx2,bulk/series/avx2/local/k1/h0/u8/decode,bulk/predecessor/local/k1/h0/u8/decode,True,0.01555357045768349,0.05779692276004075,"[0.01555357045768349, 0.015554085064264804, 0.01554232617421041]","[0.05779692276004075, 0.05771949494176535, 0.057803358050001294]",0.26910724161316096,separated faster
zen,avx2,resident/series/avx2/local/k1/h0/u64/point,resident/predecessor/local/k1/h0/u64/point,True,1.3705233257276646,1.3715523856608163,"[1.3705233257276646, 1.3698961660590612, 1.371903658397661]","[1.37109755948263, 1.3731579360705006, 1.3715523856608163]",0.9992497115356948,sample ranges overlap
zen,avx2,resident/series/avx2/local/k1/h0/u64/get16,resident/predecessor/local/k1/h0/u64/get16,True,2.7208132674020375,1.769350171986157,"[2.7218883945596652, 2.7208132674020375, 2.7191952330912286]","[1.765933094077578, 1.769350171986157, 1.7807795092220788]",1.5377471969541394,separated slower
zen,avx2,resident/series/avx2/local/k1/h0/u64/dependent,resident/predecessor/local/k1/h0/u64/dependent,True,8.491813549005343,8.277629462251973,"[8.494511135969164, 8.491279333298765, 8.491813549005343]","[8.278315369381481, 8.277629462251973, 8.267687664506976]",1.0258750512728436,separated slower
zen,avx2,bulk/series/avx2/striped/k1/h0/u8/encode,bulk/predecessor/striped/k1/h0/u8/encode,True,0.005294385787955649,0.005698788822944429,"[0.00530048091915261, 0.00529413773544141, 0.005294385787955649]","[0.005698788822944429, 0.005700750770531235, 0.0056940044458799405]",0.9290370203997426,separated faster
zen,avx2,bulk/series/avx2/striped/k1/h0/u8/decode,bulk/predecessor/striped/k1/h0/u8/decode,True,0.0037604404542689995,0.0036960738309775036,"[0.0037604404542689995, 0.003760502834345053, 0.0037596328152300833]","[0.003693294937720851, 0.003698644351181935, 0.0036960738309775036]",1.0174148640516936,separated slower
zen,avx2,resident/series/avx2/striped/k1/h0/u64/point,resident/predecessor/striped/k1/h0/u64/point,True,1.3682192909978894,1.3679336273939744,"[1.3685966911703331, 1.3671244749214968, 1.3682192909978894]","[1.3679336273939744, 1.3678886493534153, 1.3702486448614672]",1.0002088285558557,sample ranges overlap
zen,avx2,resident/series/avx2/striped/k1/h0/u64/get16,resident/predecessor/striped/k1/h0/u64/get16,True,2.797509355136356,1.60834165381958,"[2.798943729282003, 2.796514237214656, 2.797509355136356]","[1.60834165381958, 1.6081286886893262, 1.6104927509901843]",1.739375056594893,separated slower
zen,avx2,resident/series/avx2/striped/k1/h0/u64/dependent,resident/predecessor/striped/k1/h0/u64/dependent,True,8.723888195589275,8.291948725590354,"[8.728152335026051, 8.723888195589275, 8.723555647133967]","[8.29374239170201, 8.284411188692092, 8.291948725590354]",1.0520914304095832,separated slower
zen,avx2,bulk/series/avx2/local/k2/h0/u8/encode,bulk/predecessor/local/k2/h0/u8/encode,True,0.0502047570350705,0.0472195725377019,"[0.05022206158897661, 0.0502047570350705, 0.04999521957089366]","[0.0472195725377019, 0.04721109483996055, 0.047262651685317826]",1.0632192190004497,separated slower
zen,avx2,bulk/series/avx2/local/k2/h0/u8/decode,bulk/predecessor/local/k2/h0/u8/decode,True,0.03557837653759889,0.07008871108177313,"[0.035718503526327605, 0.03557837653759889, 0.035474620817721576]","[0.0701468880485172, 0.07007079332799579, 0.07008871108177313]",0.5076192155408491,separated faster
zen,avx2,resident/series/avx2/local/k2/h0/u64/point,resident/predecessor/local/k2/h0/u64/point,True,1.372411789541924,1.372640146199526,"[1.3720822714765093, 1.3727396061933548, 1.372411789541924]","[1.3727012543710313, 1.3723218281787037, 1.372640146199526]",0.9998336369089641,sample ranges overlap
zen,avx2,resident/series/avx2/local/k2/h0/u64/get16,resident/predecessor/local/k2/h0/u64/get16,True,3.4033139726318606,1.966849400024577,"[3.4033139726318606, 3.417697654807853, 3.4016045173240537]","[1.966849400024577, 1.9671412629845972, 1.965034639339977]",1.7303378553484237,separated slower
zen,avx2,resident/series/avx2/local/k2/h0/u64/dependent,resident/predecessor/local/k2/h0/u64/dependent,True,9.3837836436702,8.713061292455292,"[9.379234061266311, 9.3837836436702, 9.389774746510357]","[8.712048084206003, 8.721345308015307, 8.713061292455292]",1.0769789547785795,separated slower
zen,avx2,bulk/series/avx2/striped/k2/h0/u8/encode,bulk/predecessor/striped/k2/h0/u8/encode,True,0.004907108217333564,0.005043574270476353,"[0.004907108217333564, 0.004914254955622511, 0.004905680873945898]","[0.005047553101739977, 0.005043574270476353, 0.005042202180985119]",0.972942590745293,separated faster
zen,avx2,bulk/series/avx2/striped/k2/h0/u8/decode,bulk/predecessor/striped/k2/h0/u8/decode,True,0.003832065600964169,0.0038106455672139517,"[0.003833285499279253, 0.003832065600964169, 0.003828593512491757]","[0.0038132922367886666, 0.0038060312588435547, 0.0038106455672139517]",1.005621103661414,separated slower
zen,avx2,resident/series/avx2/striped/k2/h0/u64/point,resident/predecessor/striped/k2/h0/u64/point,True,1.366787973462724,1.3691774992161296,"[1.366787973462724, 1.3664445539795431, 1.3673386501880973]","[1.3691774992161296, 1.368761039402171, 1.3711485877404366]",0.9982547728437156,separated faster
