case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
far,tag8,q0,1048576,1048576,41,71,4,4338,4338,0,1740112,0,0,0,0,65536,0,0,43221,4194304,67108864,7831855242651732853,1,0.9194987724567281,0.9086089298642916,0.9581155448124326,0.0041370391845703125,4.0
far,tag8,q1,1048576,1048576,41,71,7,4324,4324,0,1733584,0,0,0,0,65536,0,0,42813,4194304,67108864,7831855242651732853,1,0.9141468837343412,0.9062029411052834,0.9656045847925646,0.004123687744140625,4.0
far,tag8,q2,1048576,1048576,41,71,5,4399,4399,0,1735392,0,0,0,0,65536,0,0,42926,4194304,67108864,7831855242651732853,1,0.9141129084995814,0.9004373209817071,0.951601539339338,0.004195213317871094,4.0
far,tag8,q3,1048576,1048576,41,71,8,4451,4451,0,1734032,0,0,0,0,65536,0,0,42841,4194304,67108864,7831855242651732853,1,0.9164802945893386,0.9029612047918911,0.9799387701626481,0.004244804382324219,4.0
far,tag8_eager,q0,1048576,1048576,41,71,4,4338,4338,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.6963873643141527,0.6832550488985502,0.7305857829558542,0.0041370391845703125,4.0
far,tag8_eager,q1,1048576,1048576,41,71,7,4324,4324,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.6790593385696411,0.6694803953170775,0.6874984741210939,0.004123687744140625,4.0
far,tag8_eager,q2,1048576,1048576,41,71,5,4399,4399,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.7035556090505499,0.6816018004166453,0.7484074140849867,0.004195213317871094,4.0
far,tag8_eager,q3,1048576,1048576,41,71,8,4451,4451,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.7007795606340681,0.6837962559291295,0.7979334967476981,0.004244804382324219,4.0
cnf,soa,q0,1048576,1048576,41,71,33,33,0,33,16777216,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.7620656149727958,0.7456975664411272,0.7724871226719447,3.147125244140625e-05,0.0
cnf,tag16,q0,1048576,1048576,41,71,33,16159,16159,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,1.455620765686035,1.3483822610643177,1.588613192240397,0.015410423278808594,4.0
cnf,tag8,q0,1048576,1048576,41,71,33,16159,16159,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,7831855242651732853,1,2.15551495552063,2.0762135982513428,2.285711844762166,0.015410423278808594,4.0
cnf,tag8_cnf,q0,1048576,1048576,41,71,33,16159,16159,0,1974320,0,0,0,0,65536,57859,0,0,4194304,67108864,7831855242651732853,1,2.0854444503784184,1.9140452471646396,2.4377036528153857,0.015410423278808594,4.0
exclusive,soa,q0,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1,0.49594171697443173,0.49046866677024153,0.4985866373235529,0.0,0.0
exclusive,soa,q1,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1,0.49785230744559816,0.4959690885723761,0.49921298476884934,0.0,0.0
exclusive,soa,q2,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1,0.4956222110324436,0.4939386932938188,0.4964286839520489,0.0,0.0
exclusive,soa,q3,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1,0.4938313519513165,0.4916040455853497,0.49732349537037035,0.0,0.0
exclusive,tag8,q0,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1,0.46669101715087885,0.4637870107378279,0.46828971590314594,0.0,4.0
exclusive,tag8,q1,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1,0.4669883460329291,0.4639031426948413,0.46922394267299716,0.0,4.0
exclusive,tag8,q2,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1,0.466770138656884,0.46569394228751204,0.47369076912863234,0.0,4.0
exclusive,tag8,q3,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1,0.46812970062782017,0.46092753574765954,0.5165667369447905,0.0,4.0
exclusive,joint64,q0,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1,0.054875375786606145,0.05427465438842781,0.05913548177602342,0.0,6.0
exclusive,joint64,q1,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1,0.05407753392269746,0.054028422707005586,0.05565598136500318,0.0,6.0
exclusive,joint64,q2,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1,0.05435142252180316,0.05388759999048148,0.05602643792591401,0.0,6.0
exclusive,joint64,q3,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1,0.054611298719398474,0.05400599352261326,0.054862366031538705,0.0,6.0
exclusive,marginal64,q0,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1,0.5472918465023949,0.5440470377604166,0.5489360491434736,0.0,4.25
exclusive,marginal64,q1,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1,0.5503324197263135,0.5486149495961715,0.5552536906028283,0.0,4.25
exclusive,marginal64,q2,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1,0.5471504292589554,0.545311745176924,0.5508853831189745,0.0,4.25
exclusive,marginal64,q3,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1,0.5473166095967195,0.5452861007379028,0.5507824372272102,0.0,4.25
