case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
exclusive,tag8,q0,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q1,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q2,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q3,1048576,1048576,41,71,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,joint64,q0,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q1,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q2,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q3,1048576,1048576,41,71,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,marginal64,q0,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q1,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q2,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q3,1048576,1048576,41,71,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
