corpus,operation,cells,rounds,repetition,cells_per_call,ns_per_cell
uniform,bec_encode,1028,972,0,1,13.492167860
uniform,bec_encode,1028,972,1,1,13.708167203
uniform,bec_encode,1028,972,2,1,13.360943980
uniform,bec_encode,1028,972,3,1,13.484401771
uniform,bec_encode,1028,972,4,1,13.500223175
uniform,calico_encode,1028,972,0,1,34.017784943
uniform,calico_encode,1028,972,1,1,34.025170734
uniform,calico_encode,1028,972,2,1,34.155203680
uniform,calico_encode,1028,972,3,1,34.016332805
uniform,calico_encode,1028,972,4,1,34.012390714
uniform,calico_p2_encode,1028,972,0,1,23.379965893
uniform,calico_p2_encode,1028,972,1,1,23.391605018
uniform,calico_p2_encode,1028,972,2,1,23.369617780
uniform,calico_p2_encode,1028,972,3,1,23.443775920
uniform,calico_p2_encode,1028,972,4,1,23.447288674
uniform,bec_decode,1028,972,0,1,43.657448440
uniform,bec_decode,1028,972,1,1,43.752201726
uniform,bec_decode,1028,972,2,1,43.698030256
uniform,bec_decode,1028,972,3,1,43.613022610
uniform,bec_decode,1028,972,4,1,43.731316352
uniform,calico_decode,1028,972,0,1,79.564751765
uniform,calico_decode,1028,972,1,1,80.053826200
uniform,calico_decode,1028,972,2,1,80.021931194
uniform,calico_decode,1028,972,3,1,79.972771653
uniform,calico_decode,1028,972,4,1,79.493224688
uniform,bec_decode_x2,1028,972,0,2,34.163529707
uniform,bec_decode_x2,1028,972,1,2,34.160487322
uniform,bec_decode_x2,1028,972,2,2,34.171160690
uniform,bec_decode_x2,1028,972,3,2,34.148147648
uniform,bec_decode_x2,1028,972,4,2,34.143353889
uniform,calico_decode_x2,1028,972,0,2,36.724081680
uniform,calico_decode_x2,1028,972,1,2,36.808728543
uniform,calico_decode_x2,1028,972,2,2,36.785725008
uniform,calico_decode_x2,1028,972,3,2,36.779660254
uniform,calico_decode_x2,1028,972,4,2,36.782958339
run,bec_encode,1028,972,0,1,13.434721822
run,bec_encode,1028,972,1,1,13.718945653
run,bec_encode,1028,972,2,1,13.352597436
run,bec_encode,1028,972,3,1,13.481909817
run,bec_encode,1028,972,4,1,13.462763807
run,calico_encode,1028,972,0,1,31.338464356
run,calico_encode,1028,972,1,1,31.365356439
run,calico_encode,1028,972,2,1,31.572078510
run,calico_encode,1028,972,3,1,31.320069935
run,calico_encode,1028,972,4,1,31.316887440
run,calico_p2_encode,1028,972,0,1,17.013211358
run,calico_p2_encode,1028,972,1,1,17.106704656
run,calico_p2_encode,1028,972,2,1,17.166091216
run,calico_p2_encode,1028,972,3,1,17.037059054
run,calico_p2_encode,1028,972,4,1,17.042464292
run,bec_decode,1028,972,0,1,43.786509624
run,bec_decode,1028,972,1,1,43.593457271
run,bec_decode,1028,972,2,1,43.663422123
run,bec_decode,1028,972,3,1,43.671149181
run,bec_decode,1028,972,4,1,43.669106580
run,calico_decode,1028,972,0,1,79.694523506
run,calico_decode,1028,972,1,1,80.154405054
run,calico_decode,1028,972,2,1,80.175872884
run,calico_decode,1028,972,3,1,80.099301853
run,calico_decode,1028,972,4,1,79.655903228
run,bec_decode_x2,1028,972,0,2,34.164925301
run,bec_decode_x2,1028,972,1,2,34.152716730
run,bec_decode_x2,1028,972,2,2,34.159405974
run,bec_decode_x2,1028,972,3,2,36.408373165
run,bec_decode_x2,1028,972,4,2,34.184711314
run,calico_decode_x2,1028,972,0,2,36.716901050
run,calico_decode_x2,1028,972,1,2,36.788477166
run,calico_decode_x2,1028,972,2,2,36.754045171
run,calico_decode_x2,1028,972,3,2,36.823884926
run,calico_decode_x2,1028,972,4,2,36.776233067
msmarco-keyset--3/partial,bec_encode,1024,976,0,1,13.528422371
msmarco-keyset--3/partial,bec_encode,1024,976,1,1,13.799829702
msmarco-keyset--3/partial,bec_encode,1024,976,2,1,13.358593550
msmarco-keyset--3/partial,bec_encode,1024,976,3,1,13.502986720
msmarco-keyset--3/partial,bec_encode,1024,976,4,1,13.536667120
msmarco-keyset--3/partial,calico_encode,1024,976,0,1,34.219355349
msmarco-keyset--3/partial,calico_encode,1024,976,1,1,34.324668009
msmarco-keyset--3/partial,calico_encode,1024,976,2,1,34.284293753
msmarco-keyset--3/partial,calico_encode,1024,976,3,1,34.275637767
msmarco-keyset--3/partial,calico_encode,1024,976,4,1,34.252735576
msmarco-keyset--3/partial,calico_p2_encode,1024,976,0,1,20.048741075
msmarco-keyset--3/partial,calico_p2_encode,1024,976,1,1,20.007698434
msmarco-keyset--3/partial,calico_p2_encode,1024,976,2,1,20.042528496
msmarco-keyset--3/partial,calico_p2_encode,1024,976,3,1,20.034622943
msmarco-keyset--3/partial,calico_p2_encode,1024,976,4,1,20.046530802
msmarco-keyset--3/partial,bec_decode,1024,976,0,1,43.734000784
msmarco-keyset--3/partial,bec_decode,1024,976,1,1,43.758425853
msmarco-keyset--3/partial,bec_decode,1024,976,2,1,43.753613081
msmarco-keyset--3/partial,bec_decode,1024,976,3,1,43.752622511
msmarco-keyset--3/partial,bec_decode,1024,976,4,1,43.547363281
msmarco-keyset--3/partial,calico_decode,1024,976,0,1,79.455648454
msmarco-keyset--3/partial,calico_decode,1024,976,1,1,79.911762175
msmarco-keyset--3/partial,calico_decode,1024,976,2,1,79.917816662
msmarco-keyset--3/partial,calico_decode,1024,976,3,1,79.887068952
msmarco-keyset--3/partial,calico_decode,1024,976,4,1,79.380644251
msmarco-keyset--3/partial,bec_decode_x2,1024,976,0,2,34.183450668
msmarco-keyset--3/partial,bec_decode_x2,1024,976,1,2,34.142786745
msmarco-keyset--3/partial,bec_decode_x2,1024,976,2,2,34.181143839
msmarco-keyset--3/partial,bec_decode_x2,1024,976,3,2,34.169872346
msmarco-keyset--3/partial,bec_decode_x2,1024,976,4,2,34.171553315
msmarco-keyset--3/partial,calico_decode_x2,1024,976,0,2,36.730481757
msmarco-keyset--3/partial,calico_decode_x2,1024,976,1,2,36.789986032
msmarco-keyset--3/partial,calico_decode_x2,1024,976,2,2,36.806601102
msmarco-keyset--3/partial,calico_decode_x2,1024,976,3,2,36.810122631
