dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
msmarco,cheap,sample32,predict-then-encode,2,16,128,2048,1280,10826496,6307107,3079.64,24241265,50194215,6301496,6301496,available,0,0,unestablished
msmarco,cheap,sample32,predict-then-encode,3,16,128,2048,1280,10826496,6282519,3067.64,24240288,50194215,6288073,6288073,available,0,0,unestablished
msmarco,cheap,sample32,predict-then-encode,4,16,128,2048,1280,10826496,6277538,3065.2,24235868,50194214,6283067,6283067,available,0,0,unestablished
msmarco,quadrants,full,predict,0,16,256,4096,0,20735232,7929409,1935.89,30714775,88659752,7943552,7943552,available,0,0,unestablished
msmarco,quadrants,full,predict,1,16,256,4096,0,20735232,7950558,1941.05,30713258,88659752,7956056,7956056,available,0,0,unestablished
msmarco,quadrants,full,predict,2,16,256,4096,0,20735232,7979697,1948.17,30712553,88659753,7973974,7973974,available,0,0,unestablished
msmarco,quadrants,full,predict,3,16,256,4096,0,20735232,7951169,1941.2,30712317,88659752,7956583,7956583,available,0,0,unestablished
msmarco,quadrants,full,predict,4,16,256,4096,0,20735232,7949490,1940.79,30708606,88659752,7955176,7955176,available,0,0,unestablished
msmarco,quadrants,full,predict-then-encode,0,16,128,2048,1280,10826496,10097667,4930.5,39030430,90953514,10101526,10101526,available,0,0,unestablished
msmarco,quadrants,full,predict-then-encode,1,16,128,2048,1280,10826496,9989163,4877.52,38495474,90953515,9983086,9983086,available,0,0,unestablished
msmarco,quadrants,full,predict-then-encode,2,16,128,2048,1280,10826496,10100472,4931.87,38751506,90953516,10068581,10068581,available,0,0,unestablished
msmarco,quadrants,full,predict-then-encode,3,16,128,2048,1280,10826496,10084864,4924.25,38978935,90953514,10090349,10090349,available,0,0,unestablished
msmarco,quadrants,full,predict-then-encode,4,16,128,2048,1280,10826496,10020806,4892.97,38729355,90953514,10026332,10026332,available,0,0,unestablished
msmarco,quadrants,sample32,predict,0,16,1024,16384,0,82780160,5088513,310.578,19605410,47790374,5090998,5090998,available,0,0,unestablished
msmarco,quadrants,sample32,predict,1,16,1024,16384,0,82780160,5083680,310.283,19604393,47790373,5089243,5089243,available,0,0,unestablished
msmarco,quadrants,sample32,predict,2,16,1024,16384,0,82780160,5094642,310.952,19617804,47790373,5091876,5091876,available,0,0,unestablished
msmarco,quadrants,sample32,predict,3,16,1024,16384,0,82780160,5079709,310.041,19598473,47790373,5085321,5085321,available,0,0,unestablished
msmarco,quadrants,sample32,predict,4,16,1024,16384,0,82780160,5082913,310.236,19607080,47790373,5088515,5088515,available,0,0,unestablished
msmarco,quadrants,sample32,predict-then-encode,0,16,128,2048,1280,10826496,6554824,3200.6,25412908,52597542,6568866,6568866,available,0,0,unestablished
msmarco,quadrants,sample32,predict-then-encode,1,16,128,2048,1280,10826496,6617405,3231.15,25424919,52597544,6611430,6611430,available,0,0,unestablished
msmarco,quadrants,sample32,predict-then-encode,2,16,128,2048,1280,10826496,6580497,3213.13,25418219,52597542,6586072,6586072,available,0,0,unestablished
msmarco,quadrants,sample32,predict-then-encode,3,16,128,2048,1280,10826496,6583560,3214.63,25414953,52597543,6589320,6589320,available,0,0,unestablished
msmarco,quadrants,sample32,predict-then-encode,4,16,128,2048,1280,10826496,6586588,3216.11,25417375,52597543,6592349,6592349,available,0,0,unestablished
uscensus2000,cheap,full,predict,0,16,1024,16384,0,21504,5958459,363.675,23075538,76513574,5972653,5972653,available,0,0,unestablished
uscensus2000,cheap,full,predict,1,16,1024,16384,0,21504,5975659,364.725,23068184,76513574,5981208,5981208,available,0,0,unestablished
uscensus2000,cheap,full,predict,2,16,1024,16384,0,21504,5998420,366.115,23036485,76513575,5992572,5992572,available,0,0,unestablished
uscensus2000,cheap,full,predict,3,16,1024,16384,0,21504,5965109,364.081,23027149,76513574,5970688,5970688,available,0,0,unestablished
uscensus2000,cheap,full,predict,4,16,1024,16384,0,21504,5974434,364.651,23053750,76513574,5979964,5979964,available,0,0,unestablished
uscensus2000,cheap,full,encode,0,16,2048,32768,32768,43008,6427057,196.138,24908288,104818982,6447268,6447268,available,0,0,unestablished
uscensus2000,cheap,full,encode,1,16,2048,32768,32768,43008,6445897,196.713,24889545,104818982,6451519,6451519,available,0,0,unestablished
uscensus2000,cheap,full,encode,2,16,2048,32768,32768,43008,6465490,197.311,24939658,104818983,6471171,6471171,available,0,0,unestablished
uscensus2000,cheap,full,encode,3,16,2048,32768,32768,43008,6477214,197.669,24912445,104818983,6471105,6471105,available,0,0,unestablished
uscensus2000,cheap,full,encode,4,16,2048,32768,32768,43008,6454916,196.988,24902496,104818983,6460494,6460494,available,0,0,unestablished
uscensus2000,cheap,full,predict-then-encode,0,16,1024,16384,16384,9458688,8957823,546.742,34692504,128922921,8971971,8971971,available,0,0,unestablished
uscensus2000,cheap,full,predict-then-encode,1,16,1024,16384,16384,9458688,8983152,548.288,34714088,128922921,8988777,8988777,available,0,0,unestablished
uscensus2000,cheap,full,predict-then-encode,2,16,1024,16384,16384,9458688,9039695,551.739,34733556,128922922,9024908,9024908,available,0,0,unestablished
uscensus2000,cheap,full,predict-then-encode,3,16,1024,16384,16384,9458688,8988985,548.644,34739348,128922921,8994544,8994544,available,0,0,unestablished
uscensus2000,cheap,full,predict-then-encode,4,16,1024,16384,16384,9458688,9006087,549.688,34686978,128922921,8997039,8997039,available,0,0,unestablished
uscensus2000,cheap,sample32,predict,0,16,8192,131072,0,65536,8058925,61.4847,31218928,109830440,8073141,8073141,available,0,0,unestablished
uscensus2000,cheap,sample32,predict,1,16,8192,131072,0,65536,8177944,62.3928,31463633,109830442,8172094,8172094,available,0,0,unestablished
uscensus2000,cheap,sample32,predict,2,16,8192,131072,0,65536,8127934,62.0112,31400866,109830440,8133528,8133528,available,0,0,unestablished
uscensus2000,cheap,sample32,predict,3,16,8192,131072,0,65536,8116554,61.9244,31360771,109830440,8122397,8122397,available,0,0,unestablished
uscensus2000,cheap,sample32,predict,4,16,8192,131072,0,65536,8141427,62.1142,31369559,109830440,8137963,8137963,available,0,0,unestablished
uscensus2000,cheap,sample32,predict-then-encode,0,16,2048,32768,32768,18917376,8213162,250.646,31707361,132276521,8215972,8215972,available,0,0,unestablished
uscensus2000,cheap,sample32,predict-then-encode,1,16,2048,32768,32768,18917376,8225577,251.025,31784164,132276520,8231146,8231146,available,0,0,unestablished
uscensus2000,cheap,sample32,predict-then-encode,2,16,2048,32768,32768,18917376,8203253,250.343,31698686,132276520,8209220,8209220,available,0,0,unestablished
uscensus2000,cheap,sample32,predict-then-encode,3,16,2048,32768,32768,18917376,8189978,249.938,31640450,132276520,8195552,8195552,available,0,0,unestablished
uscensus2000,cheap,sample32,predict-then-encode,4,16,2048,32768,32768,18917376,8222199,250.922,31763408,132276520,8227191,8227191,available,0,0,unestablished
uscensus2000,quadrants,full,predict,0,16,512,8192,0,10752,8387032,1023.81,32500409,111719720,8401564,8401564,available,0,0,unestablished
uscensus2000,quadrants,full,predict,1,16,512,8192,0,10752,8408625,1026.44,32499823,111719720,8414184,8414184,available,0,0,unestablished
uscensus2000,quadrants,full,predict,2,16,512,8192,0,10752,8414922,1027.21,32499682,111719721,8420488,8420488,available,0,0,unestablished
uscensus2000,quadrants,full,predict,3,16,512,8192,0,10752,8409044,1026.49,32497774,111719720,8414542,8414542,available,0,0,unestablished
uscensus2000,quadrants,full,predict,4,16,512,8192,0,10752,8416906,1027.45,32504285,111719721,8422556,8422556,available,0,0,unestablished
uscensus2000,quadrants,full,predict-then-encode,0,16,512,8192,8192,4729344,9903660,1208.94,38358138,137924394,9918487,9918487,available,0,0,unestablished
uscensus2000,quadrants,full,predict-then-encode,1,16,512,8192,8192,4729344,9928022,1211.92,38348798,137924394,9927968,9927968,available,0,0,unestablished
uscensus2000,quadrants,full,predict-then-encode,2,16,512,8192,8192,4729344,9913809,1210.18,38333928,137924393,9919589,9919589,available,0,0,unestablished
uscensus2000,quadrants,full,predict-then-encode,3,16,512,8192,8192,4729344,9969901,1217.03,38346065,137924395,9956145,9956145,available,0,0,unestablished
uscensus2000,quadrants,full,predict-then-encode,4,16,512,8192,8192,4729344,9960844,1215.92,38343936,137924394,9939693,9939693,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict,0,16,2048,32768,0,16384,5437817,165.949,21043569,63213862,5451888,5451888,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict,1,16,2048,32768,0,16384,5450208,166.327,21041877,63213861,5456215,5456215,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict,2,16,2048,32768,0,16384,5456966,166.533,21045347,63213862,5462559,5462559,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict,3,16,2048,32768,0,16384,5453126,166.416,21042344,63213861,5458693,5458693,available,0,0,unestablished
