family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
streams,stride2,268435456,1,0,0,0,0,3,21.5078,21.6202,21.6202
streams,stride2,268435456,1,0,0,0,1,3,23.4699,23.589,23.589
streams,stride2,268435456,1,0,0,0,2,3,23.6896,24.0201,24.0201
streams,shuffled-within-page,268435456,1,0,0,0,0,3,40.1439,40.8528,40.8528
streams,shuffled-within-page,268435456,1,0,0,0,1,3,39.8108,40.2767,40.2767
streams,shuffled-within-page,268435456,1,0,0,0,2,3,39.85,40.7292,40.7292
streams,stride2,268435456,2,0,0,0,0,3,15.8376,15.9176,15.9176
streams,stride2,268435456,2,0,0,0,1,3,15.8427,15.9309,15.9309
streams,stride2,268435456,2,0,0,0,2,3,15.0409,15.1248,15.1248
streams,shuffled-within-page,268435456,2,0,0,0,0,3,38.2807,38.8735,38.8735
streams,shuffled-within-page,268435456,2,0,0,0,1,3,37.0827,37.7699,37.7699
streams,shuffled-within-page,268435456,2,0,0,0,2,3,38.1225,38.319,38.319
streams,stride2,268435456,4,0,0,0,0,3,11.6876,11.7974,11.7974
streams,stride2,268435456,4,0,0,0,1,3,11.6791,11.7861,11.7861
streams,stride2,268435456,4,0,0,0,2,3,12.2716,12.2753,12.2753
streams,shuffled-within-page,268435456,4,0,0,0,0,3,37.6558,39.2402,39.2402
streams,shuffled-within-page,268435456,4,0,0,0,1,3,37.3926,38.6617,38.6617
streams,shuffled-within-page,268435456,4,0,0,0,2,3,37.1045,37.6861,37.6861
streams,stride2,268435456,8,0,0,0,0,3,23.8779,23.9216,23.9216
streams,stride2,268435456,8,0,0,0,1,3,23.8754,23.886,23.886
streams,stride2,268435456,8,0,0,0,2,3,23.5509,23.6382,23.6382
streams,shuffled-within-page,268435456,8,0,0,0,0,3,122.317,124.577,124.577
streams,shuffled-within-page,268435456,8,0,0,0,1,3,121.594,125.173,125.173
streams,shuffled-within-page,268435456,8,0,0,0,2,3,122.559,122.963,122.963
streams,stride2,268435456,12,0,0,0,0,3,24.682,24.8011,24.8011
streams,stride2,268435456,12,0,0,0,1,3,24.575,24.7057,24.7057
streams,stride2,268435456,12,0,0,0,2,3,24.5867,24.6712,24.6712
streams,shuffled-within-page,268435456,12,0,0,0,0,3,129.347,130.896,130.896
streams,shuffled-within-page,268435456,12,0,0,0,1,3,126.981,128.864,128.864
streams,shuffled-within-page,268435456,12,0,0,0,2,3,127.154,129.034,129.034
streams,stride2,268435456,16,0,0,0,0,3,24.6115,24.7917,24.7917
streams,stride2,268435456,16,0,0,0,1,3,24.3475,24.4287,24.4287
streams,stride2,268435456,16,0,0,0,2,3,23.5987,23.8634,23.8634
streams,shuffled-within-page,268435456,16,0,0,0,0,3,124.327,125.985,125.985
streams,shuffled-within-page,268435456,16,0,0,0,1,3,124.813,124.827,124.827
streams,shuffled-within-page,268435456,16,0,0,0,2,3,132.148,132.852,132.852
streams,stride2,268435456,24,0,0,0,0,3,25.6505,25.8003,25.8003
streams,stride2,268435456,24,0,0,0,1,3,26.1898,26.2997,26.2997
streams,stride2,268435456,24,0,0,0,2,3,26.2246,26.3286,26.3286
streams,shuffled-within-page,268435456,24,0,0,0,0,3,128.706,129.008,129.008
streams,shuffled-within-page,268435456,24,0,0,0,1,3,128.25,129.363,129.363
streams,shuffled-within-page,268435456,24,0,0,0,2,3,132.912,136.425,136.425
streams,stride2,268435456,32,0,0,0,0,3,30.2148,30.2316,30.2316
streams,stride2,268435456,32,0,0,0,1,3,28.6774,28.7535,28.7535
streams,stride2,268435456,32,0,0,0,2,3,28.6662,29.1849,29.1849
streams,shuffled-within-page,268435456,32,0,0,0,0,3,126.192,126.585,126.585
streams,shuffled-within-page,268435456,32,0,0,0,1,3,126.785,127.133,127.133
streams,shuffled-within-page,268435456,32,0,0,0,2,3,132.813,136.258,136.258
streams,stride2,268435456,48,0,0,0,0,3,132.391,133.818,133.818
streams,stride2,268435456,48,0,0,0,1,3,136.015,136.261,136.261
streams,stride2,268435456,48,0,0,0,2,3,131.59,133.886,133.886
streams,shuffled-within-page,268435456,48,0,0,0,0,3,124.217,126.473,126.473
streams,shuffled-within-page,268435456,48,0,0,0,1,3,126.776,129.062,129.062
streams,shuffled-within-page,268435456,48,0,0,0,2,3,123.939,125.491,125.491
streams,stride2,268435456,64,0,0,0,0,3,129.425,129.973,129.973
streams,stride2,268435456,64,0,0,0,1,3,129.288,130.437,130.437
streams,stride2,268435456,64,0,0,0,2,3,128.728,131.151,131.151
streams,shuffled-within-page,268435456,64,0,0,0,0,3,128.805,129.194,129.194
streams,shuffled-within-page,268435456,64,0,0,0,1,3,127.783,129.84,129.84
streams,shuffled-within-page,268435456,64,0,0,0,2,3,129.671,130.24,130.24
