case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
text,gram256,build,65536,65536,41,13,23657,0,0,0,0,0,0,0,0,0,0,0,0,2097152,6541237,5148638291542186198,1,166.17778523763022,165.17367045084632,166.5910491943359,0.0,32.0
text,term_bits,q0,65536,65536,41,13,23657,0,0,23657,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1,0.3076493530273438,0.3043036132812499,0.3113477172851556,0.0,0.5
text,term_bits,q1,65536,65536,41,13,3575,0,0,3575,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1,0.06622120289726056,0.06608376071416555,0.07216798511073325,0.0,0.5
text,term_bits,q2,65536,65536,41,13,2,0,0,2,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1,0.026570987928678357,0.026378569871494048,0.0269294383758159,0.0,0.5
text,term_bits,q3,65536,65536,41,13,0,0,0,0,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1,0.02656096823259949,0.026426862604837748,0.026621987242987852,0.0,0.5
text,term_bits,build,65536,65536,41,13,23657,0,0,0,0,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1,100.1335678100586,99.87019729614258,101.4820671081543,0.0,0.5
text_long,direct,q0,65536,65536,41,13,656,0,65536,0,0,0,0,0,33554432,0,0,0,0,0,35717120,13392345412288773663,1,16.54039790712554,15.882362102640085,27.993891222723597,0.0,0.0
text_long,direct,q1,65536,65536,41,13,6554,0,65536,0,0,0,0,0,33554432,0,0,0,0,0,35717120,13392345412288773663,1,286.7477340698242,285.3703002929688,287.1594009399414,0.0,0.0
text_long,direct,q2,65536,65536,41,13,0,0,65536,0,0,0,0,0,33554432,0,0,0,0,0,35717120,13392345412288773663,1,295.4614562988282,293.50419616699224,297.4473342895508,0.0,0.0
text_long,direct,q3,65536,65536,41,13,0,0,65536,0,0,0,0,0,33554432,0,0,0,0,0,35717120,13392345412288773663,1,296.5664520263672,295.27835845947266,300.8357467651367,0.0,0.0
text_long,gram32,q0,65536,65536,41,13,656,65536,65536,0,262144,0,0,0,33554432,4096,0,0,0,262144,35717120,13392345412288773663,1,18.70193680472996,18.282019573709242,19.22596740722656,1.0,4.0
text_long,gram32,q1,65536,65536,41,13,6554,65536,65536,0,262144,0,0,0,33554432,4096,0,0,0,262144,35717120,13392345412288773663,1,292.29335021972656,290.39967346191406,304.82496643066406,1.0,4.0
text_long,gram32,q2,65536,65536,41,13,0,65536,65536,0,262144,0,0,0,33554432,4096,0,0,0,262144,35717120,13392345412288773663,1,299.6023254394531,296.47108459472656,307.25970458984375,1.0,4.0
text_long,gram32,q3,65536,65536,41,13,0,65536,65536,0,262144,0,0,0,33554432,4096,0,0,0,262144,35717120,13392345412288773663,1,297.1173629760742,296.8042449951172,299.3247985839844,1.0,4.0
text_long,gram32,build,65536,65536,41,13,656,0,0,0,0,0,0,0,0,0,0,0,0,262144,35717120,13392345412288773663,1,606.0933685302734,604.9832916259766,613.1581878662109,0.0,4.0
text_long,gram256,q0,65536,65536,41,13,656,54579,54579,0,2097152,0,0,0,27944448,4096,0,0,0,2097152,35717120,13392345412288773663,1,19.673060541567594,19.38590539020041,21.088812123174254,0.8328094482421875,32.0
text_long,gram256,q1,65536,65536,41,13,6554,48387,48387,0,2097152,0,0,0,24774144,4096,0,0,0,2097152,35717120,13392345412288773663,1,213.2091598510742,211.90993499755862,215.9566879272461,0.7383270263671875,32.0
text_long,gram256,q2,65536,65536,41,13,0,47803,47803,0,2097152,0,0,0,24475136,4096,0,0,0,2097152,35717120,13392345412288773663,1,220.22376251220703,218.62857818603516,221.0486831665039,0.7294158935546875,32.0
text_long,gram256,q3,65536,65536,41,13,0,47349,47349,0,2097152,0,0,0,24242688,4096,0,0,0,2097152,35717120,13392345412288773663,1,221.14723205566406,217.200927734375,231.9409408569336,0.7224884033203125,32.0
text_long,gram256,build,65536,65536,41,13,656,0,0,0,0,0,0,0,0,0,0,0,0,2097152,35717120,13392345412288773663,1,1346.9035949707031,1341.3080596923828,1364.3355255126953,0.0,32.0
text_long,term_bits,q0,65536,65536,41,13,656,0,0,656,8192,0,0,0,0,0,0,0,0,32768,35717120,13392345412288773663,1,0.03677152385894421,0.0365127403837951,0.03743095098626674,0.0,0.5
text_long,term_bits,q1,65536,65536,41,13,6554,0,0,6554,8192,0,0,0,0,0,0,0,0,32768,35717120,13392345412288773663,1,0.09520111951947327,0.09474050198534271,0.11021939257034698,0.0,0.5
text_long,term_bits,q2,65536,65536,41,13,0,0,0,0,8192,0,0,0,0,0,0,0,0,32768,35717120,13392345412288773663,1,0.02677196082716225,0.026554068615853747,0.027600905108088495,0.0,0.5
text_long,term_bits,q3,65536,65536,41,13,0,0,0,0,8192,0,0,0,0,0,0,0,0,32768,35717120,13392345412288773663,1,0.0265844348618344,0.026313651794801423,0.026643058508907604,0.0,0.5
text_long,term_bits,build,65536,65536,41,13,656,0,0,0,0,0,0,0,0,0,0,0,0,32768,35717120,13392345412288773663,1,894.6355895996094,886.7207183837891,899.3098754882812,0.0,0.5
