case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,redistributions,correct,ns_per_operation,spread_percent
d05,deps,natural,scan256_after,3277,256,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,0,0,0,0,0,0,0,0,0,1,359.92919827793867,3.241388682816415
d05,deps,natural,churn,3277,512,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,876288,109536,0,0,2048,0,0,0,0,1,385.88650803941897,2.0678034887436407
d05,deps,gapped,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,0,1,316.10377817622947,0.7300624118186257
d05,deps,gapped,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,69120,8640,540,2160,2048,0,0,0,0,1,326.21334031357407,2.062723141272778
d05,deps,gapped_tail,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,0,1,314.8025944116453,1.069754129037487
d05,deps,gapped_tail,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,69120,8640,540,2160,2048,0,0,0,0,1,327.7190463362069,2.157402290238896
d05,deps,blocked,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,0,0,0,0,0,0,0,0,1,163.93280649551645,1.4920521633132098
d05,deps,blocked,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,397528,0,0,2048,0,0,0,0,1,355.097685620301,2.1892554782874516
d05,deps,indirect,scan256_after,3277,256,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,0,0,0,0,0,0,0,0,1,187.40955617049877,1.4754263089683706
d05,deps,indirect,churn,3277,512,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,1987640,0,0,2048,0,0,0,0,1,339.8984863281251,1.2088447084479161
d20,deps,natural,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,0,0,0,0,0,0,0,0,0,1,241.8648158482145,7.064201793527367
d20,deps,natural,churn,13107,512,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,3414912,426864,0,0,2048,0,0,0,0,1,569.421340215774,1.00747159833448
d20,deps,gapped,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,0,1,376.97694248540836,0.936712250636166
d20,deps,gapped,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,51584,6448,403,1612,2048,0,0,0,0,1,400.7368143801867,6.903853619773813
d20,deps,gapped_tail,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,0,1,387.91348379629636,3.3040146787342364
d20,deps,gapped_tail,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,51584,6448,403,1612,2048,0,0,0,0,1,407.697849961578,12.141116630815809
d20,deps,blocked,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,112288,435808,70,69,0,0,0,0,0,0,0,0,0,0,1,201.29704182942714,1.5342618238680574
d20,deps,blocked,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,112288,435808,70,69,0,0,387348,0,0,2048,0,0,0,0,1,448.9082031250001,2.791944786363212
d20,deps,indirect,scan256_after,13107,256,65536,10126532683383999592,16,4,0,1677696,492336,85796,435808,70,69,0,0,0,0,0,0,0,0,0,0,1,252.98820445609456,1.0289143041236797
d20,deps,indirect,churn,13107,512,65536,10126532683383999592,16,4,0,1677696,492336,85796,435808,70,69,0,0,1936740,0,0,2048,0,0,0,0,1,447.2219991238321,10.140904655026958
collision,deps,natural,points,4096,2048,0,7489257858394937713,16,4,0,856192,107024,1670112,147456,2584,2583,2600,0,0,0,0,0,0,0,0,0,1,50.40835966527338,4.466428693780583
collision,deps,natural,scan256_after,4096,256,0,7489257858394937713,16,4,0,863616,107952,1681664,147456,2603,2602,2619,0,0,0,0,0,0,0,0,0,1,1808.4484817216978,2.3719986637338866
collision,deps,natural,churn,4096,512,0,7489257858394937713,16,4,0,863616,107952,1681664,147456,2603,2602,2619,70528,8816,0,0,2048,0,0,0,0,1,835.0695312500003,5.147892893421575
collision,deps,natural1024,points,4096,2048,0,7489257858394937713,16,4,0,656128,82016,10048,147456,17,16,17,0,0,0,0,0,0,0,0,0,1,54.3224302019391,1.5363902768736615
collision,deps,natural1024,scan256_after,4096,256,0,7489257858394937713,16,4,0,656128,82016,10048,147456,17,16,17,0,0,0,0,0,0,0,0,0,1,103.82928736863937,4.020286001812443
collision,deps,natural1024,churn,4096,512,0,7489257858394937713,16,4,0,656128,82016,10048,147456,17,16,17,17143040,2142880,0,0,2048,0,0,0,0,1,1382.2105468750003,3.7057939628522196
collision,deps,gapped,points,4096,2048,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,58.0010025726392,1.1802977008738567
collision,deps,gapped,scan256_after,4096,256,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,328.17855065566823,2.6587373883992442
collision,deps,gapped,churn,4096,512,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,77184,9648,603,2412,2048,0,0,0,0,1,341.7198581560286,2.1412018270377797
collision,deps,gapped_tail,points,4096,2048,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,58.28673051581325,1.315238977697154
collision,deps,gapped_tail,scan256_after,4096,256,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,327.3093790974652,1.8475870559617458
collision,deps,gapped_tail,churn,4096,512,0,7489257858394937713,16,4,0,720896,90112,12992,147456,23,22,0,77184,9648,603,2412,2048,0,0,0,0,1,342.5979642697132,3.3804171090332273
collision,deps,blocked,points,4096,2048,0,7489257858394937713,16,4,0,720896,90112,35520,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,71.61063675331856,2.0196527322705977
collision,deps,blocked,scan256_after,4096,256,0,7489257858394937713,16,4,0,720896,90112,35520,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,170.85074120330157,1.3040472052510848
collision,deps,blocked,churn,4096,512,0,7489257858394937713,16,4,0,720896,90112,35520,147456,23,22,0,0,379512,0,0,2048,0,0,0,0,1,372.82362827034893,5.375125054544718
collision,deps,indirect,points,4096,2048,0,7489257858394937713,16,4,0,524288,155648,27072,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,58.195380217837545,1.7581925255366153
collision,deps,indirect,scan256_after,4096,256,0,7489257858394937713,16,4,0,524288,155648,27076,147456,23,22,0,0,0,0,0,0,0,0,0,0,1,191.4909208207451,1.486881566088311
collision,deps,indirect,churn,4096,512,0,7489257858394937713,16,4,0,524288,155648,27076,147456,23,22,0,0,1897560,0,0,2048,0,0,0,0,1,355.78549274344607,4.26548348695346
collision,ids,natural,points,4096,2048,0,7489257858394937713,16,4,1,856192,107024,1670112,184320,2584,2583,2600,0,0,0,0,0,0,0,0,0,1,50.13991674558086,3.5012227659489983
collision,ids,natural,scan256_after,4096,256,0,7489257858394937713,16,4,1,863616,107952,1681664,184320,2603,2602,2619,0,0,0,0,0,0,0,0,0,1,1819.937079973118,4.148755862750934
collision,ids,natural,churn,4096,512,0,7489257858394937713,16,4,1,863616,107952,1681664,184320,2603,2602,2619,70528,8816,0,0,2048,0,0,0,0,1,825.7019789514464,8.321289120363822
collision,ids,natural1024,points,4096,2048,0,7489257858394937713,16,4,1,656128,82016,10048,184320,17,16,17,0,0,0,0,0,0,0,0,0,1,54.470044279751754,5.480766772851651
collision,ids,natural1024,scan256_after,4096,256,0,7489257858394937713,16,4,1,656128,82016,10048,184320,17,16,17,0,0,0,0,0,0,0,0,0,1,104.7546634951119,3.815808406250986
collision,ids,natural1024,churn,4096,512,0,7489257858394937713,16,4,1,656128,82016,10048,184320,17,16,17,17143040,2142880,0,0,2048,0,0,0,0,1,1410.8811069542253,24.879987365551823
collision,ids,gapped,points,4096,2048,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,58.47521368347764,1.5944963247016928
collision,ids,gapped,scan256_after,4096,256,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,326.66322737068975,1.2658115105398529
collision,ids,gapped,churn,4096,512,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,77184,9648,603,603,2048,0,0,0,0,1,342.90105597527474,1.777533418049823
collision,ids,gapped_tail,points,4096,2048,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,59.90152329664963,4.295691548376122
collision,ids,gapped_tail,scan256_after,4096,256,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,336.60398224189447,15.51259433844453
collision,ids,gapped_tail,churn,4096,512,0,7489257858394937713,16,4,1,720896,90112,12992,184320,23,22,0,77184,9648,603,603,2048,0,0,0,0,1,343.5683818247128,18.220994939637418
collision,ids,blocked,points,4096,2048,0,7489257858394937713,16,4,1,720896,90112,35520,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,71.47670052479103,5.5002147094660705
collision,ids,blocked,scan256_after,4096,256,0,7489257858394937713,16,4,1,720896,90112,35520,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,170.75094217649666,1.3347274003441798
collision,ids,blocked,churn,4096,512,0,7489257858394937713,16,4,1,720896,90112,35520,184320,23,22,0,0,379512,0,0,2048,0,0,0,0,1,371.4493412990198,1.5373957660302506
collision,ids,indirect,points,4096,2048,0,7489257858394937713,16,4,1,524288,155648,27072,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,57.9366629464286,1.4714059319789206
