name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations
d05/deps/indirect/scan256_after/manual_time,0,1,1022,47984.73091976512,48041.01369863016,ns,256.0
d05/deps/indirect/scan256_after/manual_time,1,1,1022,47711.54500978471,47615.50097847298,ns,256.0
d05/deps/indirect/scan256_after/manual_time,2,1,1022,48032.14872798436,48007.95009784748,ns,256.0
d05/deps/indirect/scan256_after/manual_time,3,1,1022,47943.02152641883,47904.47651663383,ns,256.0
d05/deps/indirect/scan256_after/manual_time,4,1,1022,48382.815068493175,48403.29452054763,ns,256.0
d05/deps/indirect/scan256_after/manual_time,5,1,1022,47976.846379647686,47851.27201565586,ns,256.0
d05/deps/indirect/scan256_after/manual_time,6,1,1022,47674.952054794514,47735.607632093306,ns,256.0
d05/deps/indirect/churn/manual_time,0,1,280,174713.87857142862,219154.61428571513,ns,512.0
d05/deps/indirect/churn/manual_time,1,1,280,173634.39642857146,217235.56428571313,ns,512.0
d05/deps/indirect/churn/manual_time,2,1,280,172672.8107142856,216802.6785714261,ns,512.0
d05/deps/indirect/churn/manual_time,3,1,280,174028.02500000005,218554.4642857172,ns,512.0
d05/deps/indirect/churn/manual_time,4,1,280,174776.5392857145,219202.6785714285,ns,512.0
d05/deps/indirect/churn/manual_time,5,1,280,174574.33571428581,218106.54642857268,ns,512.0
d05/deps/indirect/churn/manual_time,6,1,280,173878.1785714285,218299.6999999988,ns,512.0
d20/deps/natural/scan256_after/manual_time,0,1,756,65142.347883597875,65180.88492063449,ns,256.0
d20/deps/natural/scan256_after/manual_time,1,1,756,61819.54100529099,61659.059523808486,ns,256.0
d20/deps/natural/scan256_after/manual_time,2,1,756,61957.59788359793,61946.37301587271,ns,256.0
d20/deps/natural/scan256_after/manual_time,3,1,756,61917.39285714291,61955.853174603646,ns,256.0
d20/deps/natural/scan256_after/manual_time,4,1,756,62117.388888888905,62156.855820106306,ns,256.0
d20/deps/natural/scan256_after/manual_time,5,1,756,61671.46693121702,61486.88095238108,ns,256.0
d20/deps/natural/scan256_after/manual_time,6,1,756,60768.3783068782,60808.366402116844,ns,256.0
d20/deps/natural/churn/manual_time,0,1,168,291543.72619047627,769827.6250000022,ns,512.0
d20/deps/natural/churn/manual_time,1,1,168,291918.0000000001,770878.9702380976,ns,512.0
d20/deps/natural/churn/manual_time,2,1,168,292473.7916666668,774503.9642857153,ns,512.0
d20/deps/natural/churn/manual_time,3,1,168,291438.55357142864,772485.1130952343,ns,512.0
d20/deps/natural/churn/manual_time,4,1,168,291144.66666666657,776465.0238095218,ns,512.0
d20/deps/natural/churn/manual_time,5,1,168,292754.0535714286,775927.5773809543,ns,512.0
d20/deps/natural/churn/manual_time,6,1,168,289816.8333333335,769413.6845238099,ns,512.0
d20/deps/gapped/scan256_after/manual_time,0,1,514,96487.60311284049,96551.39494163413,ns,256.0
d20/deps/gapped/scan256_after/manual_time,1,1,514,97238.20622568087,97114.29961089398,ns,256.0
d20/deps/gapped/scan256_after/manual_time,2,1,514,96334.22178988325,96092.41439688652,ns,256.0
d20/deps/gapped/scan256_after/manual_time,3,1,514,97059.2937743191,97122.08171206067,ns,256.0
d20/deps/gapped/scan256_after/manual_time,4,1,514,96610.62645914395,96670.15175097338,ns,256.0
d20/deps/gapped/scan256_after/manual_time,5,1,514,96432.75486381318,96503.89105058249,ns,256.0
d20/deps/gapped/scan256_after/manual_time,6,1,514,96506.09727626454,96297.98832684843,ns,256.0
d20/deps/gapped/churn/manual_time,0,1,241,202504.87551867214,643811.5477178403,ns,512.0
d20/deps/gapped/churn/manual_time,1,1,241,207363.25311203333,652608.5767634852,ns,512.0
d20/deps/gapped/churn/manual_time,2,1,241,216670.01244813277,677609.9585062246,ns,512.0
d20/deps/gapped/churn/manual_time,3,1,241,208360.49377593363,657567.2489626545,ns,512.0
d20/deps/gapped/churn/manual_time,4,1,241,204824.17012448134,644880.352697096,ns,512.0
d20/deps/gapped/churn/manual_time,5,1,241,205177.24896265558,636426.1784232367,ns,512.0
d20/deps/gapped/churn/manual_time,6,1,241,204063.70539419082,645486.5145228215,ns,512.0
d20/deps/gapped_tail/scan256_after/manual_time,0,1,513,97019.85575048729,96683.48148148123,ns,256.0
d20/deps/gapped_tail/scan256_after/manual_time,1,1,513,98368.33138401562,98270.14424951274,ns,256.0
