name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,0,1,70329,392.68459668128645,391.4143667619332,ns,18004224.0,256.0,654038333.1297208,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,1,1,70329,397.2213027345057,396.728817415291,ns,18004224.0,256.0,645277047.6010625,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,2,1,70329,395.4599951657993,395.43661931777785,ns,18004224.0,256.0,647385668.1297266,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,3,1,70329,394.07776308520124,394.05524037025975,ns,18004224.0,256.0,649655108.6580117,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,4,1,70329,396.69305691819943,396.69243128723576,ns,18004224.0,256.0,645336234.8489991,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,0,1,52027,538.2867933957019,537.7755972860245,ns,13318912.0,256.0,476034987.99861366,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,1,1,52027,538.9264612604009,537.6197166855669,ns,13318912.0,256.0,476173012.3631692,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,2,1,52027,538.3538547291213,537.581102120053,ns,13318912.0,256.0,476207215.97246534,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,3,1,52027,539.0902031637391,537.3764007150127,ns,13318912.0,256.0,476388616.35787517,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,4,1,52027,536.5834278354489,536.5831587444983,ns,13318912.0,256.0,477092871.492633,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,0,1,62221,447.4107777114091,447.1021198630686,ns,15928576.0,256.0,572576126.63166,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,1,1,62221,446.35614985331864,446.35528197875317,ns,15928576.0,256.0,573534156.1661767,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,2,1,62221,448.9187894763392,448.8876906510667,ns,15928576.0,256.0,570298552.024667,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,3,1,62221,446.73769306202547,446.6108227125892,ns,15928576.0,256.0,573205992.7368702,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,4,1,62221,446.4281512671946,446.36619469311006,ns,15928576.0,256.0,573520134.4627085,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/65536,1,1,runtime/bytes64_0/read_bound/65536,iteration,5,0,1,44886,623.8376553936132,622.8483491511831,ns,11490816.0,256.0,411014977.1591696,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/65536,1,1,runtime/bytes64_0/read_bound/65536,iteration,5,1,1,44886,622.4463307039697,622.4506750434438,ns,11490816.0,256.0,411277568.2701807,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
