stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
closed,tcp,16,16,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225008,1135.532,2421.5453920927257,346.8408823932164,2627.409,1265.207,1421.093,2537.086,2539.07,2540.557,2542.334,2546.214,2553.366,2560.793,100.0,89.63236862689327,0.0,0.0,1,False,104423.96657892255,104423.96657892255,104423.96657892255,104327.5250070608,2.156746266,0.0,0,0.0,0.0,5.2681e-05,False,16,16,256,1.92,1.28,2.639572,16.0,16.0,225008,12.347,13.539881106449549,1.985217630489062,134.243,12.409,12.808,13.024,13.081,13.171,14.597,15.783,23.814,27.698,0.0,0.0,0.0,0.0,2539.07,2539.07,2542.334,2542.334,2553.366,2553.366,2560.793,2560.793
closed,tcp,16,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225040,5398.277,9673.74964507643,1385.0681293401692,10178.962,5520.614,5674.398,10152.859,10156.907,10160.157,10164.098,10167.825,10172.252,10176.748,100.0,100.0,100.0,88.92996800568788,1,False,104610.69590483746,104610.69590483746,104610.69590483746,104225.36218045893,2.159167359,0.0,0,0.0,0.0,4.6105e-05,False,64,16,1024,5.12,25.6,2.404112,63.9877143588431,63.99658727337362,225040,13.266,53.47359559189477,4.667981488069886,88.432,49.293,49.722,50.823,51.627,54.228,60.326,64.142,69.639,79.246,0.0,0.0,0.0,0.0,10156.907,10156.907,10164.098,10164.098,10172.252,10172.252,10176.748,10176.748
closed,tcp,64,1,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,431.338,903.1304694184029,422.4141071518218,1673.274,522.79881,549.23895,615.224,644.8665,1548.842,1552.011,1553.3511,1557.90203,1636.7647380000024,29.56076388888889,0.0,0.0,0.0,1,False,62602.303872006676,62602.303872006676,62602.303872006676,62574.601574434666,1.841002533,70.43923611111111,0,0.0,0.0,4.8047e-05,False,1,64,64,0.12,0.04,8.618984375,1.0,1.0,115200,0.746,0.9335174045138889,0.790922323426018,29.738,0.752,0.754,0.758,0.763,0.774,0.862,1.713,5.143009999999995,9.547020000000135,0.0,0.0,0.0,0.0,644.8665,644.8665,1552.011,1552.011,1557.90203,1557.90203,1636.7647380000024,1636.7647380000024
closed,tcp,64,4,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225000,1332.755,2437.8434210133337,298.6343341528379,2676.973,1441.919,1567.017,2536.895,2539.035,2540.755,2542.66,2544.367,2552.213,2571.269,100.0,89.60888888888888,0.0,0.0,1,False,104417.0403461873,104417.0403461873,104417.0403461873,104313.1907695989,2.156965944,0.0,0,0.0,0.0,5.0652e-05,False,4,64,256,0.64,0.8,4.20184,4.0,4.0,225000,3.027,3.4835321244444444,1.130680746928454,23.023,3.053,3.154,3.188,3.203,3.236,3.345,5.063,9.069,14.862,0.0,0.0,0.0,0.0,2539.035,2539.035,2542.66,2542.66,2552.213,2552.213,2571.269,2571.269
closed,tcp,64,16,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225008,6345.846,9763.258659034347,1117.678342937177,10222.046,6454.734,6559.779,10155.194,10157.557,10159.24,10161.26,10164.183,10172.159,10178.533,100.0,100.0,100.0,88.76484391666074,1,False,104712.78636783895,104712.78636783895,104712.78636783895,104253.16210201198,2.158284655,0.0,0,0.0,0.0,5.0333e-05,False,16,64,1024,0.64,3.2,2.692284,16.0,16.0,225008,12.505,13.922981298442721,1.9771543797171103,41.026,12.642,13.048,13.227,13.32,13.523,15.222,17.058,24.317,30.138,0.0,0.0,0.0,0.0,10157.557,10157.557,10161.26,10161.26,10172.159,10172.159,10178.533,10178.533
closed,tcp,64,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225040,23322.569,38463.04229072165,5661.965170187162,45068.816,23408.124,23580.687,39301.919,40474.488,41266.944,42522.627,42531.125,42536.563,43157.769,100.0,100.0,100.0,100.0,1,False,105332.32308992882,105332.32308992882,105332.32308992882,103710.12420439965,2.169894229,0.0,0,0.0,0.0,5.0494e-05,False,64,64,4096,7.68,2.56,2.35324,63.9877143588431,63.99658727337362,225040,13.279,51.99728027017419,3.2215451452258748,78.069,49.293,49.605,50.647,51.203,51.855,53.576,59.29,68.344,76.066,0.0,0.0,0.0,0.0,40474.488,40474.488,42522.627,42522.627,42536.563,42536.563,43157.769,43157.769
closed,udp,1,1,0,50,6000,4096,9001,nvme,direct-dsync,raw,good,5400,435.502,442.442897962963,4.050348587576721,682.222,437.65394,438.9858,440.896,442.166,443.58725,445.2351,446.582,449.7472,457.4052049999999,0.0,0.0,0.0,0.0,1,False,2224.042715590422,2224.042715590422,2224.042715590422,2224.042715590422,2.42801092,100.0,0,0.0,0.0,5.5415e-05,False,1,1,1,0.04,0.0,12.240666666666666,1.0,1.0,5400,0.813,0.8466414814814814,0.18309111772666037,7.572,0.817,0.82,0.824,0.829,0.838,0.854,0.866,1.2300300000000006,4.843231999999989,0.0,0.0,0.0,0.0,442.166,442.166,445.2351,445.2351,449.7472,449.7472,457.4052049999999,457.4052049999999
closed,udp,1,4,0,50,8000,4096,9001,nvme,direct-dsync,raw,good,7200,420.77,439.74921222222224,19.65148560195515,523.138,422.17294,423.74494999999996,427.00775,430.0985,443.81600000000003,475.56980000000004,480.98859999999996,486.32709,499.9790140000026,0.0,0.0,0.0,0.0,1,False,7902.012958451785,7902.012958451785,7902.012958451785,7902.012958451785,0.911160237,100.0,0,0.0,0.0,5.4836e-05,False,4,1,4,0.16,0.0,5.118125,4.0,4.0,7200,3.207,3.2957433333333332,0.46563437577137706,13.512,3.213,3.219,3.233,3.261,3.278,3.296,3.309,3.4743800000000085,11.435479000000493,0.0,0.0,0.0,0.0,430.0985,430.0985,475.56980000000004,475.56980000000004,486.32709,486.32709,499.9790140000026,499.9790140000026
closed,udp,1,16,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,496.784,565.6019055555556,25.862809343103986,669.186,501.47872,520.6415499999999,554.9254999999999,559.387,581.57125,594.6009,619.1146,641.81733,667.253,0.0,0.0,0.0,0.0,1,False,26121.642869246854,26121.642869246854,26121.642869246854,26121.642869246854,1.102534023,100.0,0,0.0,0.0,6.7987e-05,False,16,1,16,0.64,0.0,3.2804375,16.0,16.0,28800,13.23,13.656426111111111,0.7585405973801043,21.874,13.25999,13.328750000000001,13.548,13.59,13.622,13.659100000000002,13.71505,18.994159999999013,21.43,0.0,0.0,0.0,0.0,559.387,559.387,594.6009,594.6009,641.81733,641.81733,667.253,667.253
closed,udp,1,64,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,685.806,764.4891244444445,40.29659975994752,894.176,688.86448,693.60135,756.6452499999999,767.1175000000001,778.7405,829.074200000001,838.7351499999988,854.8675899999961,879.381,0.0,0.0,0.0,0.0,1,False,75209.92789955215,75209.92789955215,75209.92789955215,75209.92789955215,1.531712677,100.0,0,0.0,0.0,0.000119305,False,64,1,64,5.12,7.68,3.0154375,64.0,64.0,115200,51.711,53.398363333333336,2.547375079303312,95.979,51.907,52.04895,52.430749999999996,52.851,53.218500000000006,53.52260000000003,60.87694999999977,63.82180999999957,66.177,0.0,0.0,0.0,0.0,767.1175000000001,767.1175000000001,829.074200000001,829.074200000001,854.8675899999961,854.8675899999961,879.381,879.381
