input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/2/unit16/stride16/map0/random/all/sum/gpr_compiled,1,3,"[971.4036328334877,970.9834997227128,971.5615640599746]",971.4036328334877,"[971.6916250693271,970.9943150314281,971.575291178141]",971.575291178141,"[0.9486363601889528,0.9482260739479618,0.9487905899023189]",0.9486363601889528,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/sum/gpr_inline,1,3,"[874.6600284497122,852.9116880036358,874.2262920812534]",874.2262920812534,"[874.6710526310167,852.9223565695033,874.315433851874]",874.315433851874,"[0.8541601840329222,0.8329215703160506,0.853736613360599]",0.853736613360599,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/sum/gpr_points,1,3,"[893.4431948878605,892.6585303515749,892.7874760387024]",892.7874760387024,"[894.591821085637,892.6697763579871,892.7988498411063]",892.7988498411063,"[0.8725031200076763,0.8717368460464598,0.8718627695690453]",0.8718627695690453,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/sum/point,1,3,"[2262.496141479418,2249.370418007098,2249.444694533721]",2249.444694533721,"[2262.524437300552,2249.401929264867,2249.4790996709808]",2249.4790996709808,"[2.209468888163494,2.1966507988350568,2.1967233345055868]",2.1967233345055868,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/sum/simd,1,3,"[1174.9736842098175,1173.6376131412344,1171.034696615046]",1173.6376131412344,"[1174.9867582973893,1173.6542071748647,1171.0494468629272]",1173.6542071748647,"[1.1474352384861497,1.1461304815832367,1.1435885709131308]",1.1461304815832367,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/update/gpr_compiled,1,3,"[3298.8615819231727,3298.080508474107,3295.0014124283866]",3298.080508474107,"[3298.903483986494,3298.12146892111,3297.2645951008335]",3298.12146892111,"[3.2215445135968483,3.220781746556745,3.2177748168245963]",3.220781746556745,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/update/gpr_inline,1,3,"[2571.2524698142324,2565.7603366265134,2565.8441273331305]",2565.8441273331305,"[2571.9323088154424,2565.7961946544483,2565.87669227757]",2565.87669227757,"[2.5109887400529614,2.50562532873683,2.5057071555987602]",2.5057071555987602,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/update/gpr_points,1,3,"[3110.182420494419,3079.3869257935858,3084.2813604242383]",3084.2813604242383,"[3110.2217314470277,3079.435070669186,3085.137367493157]",3085.137367493157,"[3.037287520014081,3.007213794720298,3.011993516039295]",3.011993516039295,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/update/point,1,3,"[6260.5351111118225,6248.722666665824,6261.24711111389]",6260.5351111118225,"[6261.280888894463,6248.809777768352,6262.835555566602]",6261.280888894463,"[6.11380381944514,6.102268229165843,6.114499131947158]",6.11380381944514,1024.0,2.0,4.0,16.0
avx512,gpr/2/unit16/stride16/map0/random/all/update/simd,1,3,"[4704.87105439829,4676.986568168369,4677.731363330112]",4677.731363330112,"[4704.936870373302,4677.0449966367605,4678.919408984504]",4678.919408984504,"[4.59460063906083,4.5673696954769225,4.568097034502062]",4.568097034502062,1024.0,2.0,4.0,16.0
