family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,D65/equality_mismatch0,4096,918273,3,1.572967842,1.571706449,1.573437091,299264,32768,0
prefix,D65/equality_mismatch7,4096,918273,3,1.57338518,1.572758132,1.573968946,299264,32768,0
prefix,D65/equality_mismatch8,4096,918273,3,2.749169758,2.745134626,2.751455771,299264,32768,32768
prefix,D65/equality_mismatch15,4096,918273,3,2.750646591,2.747167315,2.751442024,299264,32768,32768
prefix,D65/equality_mismatch16,4096,918273,3,2.914471436,2.914463007,2.915009126,299264,32768,32768
prefix,D65/equality_mismatch17,4096,918273,3,2.03265199,2.031107921,2.032987683,299264,32768,12288
prefix,D65/update_raw,4096,918273,3,0.869376269,0.868860331,0.87155134,299264,32768,0
prefix,D65/update_tuplepack_effects,4096,918273,3,2.476368073,2.474566306,2.476382594,299264,32768,0
prefix,E64prefix7/scalar_raw,4096,918273,3,0.294219059,0.294048567,0.294221411,299264,32768,0
prefix,E64prefix7/scalar_tuplepack,4096,918273,3,1.340568542,1.338610331,1.340662237,299264,32768,0
prefix,E64prefix7/full_string_rare,4096,918273,3,18.724128274,18.692300236,18.730303596,299264,32768,32768
prefix,E64prefix7/all_fields,4096,918273,3,14.971368699,14.92397926,15.028842018,299264,32768,32768
prefix,E64prefix7/equality_mismatch0,4096,918273,3,1.571609419,1.571172939,1.572603196,299264,32768,0
prefix,E64prefix7/equality_mismatch7,4096,918273,3,2.781748546,2.777673062,2.816382452,299264,32768,32768
prefix,E64prefix7/equality_mismatch8,4096,918273,3,2.778965898,2.777509655,2.779853682,299264,32768,32768
prefix,E64prefix7/equality_mismatch15,4096,918273,3,2.780036788,2.778794167,2.781243619,299264,32768,32768
prefix,E64prefix7/equality_mismatch16,4096,918273,3,2.917249988,2.913378616,2.919488235,299264,32768,32768
prefix,E64prefix7/equality_mismatch17,4096,918273,3,2.621654804,2.621401795,2.623723478,299264,32768,28672
prefix,E64prefix7/update_raw,4096,918273,3,0.857141062,0.856317857,0.858959841,299264,32768,0
prefix,E64prefix7/update_tuplepack_effects,4096,918273,3,2.454584473,2.451993896,2.45844165,299264,32768,0
prefix,F64side/scalar_raw,4096,918273,3,0.294226703,0.294131152,0.294425413,299136,32768,0
prefix,F64side/scalar_tuplepack,4096,918273,3,1.339300992,1.339161789,1.339698658,299136,32768,0
prefix,F64side/full_string_rare,4096,918273,3,19.275754929,19.206346512,19.334369659,299136,32768,32768
prefix,F64side/all_fields,4096,918273,3,14.985072545,14.931985038,15.000403995,299136,32768,32768
prefix,F64side/equality_mismatch0,4096,918273,3,1.569345015,1.569138277,1.571384058,299136,32768,0
prefix,F64side/equality_mismatch7,4096,918273,3,1.570706412,1.57011171,1.571068084,299136,32768,0
prefix,F64side/equality_mismatch8,4096,918273,3,2.762326902,2.760525815,2.762618056,299136,32768,32768
prefix,F64side/equality_mismatch15,4096,918273,3,2.761097951,2.761023444,2.761927974,299136,32768,32768
prefix,F64side/equality_mismatch16,4096,918273,3,2.910001337,2.908391171,2.910318138,299136,32768,32768
prefix,F64side/equality_mismatch17,4096,918273,3,2.036722209,2.036093547,2.037821045,299136,32768,12288
prefix,F64side/update_raw,4096,918273,3,0.856784682,0.855868214,0.857557404,299136,32768,0
prefix,F64side/update_tuplepack_effects,4096,918273,3,2.452431152,2.451901123,2.453278076,299136,32768,0
prefix,D_prefix_plane/scalar_raw,4096,918273,3,0.305669347,0.305497667,0.305794939,299136,32768,0
prefix,D_prefix_plane/scalar_tuplepack,4096,918273,3,1.338894091,1.338214058,1.338937057,299136,32768,0
prefix,D_prefix_plane/full_string_rare,4096,918273,3,23.165257045,23.152003697,23.17402213,299136,32768,32768
prefix,D_prefix_plane/all_fields,4096,918273,3,14.963185628,14.917178199,15.042712984,299136,32768,32768
