case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
B64prefix9/scalar_raw,262144,262144,918273,0,0.689985820,18612480,0,14833737718642290184,56
B64prefix9/scalar_raw,262144,262144,918273,1,0.687767097,18612480,0,14833737718642290184,56
B64prefix9/scalar_raw,262144,262144,918273,2,0.688364574,18612480,0,14833737718642290184,56
B64prefix9/scalar_tuplepack,262144,262144,918273,0,1.680642169,18612480,0,3127772694024762673,23
B64prefix9/scalar_tuplepack,262144,262144,918273,1,1.678837652,18612480,0,3127772694024762673,23
B64prefix9/scalar_tuplepack,262144,262144,918273,2,1.674832220,18612480,0,3127772694024762673,23
B64prefix9/full_string_rare,262144,262144,918273,0,19.661342621,18612480,262144,9157653150,2
B64prefix9/full_string_rare,262144,262144,918273,1,19.651710510,18612480,262144,9157653150,2
B64prefix9/full_string_rare,262144,262144,918273,2,19.728826523,18612480,262144,9157653150,2
B64prefix9/all_fields,262144,262144,918273,0,20.266889572,18612480,262144,9094336197981828548,2
B64prefix9/all_fields,262144,262144,918273,1,20.080999374,18612480,262144,9094336197981828548,2
B64prefix9/all_fields,262144,262144,918273,2,20.126184464,18612480,262144,9094336197981828548,2
B64prefix9/equality_mismatch0,262144,262144,918273,0,3.528357766,18612480,0,0,11
B64prefix9/equality_mismatch0,262144,262144,918273,1,3.141023783,18612480,0,0,13
B64prefix9/equality_mismatch0,262144,262144,918273,2,3.004025973,18612480,0,0,13
B64prefix9/equality_mismatch7,262144,262144,918273,0,3.208794594,18612480,0,0,12
B64prefix9/equality_mismatch7,262144,262144,918273,1,2.611306763,18612480,0,0,15
B64prefix9/equality_mismatch7,262144,262144,918273,2,2.589240011,18612480,0,0,15
B64prefix9/equality_mismatch8,262144,262144,918273,0,2.812463488,18612480,0,0,14
B64prefix9/equality_mismatch8,262144,262144,918273,1,2.731929779,18612480,0,0,14
B64prefix9/equality_mismatch8,262144,262144,918273,2,2.732973099,18612480,0,0,14
B64prefix9/equality_mismatch15,262144,262144,918273,0,6.621397018,18612480,262144,0,6
B64prefix9/equality_mismatch15,262144,262144,918273,1,6.601165771,18612480,262144,0,6
B64prefix9/equality_mismatch15,262144,262144,918273,2,6.789555868,18612480,262144,0,6
B64prefix9/equality_mismatch16,262144,262144,918273,0,6.185405731,18612480,262144,1835008,7
B64prefix9/equality_mismatch16,262144,262144,918273,1,6.240053994,18612480,262144,1835008,7
B64prefix9/equality_mismatch16,262144,262144,918273,2,6.472063700,18612480,262144,1572864,6
B64prefix9/equality_mismatch17,262144,262144,918273,0,4.267423418,18612480,65536,294912,9
B64prefix9/equality_mismatch17,262144,262144,918273,1,4.008822250,18612480,65536,327680,10
B64prefix9/equality_mismatch17,262144,262144,918273,2,3.958830261,18612480,65536,327680,10
B64prefix9/update_raw,262144,262144,918273,0,0.995535826,18612480,0,10223616,39
B64prefix9/update_raw,262144,262144,918273,1,1.017389398,18612480,0,9961472,38
