case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
B64prefix9/scalar_raw,4096,32768,918273,0,0.294534269,291072,0,12707167297312376403,1037
B64prefix9/scalar_raw,4096,32768,918273,1,0.294120664,291072,0,12322537809269276177,1039
B64prefix9/scalar_raw,4096,32768,918273,2,0.293465159,291072,0,2906851028392950256,1040
B64prefix9/scalar_tuplepack,4096,32768,918273,0,1.340405247,291072,0,11492470584215229084,228
B64prefix9/scalar_tuplepack,4096,32768,918273,1,1.339901974,291072,0,11492470584215229084,228
B64prefix9/scalar_tuplepack,4096,32768,918273,2,1.340947469,291072,0,11492470584215229084,228
B64prefix9/full_string_rare,4096,32768,918273,0,18.719981474,291072,32768,9747722599,17
B64prefix9/full_string_rare,4096,32768,918273,1,18.756692325,291072,32768,9747722599,17
B64prefix9/full_string_rare,4096,32768,918273,2,18.768306957,291072,32768,9747722599,17
B64prefix9/all_fields,4096,32768,918273,0,14.687366304,291072,32768,5184762546815204900,21
B64prefix9/all_fields,4096,32768,918273,1,14.713479178,291072,32768,5184762546815204900,21
B64prefix9/all_fields,4096,32768,918273,2,14.715398879,291072,32768,5184762546815204900,21
B64prefix9/equality_mismatch0,4096,32768,918273,0,1.578379680,291072,0,0,194
B64prefix9/equality_mismatch0,4096,32768,918273,1,1.573415068,291072,0,0,194
B64prefix9/equality_mismatch0,4096,32768,918273,2,1.572855319,291072,0,0,195
B64prefix9/equality_mismatch7,4096,32768,918273,0,1.572111942,291072,0,0,195
B64prefix9/equality_mismatch7,4096,32768,918273,1,1.571260423,291072,0,0,195
B64prefix9/equality_mismatch7,4096,32768,918273,2,1.571116443,291072,0,0,195
B64prefix9/equality_mismatch8,4096,32768,918273,0,1.573842943,291072,0,0,194
B64prefix9/equality_mismatch8,4096,32768,918273,1,1.571902231,291072,0,0,195
B64prefix9/equality_mismatch8,4096,32768,918273,2,1.571360583,291072,0,0,195
B64prefix9/equality_mismatch15,4096,32768,918273,0,2.765122697,291072,32768,0,111
B64prefix9/equality_mismatch15,4096,32768,918273,1,2.765488633,291072,32768,0,111
B64prefix9/equality_mismatch15,4096,32768,918273,2,2.764974233,291072,32768,0,111
B64prefix9/equality_mismatch16,4096,32768,918273,0,2.914849272,291072,32768,3440640,105
B64prefix9/equality_mismatch16,4096,32768,918273,1,2.911878895,291072,32768,3440640,105
B64prefix9/equality_mismatch16,4096,32768,918273,2,2.913012695,291072,32768,3440640,105
B64prefix9/equality_mismatch17,4096,32768,918273,0,1.893901495,291072,8192,663552,162
