case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,918273,0,28.678189364,66048,32998,3004007142037,11
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,918273,1,28.503684304,66048,32998,3004007142037,11
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,918273,2,28.422091397,66048,32998,3004007142037,11
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,918273,0,31.744860840,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,918273,1,31.633688354,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,918273,2,31.669787598,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,918273,0,32.439291382,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,918273,1,32.352896118,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,918273,2,32.359152222,66048,32998,2730915583670,10
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,918273,0,21.922029768,66048,33404,1970324836974592,14
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,918273,1,21.787674967,66048,33404,2111062325329920,15
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,918273,2,21.786960856,66048,33404,2111062325329920,15
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,918273,0,21.738234456,66048,33404,2111062325329920,15
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,918273,1,21.691176351,66048,33404,2111062325329920,15
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,918273,2,21.682956950,66048,33404,2111062325329920,15
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,918273,0,27.263837179,66048,33404,1688849860263936,12
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,918273,1,27.171470642,66048,33404,1688849860263936,12
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,918273,2,27.096043905,66048,33404,1688849860263936,12
n8b7stride63_combined/load50_uniform/mixed/raw,4096,32768,918273,0,25.498647054,66048,33192,846068026270476,12
n8b7stride63_combined/load50_uniform/mixed/raw,4096,32768,918273,1,25.229039119,66048,33192,916573695126349,13
n8b7stride63_combined/load50_uniform/mixed/raw,4096,32768,918273,2,25.210376446,66048,33192,916573695126349,13
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,918273,0,26.630597432,66048,33192,846068026270476,12
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,918273,1,26.475107829,66048,33192,846068026270476,12
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,918273,2,26.487495422,66048,33192,846068026270476,12
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,918273,0,29.870236483,66048,33192,775562357414603,11
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,918273,1,29.671847257,66048,33192,775562357414603,11
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,918273,2,29.642103715,66048,33192,775562357414603,11
n8b7stride63_combined/load50_uniform/update/raw,4096,32768,918273,0,28.902551824,66048,32998,3004007161153,11
n8b7stride63_combined/load50_uniform/update/raw,4096,32768,918273,1,28.515364213,66048,32998,3004007094239,11
n8b7stride63_combined/load50_uniform/update/raw,4096,32768,918273,2,28.555480957,66048,32998,3004007143245,11
