case,base_ns,candidate_ns,ratio,base_samples,candidate_samples,edge_ratios,observation
resident/predecessor/local/k1/h0/u64/point,1.331614403052642,1.3346002552410239,1.0022422798833783,"[1.3356399765465916, 1.32754478823249, 1.3294241794337243, 1.3403565288926929, 1.3296386002348348, 1.3335902058704494]","[1.3340404409214084, 1.328598204666215, 1.3351600695606394, 1.3355861382781269, 1.3320769190564576, 1.3379488825263117]","[1.0034723766568248, 1.0014966609674332]",sample ranges overlap
resident/predecessor/local/k1/h0/u64/get16,6.241690421064412,6.241774619497906,1.0000134896843345,"[6.23607047112491, 6.245524575254274, 6.256501538036644, 6.250760097397042, 6.237856266874551, 6.233027858453435]","[6.247890714149871, 6.2374585453119025, 6.236326936335107, 6.240706727562883, 6.2428425114329285, 6.243485018102133]","[0.9987085104149088, 1.0007993522686403]",sample ranges overlap
resident/predecessor/striped/k1/h0/u64/point,1.3415354208676569,1.344125441695297,1.0019306391671454,"[1.3387816045704044, 1.3442892371649093, 1.3357178427394614, 1.34536679921581, 1.3454004601868013, 1.3372550730585047]","[1.3346451525843634, 1.3515184013946255, 1.3367042672909903, 1.3594246527721559, 1.3540179402739776, 1.3367324819959685]","[0.9984483374492731, 1.0064303215028125]",sample ranges overlap
resident/predecessor/striped/k1/h0/u64/get16,6.24648779333709,6.239680827854249,0.9989102731473994,"[6.274667759699925, 6.235845816609326, 6.247235611381881, 6.247441307318049, 6.233959337033933, 6.245739975292299]","[6.238080303557137, 6.248335865754677, 6.231008179562171, 6.242915031453115, 6.229961408168317, 6.241281352151362]","[0.9985345025553279, 0.9992861337233739]",sample ranges overlap
bulk/series/avx2/local/k1/h0/u64/decode,0.13204132250018935,0.1321862147245668,1.0010973248497812,"[0.13184706374139848, 0.1608376203928663, 0.13203055216718254, 0.13214262167718901, 0.13194749921626128, 0.13205209283319616]","[0.13226501631169169, 0.13235440210815785, 0.13195039763953945, 0.13218940713415278, 0.1321830223149808, 0.1320007999536163]","[1.0017758324922572, 1.00099149872581]",sample ranges overlap
resident/series/avx2/local/k1/h0/u64/point,1.3764646223444452,1.3740029941803251,0.998211629907402,"[1.3694775222520794, 1.3774314265996304, 1.37549781808926, 1.3824125613604465, 1.3811841972553631, 1.3717770582681363]","[1.3735775742252834, 1.373378874918306, 1.3786306637093972, 1.374428414135367, 1.379935726096874, 1.369897482840193]","[0.9986039644420198, 0.9951087022763359]",sample ranges overlap
resident/series/avx2/local/k1/h0/u64/get16,3.668753924188751,3.6640445644808253,0.9987163598853344,"[3.6717359934894653, 3.669588206620822, 3.6617584736821365, 3.6679196417566797, 3.6633428585234404, 3.672389542342679]","[3.6589591283299083, 3.666275250162029, 3.6628944486657997, 3.6591743606758933, 3.668732743720406, 3.6651946802958504]","[0.9981758830751241, 0.9992570825626037]",sample ranges overlap
bulk/series/avx512/local/k1/h0/u64/decode,0.13171702721940234,0.13169798303049635,0.9998554158918704,"[0.13177589666647993, 0.13145130032398664, 0.1319502345851213, 0.13230593219012451, 0.1315981118838459, 0.13165815777232476]","[0.1317805351078367, 0.1316615906355627, 0.13161541884958655, 0.13152111289936394, 0.13173437542542996, 0.13182306510843797]","[0.9991325725431676, 1.000578905662929]",sample ranges overlap
resident/series/avx512/local/k1/h0/u64/point,1.3735720380036986,1.3866089144243747,1.0094912214721723,"[1.3670219505072128, 1.3758061730164646, 1.3779436202983197, 1.377288653995508, 1.3713365180063841, 1.371337902990933]","[1.3781914528608716, 1.3720237339969337, 1.3707232583070919, 1.3950263759878778, 1.5542302645253705, 1.5667871806161477]","[0.9972507471664864, 1.1333678308865696]",sample ranges overlap
resident/series/avx512/local/k1/h0/u64/get16,7.378848202424917,3.6885431327549263,0.4998806089469027,"[7.37796675879225, 7.3797296460575845, 7.3591816839847874, 7.3740310322544165, 7.38767665486625, 7.381371867273537]","[3.6869182236533575, 3.6872581820313584, 3.6866762312128603, 3.6898280834784942, 3.7099224908443276, 3.6918298392454507]","[0.499720091481802, 0.5001549719522673]",separated faster
