suite,operation,logical_values,arm,repetitions,median_ns,min_ns,max_ns,median_cycles,ratio_to_local,mean_required_lines_per_request,max_major_faults,max_minor_faults
bulk,decode,32768,fixed_planes,5,25.4275979996,24.3803014755,25.6017007828,112.96817207336426,1.0407115620063634,28.0,0,0
bulk,decode,32768,local_aos7,5,24.4328966141,24.3820171356,24.5616044998,108.96910858154297,1.0,28.0,0,0
bulk,decode,32768,plain_u64,5,28.5123929977,28.2707605362,28.7608156204,126.85174942016602,1.1669673656804884,32.0,0,0
bulk,decode,32768,prior_shape,5,47.9198799133,47.8826198578,48.1744737625,213.5994529724121,1.961285256928803,28.0,0,0
bulk,encode,32768,fixed_planes,5,19.1077651978,18.5607948303,19.3452301025,85.26052379608154,0.7831337931315501,28.0,0,0
bulk,encode,32768,local_aos7,5,24.3991069794,24.2955093384,24.8510732651,108.95254325866699,1.0,28.0,0,0
bulk,encode,32768,plain_u64,5,19.3291807175,18.971075058,19.7593355179,86.18556690216064,0.7922085318048524,32.0,0,0
bulk,encode,32768,prior_shape,5,30.4152040482,30.353644371,30.5035610199,135.5287322998047,1.2465703795585368,28.0,0,0
bulk,sum,32768,fixed_planes,5,21.4818058014,21.4258060455,21.6048784256,95.83406162261963,2.0291445152868666,28.0,0,0
bulk,sum,32768,local_aos7,5,10.5866317749,10.5804805756,10.7385234833,47.15474891662598,1.0,28.0,0,0
bulk,sum,32768,plain_u64,5,14.2631635666,14.0367612839,14.5544347763,63.101935386657715,1.3472805959320076,32.0,0,0
bulk,sum,32768,prior_shape,5,31.7304077148,31.7061843872,31.7681732178,141.70569515228271,2.9972146372399657,28.0,0,0
capacity,dependent,1024,fixed_planes,5,6.0714006424,6.06238746643,6.10815525055,27.19327163696289,0.9993752261484726,4.0,0,0
capacity,dependent,1024,local_aos7,5,6.07519626617,6.0577917099,6.09229564667,27.187031745910645,1.0,1.093740463256836,0,0
capacity,dependent,1024,plain_u64,5,5.35711669922,5.35265350342,5.40276908875,24.006360054016113,0.8818014208119237,1.0,0,0
capacity,dependent,1024,prior_shape,5,6.3414516449,6.32743263245,6.50229930878,28.423046112060547,1.0438266299662868,4.0,0,0
capacity,dependent,65536,fixed_planes,5,8.72545814514,8.71698093414,8.82384872437,39.08583354949951,1.0314951184594248,4.0,0,0
capacity,dependent,65536,local_aos7,5,8.45903968811,8.44644165039,8.50859260559,37.89116382598877,1.0,1.093852424621582,0,0
capacity,dependent,65536,plain_u64,5,7.92127227783,7.8590927124,8.10703849792,35.27834224700928,0.9364268959470796,1.0,0,0
capacity,dependent,65536,prior_shape,5,8.68281078339,8.66654109955,8.7387046814,38.91488742828369,1.0264534868650081,4.0,0,0
capacity,dependent,67108864,fixed_planes,5,181.144777298,180.151438713,182.080121994,807.2882022857666,1.1542313169304619,4.0,0,0
capacity,dependent,67108864,local_aos7,5,156.939752579,156.666380882,158.784083366,699.3266410827637,1.0,1.0938589096069335,0,0
capacity,dependent,67108864,plain_u64,5,156.120821953,155.637527466,158.599719048,695.9965257644653,0.9947818789532769,1.0,0,0
capacity,dependent,67108864,prior_shape,5,181.496807098,180.691218376,183.026463509,808.08473777771,1.1564744057222758,4.0,0,0
capacity,get16,1024,fixed_planes,5,4.88376045227,4.8808221817,4.97685718536,21.873658180236816,1.3443635503513227,4.0,0,0
capacity,get16,1024,local_aos7,5,3.63276767731,3.62518501282,3.69937229156,16.26345157623291,1.0,2.499532127380371,0,0
capacity,get16,1024,plain_u64,5,3.07254981995,3.06132507324,3.07703208923,13.744391441345215,0.8457875903105283,2.0,0,0
capacity,get16,1024,prior_shape,5,21.1268005371,21.0756254196,21.2207279205,94.35444641113281,5.815621149972359,4.0,0,0
capacity,get16,65536,fixed_planes,5,5.47078609467,5.46224975586,5.48000812531,24.481974601745605,1.3089721260142324,4.0,0,0
capacity,get16,65536,local_aos7,5,4.17945194244,4.15930080414,4.2086057663,18.686674118041992,1.0,2.500478172302246,0,0
capacity,get16,65536,plain_u64,5,3.29500484467,3.28800487518,3.30079269409,14.73996353149414,0.7883820390925103,2.0,0,0
capacity,get16,65536,prior_shape,5,22.9591245651,22.8715486526,23.0931062698,102.37067031860352,5.49333378665344,4.0,0,0
capacity,get16,67108864,fixed_planes,5,63.5491247177,63.5047979355,63.637550354,283.43740367889404,1.433282472191409,4.0,0,0
capacity,get16,67108864,local_aos7,5,44.3381719589,44.250749588,44.5119123459,197.39667415618896,1.0,2.5000648498535156,0,0
capacity,get16,67108864,plain_u64,5,35.0389156342,34.9670085907,36.8513469696,155.93917179107666,0.7902652293982689,2.0,0,0
capacity,get16,67108864,prior_shape,5,187.689123154,186.685371399,188.549748421,835.8341226577759,4.23312723239879,4.0,0,0
capacity,independent,1024,fixed_planes,5,1.81145763397,1.80976963043,1.82278823853,8.108469009399414,1.2090859151068822,4.0,0,0
capacity,independent,1024,local_aos7,5,1.49820423126,1.49377059937,1.53499698639,6.682830810546875,1.0,1.093874168395996,0,0
capacity,independent,1024,plain_u64,5,1.32353878021,1.32245159149,1.33076763153,5.933821678161621,0.8834167949832147,1.0,0,0
capacity,independent,1024,prior_shape,5,1.79972743988,1.79162216187,1.80319881439,8.044748306274414,1.2012564123960703,4.0,0,0
capacity,independent,65536,fixed_planes,5,1.96326351166,1.95009422302,1.96662998199,8.774599075317383,1.2425854030707792,4.0,0,0
capacity,independent,65536,local_aos7,5,1.57998275757,1.57224750519,1.61891078949,7.064805030822754,1.0,1.093783187866211,0,0
capacity,independent,65536,plain_u64,5,1.39351940155,1.39028644562,1.39660930634,6.239333152770996,0.8819839298077031,1.0,0,0
capacity,independent,65536,prior_shape,5,1.95342159271,1.9415102005,1.9569606781,8.71593189239502,1.2363562724661286,4.0,0,0
capacity,independent,67108864,fixed_planes,5,18.0944185257,18.0362539291,18.3004322052,80.82559871673584,1.4330505582049957,4.0,0,0
capacity,independent,67108864,local_aos7,5,12.6265039444,12.5278272629,12.7252283096,56.43533420562744,1.0,1.093806266784668,0,0
capacity,independent,67108864,plain_u64,5,9.4058675766,9.29371547699,9.57908344269,41.995442390441895,0.7449304746601383,1.0,0,0
capacity,independent,67108864,prior_shape,5,18.2159166336,18.0379800797,18.550113678,81.37384796142578,1.4426730244422858,4.0,0,0
