node,az_id,az,epoch,seconds,cpu_busy_pct,cpu_steal_pct,queue_1_tx_linearize_failed,reset_fail,queue_0_rx_bad_desc_num,bw_in_allowance_exceeded,queue_0_rx_bad_req_id,queue_1_rx_bad_req_id,queue_1_rx_bad_desc_num,queue_0_rx_xdp_drop,queue_1_rx_page_alloc_fail,queue_1_rx_skb_alloc_fail,queue_0_tx_bad_req_id,queue_1_tx_bad_req_id,queue_0_tx_linearize_failed,queue_0_rx_csum_bad,queue_0_rx_skb_alloc_fail,conntrack_allowance_exceeded,queue_1_rx_xdp_drop,bw_out_allowance_exceeded,queue_0_rx_page_alloc_fail,queue_1_rx_csum_bad,linklocal_allowance_exceeded,pps_allowance_exceeded
0,use1-az1,us-east-1c,r0-mtu1500,97.59700632095337,12.55783212161269,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,use1-az1,us-east-1c,r0-mtu9001,115.91062712669373,15.148222202903593,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,use1-az1,us-east-1c,r1-mtu1500,98.08077764511108,12.082994304312445,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,use1-az1,us-east-1c,r1-mtu9001,115.62939238548279,15.462665857254354,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,use1-az1,us-east-1c,r2-mtu1500,97.73709774017334,11.500874395638306,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,use1-az1,us-east-1c,r2-mtu9001,116.05258965492249,15.647256874001814,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r0-mtu1500,97.59700012207031,11.433525422000102,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r0-mtu9001,115.91067218780518,14.801678273281716,0.004325446602361694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r1-mtu1500,98.08087277412415,9.725956566701132,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r1-mtu9001,115.62953495979309,15.244429089652789,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r2-mtu1500,97.73699641227722,10.992944063810207,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use1-az2,us-east-1d,r2-mtu9001,116.05228018760681,14.52262394457675,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r0-mtu1500,97.59764313697815,10.043444927165856,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r0-mtu9001,115.91056942939758,12.92095922430958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r1-mtu1500,98.08127474784851,9.139978409499816,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r1-mtu9001,115.62936186790466,12.884314747264202,0.004342539517109605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r2-mtu1500,97.7371461391449,9.739860712822612,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use1-az3,us-east-1e,r2-mtu9001,116.05266809463501,14.42356742050671,0.0042509777248767215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r0-mtu1500,97.59705305099487,11.367009570602383,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r0-mtu9001,115.91039109230042,14.83884923210037,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r1-mtu1500,98.08093571662903,12.345430783150702,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r1-mtu9001,115.62953019142151,15.718459951873498,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r2-mtu1500,97.73690915107727,11.144054800122682,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use1-az4,us-east-1a,r2-mtu9001,116.05294227600098,14.108317720360763,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r0-mtu1500,97.59629845619202,12.229698495043406,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r0-mtu9001,115.91088533401489,15.308394080928888,0.0043650966868916145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r1-mtu1500,98.08082628250122,13.961579186204808,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r1-mtu9001,115.62939596176147,14.902788774522746,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r2-mtu1500,97.73695874214172,13.032568619418273,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use1-az5,us-east-1f,r2-mtu9001,116.05259442329407,15.584979379205555,0.004341219882787063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r0-mtu1500,97.5968964099884,10.408384531984094,0.00516288915276989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r0-mtu9001,115.91092348098755,14.350875683118892,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r1-mtu1500,98.08066892623901,10.535723405341912,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r1-mtu9001,115.62920546531677,14.156221537927749,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r2-mtu1500,97.73687052726746,10.863867619096556,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,use1-az6,us-east-1b,r2-mtu9001,116.05228447914124,14.130810437186803,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
