rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
3,9001,4096,"use1-az2,use1-az4,use1-az5",456.30347000000006,use1-az5->use1-az2,361.28700000000003,302.461
4,9001,4096,"use1-az1,use1-az2,use1-az5",456.30347000000006,use1-az5->use1-az2,401.93399999999997,336.7631666666666
5,9001,4096,"use1-az1,use1-az5,use1-az6",705.43462,use1-az5->use1-az6,656.592,521.6605833333333
6,9001,4096,"use1-az3,use1-az5,use1-az6",705.43462,use1-az5->use1-az6,656.592,580.55075
7,9001,4096,"use1-az1,use1-az3,use1-az5",804.50969,use1-az3->use1-az1,761.078,551.1880833333333
8,9001,4096,"use1-az1,use1-az3,use1-az6",804.50969,use1-az3->use1-az1,761.078,618.4059166666667
9,9001,4096,"use1-az3,use1-az4,use1-az5",805.41117,use1-az3->use1-az4,750.06,569.6170000000001
10,9001,4096,"use1-az1,use1-az3,use1-az4",805.41117,use1-az3->use1-az4,761.078,611.8180833333333
11,9001,4096,"use1-az2,use1-az5,use1-az6",881.9502600000001,use1-az6->use1-az2,761.7470000000001,584.9263333333333
12,9001,4096,"use1-az1,use1-az2,use1-az6",881.9502600000001,use1-az6->use1-az2,761.7470000000001,595.3279166666667
13,9001,4096,"use1-az2,use1-az3,use1-az5",889.7064300000001,use1-az2->use1-az3,842.0295,596.7170833333333
14,9001,4096,"use1-az2,use1-az3,use1-az4",889.7064300000001,use1-az2->use1-az3,842.0295,605.09375
15,9001,4096,"use1-az1,use1-az2,use1-az3",889.7064300000001,use1-az2->use1-az3,842.0295,663.0195
16,9001,4096,"use1-az2,use1-az3,use1-az6",889.7064300000001,use1-az2->use1-az3,842.0295,688.7531666666667
17,9001,4096,"use1-az1,use1-az4,use1-az6",895.71615,use1-az6->use1-az4,850.6235,597.3441666666666
18,9001,4096,"use1-az2,use1-az4,use1-az6",895.71615,use1-az6->use1-az4,850.6235,608.3565833333333
19,9001,4096,"use1-az4,use1-az5,use1-az6",895.71615,use1-az6->use1-az4,850.6235,611.0439166666666
20,9001,4096,"use1-az3,use1-az4,use1-az6",895.71615,use1-az6->use1-az4,850.6235,684.1656666666667
1,9001,8192,"use1-az2,use1-az4,use1-az5",447.59449,use1-az5->use1-az4,392.904,313.325
2,9001,8192,"use1-az1,use1-az4,use1-az5",447.59449,use1-az5->use1-az4,392.904,346.87224999999995
3,9001,8192,"use1-az1,use1-az2,use1-az4",516.4962800000001,use1-az1->use1-az2,455.406,332.728
4,9001,8192,"use1-az1,use1-az2,use1-az5",516.4962800000001,use1-az1->use1-az2,455.406,365.52291666666673
5,9001,8192,"use1-az1,use1-az5,use1-az6",724.80105,use1-az5->use1-az6,671.1765,538.3045000000001
6,9001,8192,"use1-az3,use1-az5,use1-az6",724.80105,use1-az5->use1-az6,671.1765,589.8334166666667
7,9001,8192,"use1-az3,use1-az4,use1-az5",780.8448500000001,use1-az3->use1-az4,748.154,584.0725
8,9001,8192,"use1-az1,use1-az3,use1-az5",818.94434,use1-az1->use1-az3,767.9755,578.6255
9,9001,8192,"use1-az1,use1-az3,use1-az6",818.94434,use1-az1->use1-az3,767.9755,612.0369166666667
