dataset,id,group,exact,rows,bytes,hits,like_re2,rich_re2,literal_re2,chain_re2,joint_like_re2,joint_rich_re2,like_atoms,like_offered_bytes,literal_atoms,literal_offered_bytes,chain_atoms,chain_offered_bytes,trained_atoms,trained_offered_bytes,warm_rows,warm_atoms,source_warm_atoms,tail_source_atoms,tail_trained_atoms,cascade_atoms,cascade_offered_bytes,reverse_atoms,reverse_offered_bytes,chain_nodes,chain_leaves,chain_tokens,chain_literal_bytes,chain_relaxations,literal_nodes,literal_leaves,literal_relaxations,like_branches,like_tokens,like_literal_bytes,chain_cache_hits,chain_node_visits,baseline_fallback,chain_fallback,literal_fallback,ordered_re2,ordered_joint_like_re2,ordered_joint_rich_re2,position_atoms,position_visits,position_node_visits,position_cache_hits,position_peak_buffer_bytes,position_peak_memo_entries,ordered_nodes,ordered_leaves,ordered_relaxations,ordered_cascade_atoms,ordered_cascade_offered_bytes,pattern,like,literal_dag,chain_dag,ordered_dag
accidents,accident:0,accidents,0,65536,4378387,7299,7299,7299,7332,7299,7299,7299,65536,4378387,83807,5053011,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,72835,4682713,72835,4682713,1,1,7,8,0,3,2,0,1,8,8,0,65536,0,0,0,7299,7299,7299,7299,1869750,7299,0,318,1,1,1,0,72835,4682713,At (.+)Exit (.+),'%At _%Exit _%%' ESCAPE '!',"2='%At %' ESCAPE '!'; 3='%Exit %' ESCAPE '!'; 4=AND(2,3); root=4",2='%At _%Exit _%' ESCAPE '!'; root=2,2='%At _%Exit _%' ESCAPE '!'; root=2
accidents,accident:1,accidents,0,65536,4378387,83,83,83,83,83,83,83,65536,4378387,101661,7295502,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,65619,4387604,65619,4387604,1,1,9,13,0,3,2,0,1,10,13,0,65536,0,0,0,83,83,83,83,74400,83,0,372,1,1,1,0,65619,4387604,(.+) on (.+) at Exit (.+),'%_% on _% at Exit _%%' ESCAPE '!',"2='% on %' ESCAPE '!'; 3='% at Exit %' ESCAPE '!'; 4=AND(2,3); root=4",2='%_% on _% at Exit _%' ESCAPE '!'; root=2,2='%_% on _% at Exit _%' ESCAPE '!'; root=2
accidents,accident:2,accidents,0,65536,4378387,752,752,752,900,752,752,752,65536,4378387,104038,7440518,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,66288,4468557,66288,4468557,1,1,7,7,0,3,2,0,1,8,7,0,65536,0,0,0,752,752,752,752,545532,752,0,718,1,1,1,0,66288,4468557,on (.+) at (.+),'%on _% at _%%' ESCAPE '!',"2='%on %' ESCAPE '!'; 3='% at %' ESCAPE '!'; 4=AND(2,3); root=4",2='%on _% at _%' ESCAPE '!'; root=2,2='%on _% at _%' ESCAPE '!'; root=2
accidents,accident:3,accidents,0,65536,4378387,638,638,638,638,638,638,638,65536,4378387,65536,4378387,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,66174,4407701,66174,4407701,1,1,4,8,0,1,1,0,1,5,8,0,65536,0,0,0,638,638,638,638,89856,638,0,200,1,1,1,0,66174,4407701,Ramp to (.+),'%Ramp to _%%' ESCAPE '!',2='%Ramp to %' ESCAPE '!'; root=2,2='%Ramp to _%' ESCAPE '!'; root=2,2='%Ramp to _%' ESCAPE '!'; root=2
uap,user_agent_parsers:317,user_agent_parsers,0,18213,1919759,0,18213,18213,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,9,8,0,4,3,0,1,1,0,0,18213,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759,"^(foobar)\S{1,10}/(\d+)\.(\d+|)\.?([\da-z]+|)",'%' ESCAPE '!',"2='%foobar%' ESCAPE '!'; 3='%/%' ESCAPE '!'; 4='%.%' ESCAPE '!'; 5=AND(2,3,4); root=5",2='%foobar_%/_%.%' ESCAPE '!'; root=2,2='%foobar_%/_%.%' ESCAPE '!'; root=2
uap,user_agent_parsers:318,user_agent_parsers,0,18213,1919759,0,18213,18213,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,9,12,0,4,3,0,1,1,0,0,18213,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759,"^(Clementine)\S{1,10} (\d+)\.(\d+|)\.?(\d+|)",'%' ESCAPE '!',"2='%Clementine%' ESCAPE '!'; 3='% %' ESCAPE '!'; 4='%.%' ESCAPE '!'; 5=AND(2,3,4); root=5",2='%Clementine_% _%.%' ESCAPE '!'; root=2,2='%Clementine_% _%.%' ESCAPE '!'; root=2
uap,device_parsers:498,device_parsers,0,18213,1919759,1,18213,18213,1,1,1,1,18213,1919759,19150,2017705,18510,1950701,19240,1999883,1024,2048,1030,17480,17192,18511,1950810,36723,3870460,3,2,18,33,0,6,5,0,1,4,0,0,36723,0,0,0,1,1,1,2,1274,3,0,220,3,3,2,0,18511,1950810,"Windows Phone [^;]{1,30}; .{0,100}?IEMobile/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:ALCATEL)[^;]{0,200}; {0,2}([^;,\)]+)",'%_%%' ESCAPE '!',"2='%Windows Phone %' ESCAPE '!'; 3='%; %' ESCAPE '!'; 4='%IEMobile/%' ESCAPE '!'; 8='%ALCATEL%' ESCAPE '!'; 9='%;%' ESCAPE '!'; 10=AND(2,3,4,8,9); root=10","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%ALCATEL%;%_%' ESCAPE '!'; 6=AND(2,5); root=6","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%ALCATEL%;%_%' ESCAPE '!'; 6=SEQ(2,5); root=6"
uap,user_agent_parsers:295,user_agent_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,0,0,91061,9598611,91059,9598519,92083,9678371,1024,6144,5120,85939,85939,91059,9598519,91059,9598519,8,6,22,49,0,9,7,0,1,1,0,0,127485,1,0,0,2,2,2,12,1276,16,0,142,8,8,6,0,91059,9598519,(LG Player|Doppler|FancyMusic|MediaMonkey|Clementine) (\d+)\.(\d+)\.?([^.\s]+|)\.?([^.\s]+|),'%' ESCAPE '!',"2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% %' ESCAPE '!'; 9='%.%' ESCAPE '!'; 10=AND(7,8,9); root=10","2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% _%._%' ESCAPE '!'; 10=AND(7,8); root=10","2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% _%._%' ESCAPE '!'; 10=SEQ(7,8); root=10"
uap,device_parsers:29,device_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,0,0,30568,3562802,30568,3562802,47129,5508968,1024,6144,1595,28973,40985,30568,3562802,30568,3562802,10,6,18,37,0,10,6,0,1,1,0,0,61094,1,0,0,2,2,2,12,2512,20,0,284,10,10,6,0,30568,3562802,"; {0,2}(ALLVIEW[ _]?|Allview[ _]?|)(AX1_Shine|AX2_Frenzy)(?: Build|\) AppleWebKit)",'%' ESCAPE '!',"2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=AND(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=AND(2,12,15); root=16","2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=AND(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=AND(2,12,15); root=16","2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=SEQ(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=SEQ(2,12,15); root=16"
uap,device_parsers:500,device_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,18213,1919759,19183,2021298,18544,1954403,22636,2273350,1024,5120,1030,17514,17516,18546,1954600,36757,3874162,7,5,25,33,0,9,7,0,1,4,0,0,36774,0,0,0,2,2,2,10,2272,14,0,202,7,7,5,0,18546,1954600,"Windows Phone [^;]{1,30}; .{0,100}?IEMobile/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:DELL|Dell)[^;]{0,200}; {0,2}([^;,\)]+)",'%_%%' ESCAPE '!',"2='%Windows Phone %' ESCAPE '!'; 3='%; %' ESCAPE '!'; 4='%IEMobile/%' ESCAPE '!'; 8='%D%' ESCAPE '!'; 9='%ELL%' ESCAPE '!'; 10='%ell%' ESCAPE '!'; 11=OR(9,10); 12='%;%' ESCAPE '!'; 13=AND(2,3,4,8,11,12); root=13","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%D%' ESCAPE '!'; 6='%ELL%' ESCAPE '!'; 7='%ell%' ESCAPE '!'; 8=OR(6,7); 9='%;%_%' ESCAPE '!'; 10=AND(2,5,8,9); root=10","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%D%' ESCAPE '!'; 6='%ELL%' ESCAPE '!'; 7='%ell%' ESCAPE '!'; 8=OR(6,7); 9='%;%_%' ESCAPE '!'; 10=SEQ(2,5,8,9); root=10"
uap,device_parsers:335,device_parsers,0,18213,1919759,4,9520,9520,9306,9304,9304,9304,27922,2613756,131122,16993796,141101,18388731,93989,10425482,1024,33792,5813,135288,60197,151330,19876504,132995,17838276,60,33,100,77,0,55,30,0,2,6,19,994,278413,0,0,0,191,191,191,237877,35660215,421470,2410,768,65,60,33,0,141295,18417248,"; {0,2}(D633|D822|D833|T539|T939|V726|W335|W336|W337|W3568|W536|W5510|W626|W632|W6350|W6360|W6500|W732|W736|W737|W7376|W820|W832|W8355|W8500|W8510|W930)(?: Build|\) AppleWebKit)",'% Build%' ESCAPE '!' OR '%) AppleWebKit%' ESCAPE '!',"2='%;%' ESCAPE '!'; 3='%D%' ESCAPE '!'; 4='%633%' ESCAPE '!'; 5='%8%' ESCAPE '!'; 6='%22%' ESCAPE '!'; 7='%33%' ESCAPE '!'; 8=OR(6,7); 9=AND(5,8); 10=OR(4,9); 11=AND(3,10); 12='%T%' ESCAPE '!'; 13='%539%' ESCAPE '!'; 14='%939%' ESCAPE '!'; 15=OR(13,14); 16=AND(12,15); 17='%V726%' ESCAPE '!'; 18='%W%' ESCAPE '!'; 19='%3%' ESCAPE '!'; 20='%568%' ESCAPE '!'; 21=OR(19,20); 22=AND(19,21); 23='%5%' ESCAPE '!'; 24='%36%' ESCAPE '!'; 25='%510%' ESCAPE '!'; 26=OR(24,25); 27=AND(23,26); 28='%6%' ESCAPE '!'; 29='%26%' ESCAPE '!'; 30='%2%' ESCAPE '!'; 31='%50%' ESCAPE '!'; 32='%60%' ESCAPE '!'; 33=OR(30,31,32); 34=AND(19,33); 35='%500%' ESCAPE '!'; 36=OR(29,34,35); 37=AND(28,36); 38='%73%' ESCAPE '!'; 40='%20%' ESCAPE '!'; 41='%55%' ESCAPE '!'; 42=OR(30,41); 43=AND(19,42); 44='%00%' ESCAPE '!'; 45='%10%' ESCAPE '!'; 46=OR(44,45); 47=AND(23,46); 48=OR(40,43,47); 49=AND(5,48); 50='%930%' ESCAPE '!'; 51=OR(22,27,37,38,49,50); 52=AND(18,51); 53=OR(11,16,17,52); 54='% Build%' ESCAPE '!'; 55='%) AppleWebKit%' ESCAPE '!'; 56=OR(54,55); 57=AND(2,53,56); root=57","2='%;%' ESCAPE '!'; 3='%D%' ESCAPE '!'; 4='%633%' ESCAPE '!'; 5='%8%' ESCAPE '!'; 6='%22%' ESCAPE '!'; 7='%33%' ESCAPE '!'; 8=OR(6,7); 9=AND(5,8); 10=OR(4,9); 11=AND(3,10); 12='%T%' ESCAPE '!'; 13='%539%' ESCAPE '!'; 14='%939%' ESCAPE '!'; 15=OR(13,14); 16=AND(12,15); 17='%V726%' ESCAPE '!'; 18='%W%' ESCAPE '!'; 19='%3%' ESCAPE '!'; 20='%3_%' ESCAPE '!'; 21='%568%' ESCAPE '!'; 22=OR(20,21); 23=AND(19,22); 24='%5%' ESCAPE '!'; 25='%36%' ESCAPE '!'; 26='%510%' ESCAPE '!'; 27=OR(25,26); 28=AND(24,27); 29='%6%' ESCAPE '!'; 30='%26%' ESCAPE '!'; 31='%2%' ESCAPE '!'; 32='%50%' ESCAPE '!'; 33='%60%' ESCAPE '!'; 34=OR(31,32,33); 35=AND(19,34); 36='%500%' ESCAPE '!'; 37=OR(30,35,36); 38=AND(29,37); 39='%73%' ESCAPE '!'; 40='%_%' ESCAPE '!'; 41='%7%' ESCAPE '!'; 42=OR(40,41); 43=AND(39,42); 44='%20%' ESCAPE '!'; 45='%55%' ESCAPE '!'; 46=OR(31,45); 47=AND(19,46); 48='%00%' ESCAPE '!'; 49='%10%' ESCAPE '!'; 50=OR(48,49); 51=AND(24,50); 52=OR(44,47,51); 53=AND(5,52); 54='%930%' ESCAPE '!'; 55=OR(23,28,38,43,53,54); 56=AND(18,55); 57=OR(11,16,17,56); 58='% Build%' ESCAPE '!'; 59='%) AppleWebKit%' ESCAPE '!'; 60=OR(58,59); 61=AND(2,57,60); root=61","2='%;%' ESCAPE '!'; 3='%D%' ESCAPE '!'; 4='%633%' ESCAPE '!'; 5='%8%' ESCAPE '!'; 6='%22%' ESCAPE '!'; 7='%33%' ESCAPE '!'; 8=OR(6,7); 9=SEQ(5,8); 10=OR(4,9); 11=SEQ(3,10); 12='%T%' ESCAPE '!'; 13='%539%' ESCAPE '!'; 14='%939%' ESCAPE '!'; 15=OR(13,14); 16=SEQ(12,15); 17='%V726%' ESCAPE '!'; 18='%W%' ESCAPE '!'; 19='%3%' ESCAPE '!'; 20='%3_%' ESCAPE '!'; 21='%568%' ESCAPE '!'; 22=OR(20,21); 23=SEQ(19,22); 24='%5%' ESCAPE '!'; 25='%36%' ESCAPE '!'; 26='%510%' ESCAPE '!'; 27=OR(25,26); 28=SEQ(24,27); 29='%6%' ESCAPE '!'; 30='%26%' ESCAPE '!'; 31='%2%' ESCAPE '!'; 32='%50%' ESCAPE '!'; 33='%60%' ESCAPE '!'; 34=OR(31,32,33); 35=SEQ(19,34); 36='%500%' ESCAPE '!'; 37=OR(30,35,36); 38=SEQ(29,37); 39='%73%' ESCAPE '!'; 40='%_%' ESCAPE '!'; 41='%7%' ESCAPE '!'; 42=OR(40,41); 43=SEQ(39,42); 44='%20%' ESCAPE '!'; 45='%55%' ESCAPE '!'; 46=OR(31,45); 47=SEQ(19,46); 48='%00%' ESCAPE '!'; 49='%10%' ESCAPE '!'; 50=OR(48,49); 51=SEQ(24,50); 52=OR(44,47,51); 53=SEQ(5,52); 54='%930%' ESCAPE '!'; 55=OR(23,28,38,43,53,54); 56=SEQ(18,55); 57=OR(11,16,17,56); 58='% Build%' ESCAPE '!'; 59='%) AppleWebKit%' ESCAPE '!'; 60=OR(58,59); 61=SEQ(2,57,60); root=61"
uap,device_parsers:372,device_parsers,0,18213,1919759,57,139,57,9154,9151,139,57,326399,34357613,54608,6860733,54602,6860046,56108,6815502,1024,6144,2508,52094,49964,217885,30707513,326957,34434629,10,6,24,24,0,10,6,0,18,138,255,0,106197,0,0,0,711,139,57,43350,10518350,74176,0,768,10,10,6,0,65965,8552213,"; {0,2}(SH\-?\d\d[^;/]{1,100}|SBM\d[^;/]{1,100}?)(?: Build|\) AppleWebKit)",'%;SH___% Build%' ESCAPE '!' OR '%;SH___%) AppleWebKit%' ESCAPE '!' OR '%;SH-___% Build%' ESCAPE '!' OR '%;SH-___%) AppleWebKit%' ESCAPE '!' OR '%;SBM__% Build%' ESCAPE '!' OR '%;SBM__%) AppleWebKit%' ESCAPE '!' OR '%; SH___% Build%' ESCAPE '!' OR '%; SH___%) AppleWebKit%' ESCAPE '!' OR '%; SH-___% Build%' ESCAPE '!' OR '%; SH-___%) AppleWebKit%' ESCAPE '!' OR '%; SBM__% Build%' ESCAPE '!' OR '%; SBM__%) AppleWebKit%' ESCAPE '!' OR '%;  SH___% Build%' ESCAPE '!' OR '%;  SH___%) AppleWebKit%' ESCAPE '!' OR '%;  SH-___% Build%' ESCAPE '!' OR '%;  SH-___%) AppleWebKit%' ESCAPE '!' OR '%;  SBM__% Build%' ESCAPE '!' OR '%;  SBM__%) AppleWebKit%' ESCAPE '!',"2='%;%' ESCAPE '!'; 3='%S%' ESCAPE '!'; 4='%H%' ESCAPE '!'; 5='%BM%' ESCAPE '!'; 6=OR(4,5); 7=AND(3,6); 8='% Build%' ESCAPE '!'; 9='%) AppleWebKit%' ESCAPE '!'; 10=OR(8,9); 11=AND(2,7,10); root=11","2='%;%' ESCAPE '!'; 3='%S%' ESCAPE '!'; 4='%H%___%' ESCAPE '!'; 5='%BM__%' ESCAPE '!'; 6=OR(4,5); 7=AND(3,6); 8='% Build%' ESCAPE '!'; 9='%) AppleWebKit%' ESCAPE '!'; 10=OR(8,9); 11=AND(2,7,10); root=11","2='%;%' ESCAPE '!'; 3='%S%' ESCAPE '!'; 4='%H%___%' ESCAPE '!'; 5='%BM__%' ESCAPE '!'; 6=OR(4,5); 7=SEQ(3,6); 8='% Build%' ESCAPE '!'; 9='%) AppleWebKit%' ESCAPE '!'; 10=OR(8,9); 11=SEQ(2,7,10); root=11"
uap,device_parsers:259,device_parsers,0,18213,1919759,17,18213,18213,9180,9159,9159,9159,0,0,56656,7053946,56686,7057815,61520,7250351,1024,11264,2818,53868,50256,56686,7057815,56686,7057815,17,11,42,32,0,10,6,0,1,1,0,0,110649,1,0,0,1042,1042,1042,56667,11877002,102714,0,768,17,17,11,0,56686,7057815,"; {0,2}(MS[45][0-9]{3}|MID0[568][NS]?|MID[1-9]|MID[78]0[1-9]|MID970[1-9]|MID100[1-9])(?: Build|\) AppleWebKit)",'%' ESCAPE '!',"2='%;%' ESCAPE '!'; 3='%M%' ESCAPE '!'; 4='%S%' ESCAPE '!'; 5='%ID%' ESCAPE '!'; 9=OR(4,5); 10=AND(3,9); 11='% Build%' ESCAPE '!'; 12='%) AppleWebKit%' ESCAPE '!'; 13=OR(11,12); 14=AND(2,10,13); root=14","2='%;%' ESCAPE '!'; 3='%M%' ESCAPE '!'; 4='%S____%' ESCAPE '!'; 5='%ID%' ESCAPE '!'; 6='%0_%' ESCAPE '!'; 7='%_%' ESCAPE '!'; 8='%_0_%' ESCAPE '!'; 9='%970_%' ESCAPE '!'; 10='%100_%' ESCAPE '!'; 11=OR(6,7,8,9,10); 12=AND(5,11); 13=OR(4,12); 14=AND(3,13); 15='% Build%' ESCAPE '!'; 16='%) AppleWebKit%' ESCAPE '!'; 17=OR(15,16); 18=AND(2,14,17); root=18","2='%;%' ESCAPE '!'; 3='%M%' ESCAPE '!'; 4='%S____%' ESCAPE '!'; 5='%ID%' ESCAPE '!'; 6='%0_%' ESCAPE '!'; 7='%_%' ESCAPE '!'; 8='%_0_%' ESCAPE '!'; 9='%970_%' ESCAPE '!'; 10='%100_%' ESCAPE '!'; 11=OR(6,7,8,9,10); 12=SEQ(5,11); 13=OR(4,12); 14=SEQ(3,13); 15='% Build%' ESCAPE '!'; 16='%) AppleWebKit%' ESCAPE '!'; 17=OR(15,16); 18=SEQ(2,14,17); root=18"
uap,device_parsers:285,device_parsers,0,18213,1919759,139,8504,8504,8395,8395,8395,8395,18213,1919759,109599,14148008,113964,14736396,71582,7758307,1024,28672,5812,108152,42910,122359,15953990,93004,12712539,45,28,95,54,0,36,23,0,1,3,6,0,210044,0,0,0,609,609,609,124318,32958383,218824,0,768,41,45,28,0,114573,14829108,"; {0,2}(A555|A85[34][^;/]*|A95[356]|ME[58]\d{2}\+?|ME600|ME632|ME722|MB\d{3}\+?|MT680|MT710|MT870|MT887|MT917|WX435|WX453|WX44[25]|XT\d{3,4}[A-Z\+]*|CL[iI]Q|CL[iI]Q XT) Build",'% Build%' ESCAPE '!',"2='%;%' ESCAPE '!'; 3='%A%' ESCAPE '!'; 4='%555%' ESCAPE '!'; 5='%85%' ESCAPE '!'; 6='%95%' ESCAPE '!'; 7=OR(4,5,6); 8=AND(3,7); 9='%M%' ESCAPE '!'; 10='%E%' ESCAPE '!'; 17='%B%' ESCAPE '!'; 18='%T%' ESCAPE '!'; 19='%680%' ESCAPE '!'; 20='%710%' ESCAPE '!'; 21='%8%' ESCAPE '!'; 22='%70%' ESCAPE '!'; 23='%87%' ESCAPE '!'; 24=OR(22,23); 25=AND(21,24); 26='%917%' ESCAPE '!'; 27=OR(19,20,25,26); 28=AND(18,27); 29=OR(10,17,28); 30=AND(9,29); 31='%WX4%' ESCAPE '!'; 32='%35%' ESCAPE '!'; 33='%53%' ESCAPE '!'; 34='%4%' ESCAPE '!'; 35=OR(32,33,34); 36=AND(31,35); 37='%XT%' ESCAPE '!'; 38='%CL%' ESCAPE '!'; 39='%Q%' ESCAPE '!'; 41=AND(38,39); 42=OR(8,30,36,37,41); 43='% Build%' ESCAPE '!'; 44=AND(2,42,43); root=44","2='%;%' ESCAPE '!'; 3='%A%' ESCAPE '!'; 4='%555%' ESCAPE '!'; 5='%85_%' ESCAPE '!'; 6='%95_%' ESCAPE '!'; 7=OR(4,5,6); 8=AND(3,7); 9='%M%' ESCAPE '!'; 10='%E%' ESCAPE '!'; 11='%___%' ESCAPE '!'; 12='%6%' ESCAPE '!'; 13='%00%' ESCAPE '!'; 14='%32%' ESCAPE '!'; 15=OR(13,14); 16=AND(12,15); 17='%722%' ESCAPE '!'; 18=OR(11,16,17); 19=AND(10,18); 20='%B___%' ESCAPE '!'; 21='%T%' ESCAPE '!'; 22='%680%' ESCAPE '!'; 23='%710%' ESCAPE '!'; 24='%8%' ESCAPE '!'; 25='%70%' ESCAPE '!'; 26='%87%' ESCAPE '!'; 27=OR(25,26); 28=AND(24,27); 29='%917%' ESCAPE '!'; 30=OR(22,23,28,29); 31=AND(21,30); 32=OR(19,20,31); 33=AND(9,32); 34='%WX4%' ESCAPE '!'; 35='%35%' ESCAPE '!'; 36='%53%' ESCAPE '!'; 37='%4_%' ESCAPE '!'; 38=OR(35,36,37); 39=AND(34,38); 40='%XT___%' ESCAPE '!'; 41='%CL%' ESCAPE '!'; 42='%Q%' ESCAPE '!'; 44=AND(41,42); 45=OR(8,33,39,40,44); 46='% Build%' ESCAPE '!'; 47=AND(2,45,46); root=47","2='%;%' ESCAPE '!'; 3='%A%' ESCAPE '!'; 4='%555%' ESCAPE '!'; 5='%85_%' ESCAPE '!'; 6='%95_%' ESCAPE '!'; 7=OR(4,5,6); 8=SEQ(3,7); 9='%M%' ESCAPE '!'; 10='%E%' ESCAPE '!'; 11='%___%' ESCAPE '!'; 12='%6%' ESCAPE '!'; 13='%00%' ESCAPE '!'; 14='%32%' ESCAPE '!'; 15=OR(13,14); 16=SEQ(12,15); 17='%722%' ESCAPE '!'; 18=OR(11,16,17); 19=SEQ(10,18); 20='%B___%' ESCAPE '!'; 21='%T%' ESCAPE '!'; 22='%680%' ESCAPE '!'; 23='%710%' ESCAPE '!'; 24='%8%' ESCAPE '!'; 25='%70%' ESCAPE '!'; 26='%87%' ESCAPE '!'; 27=OR(25,26); 28=SEQ(24,27); 29='%917%' ESCAPE '!'; 30=OR(22,23,28,29); 31=SEQ(21,30); 32=OR(19,20,31); 33=SEQ(9,32); 34='%WX4%' ESCAPE '!'; 35='%35%' ESCAPE '!'; 36='%53%' ESCAPE '!'; 37='%4_%' ESCAPE '!'; 38=OR(35,36,37); 39=SEQ(34,38); 40='%XT___%' ESCAPE '!'; 41='%CL%' ESCAPE '!'; 42='%Q%' ESCAPE '!'; 44=SEQ(41,42); 45=OR(8,33,39,40,44); 46='% Build%' ESCAPE '!'; 47=SEQ(2,45,46); root=47"
