name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,projected_codes,stride,tuples_per_call,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes,allocated_binding_bytes,input_bytes,issued_write_bytes,live_bindings,lowered_decode_terms
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,0,1,20,1436248.9999996342,1435243.0000000028,ns,1048576.0,730591265.7299134,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,1,1,20,1437067.049999996,1436004.4999999988,ns,1048576.0,730203839.8904744,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,2,1,20,1436179.0500004191,1434865.4999999988,ns,1048576.0,730783477.6151499,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,0,1,20332,1377.1621089901148,1377.1606334841665,ns,1024.0,743558866.774544,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,1,1,20332,1380.6846842418258,1378.1684044855458,ns,1024.0,743015147.2542627,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,2,1,20332,1379.1171552233102,1377.3081841432252,ns,1024.0,743479209.5111192,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,0,1,309,90813.65695792953,90796.31067961217,ns,65536.0,721791441.8489226,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,1,1,309,90927.89967636621,90709.87055016165,ns,65536.0,722479258.3488392,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,2,1,309,90578.28478964666,90580.00000000012,ns,65536.0,723515124.7515998,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1048576,3,2,scan/packet1/permuted/64/1048576,iteration,3,0,1,18,1574928.8888887097,1574914.4444444517,ns,1048576.0,665798706.5258541,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1048576,3,2,scan/packet1/permuted/64/1048576,iteration,3,1,1,18,1577075.0555566968,1577077.222222223,ns,1048576.0,664885641.1244568,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1048576,3,2,scan/packet1/permuted/64/1048576,iteration,3,2,1,18,1602961.1666665587,1602474.4444444524,ns,1048576.0,654348032.5912602,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1024,4,0,scan/packet4/ordered/16/1024,iteration,3,0,1,63028,445.4014088974166,445.04045820905105,ns,1024.0,2300914402.526054,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1024,4,0,scan/packet4/ordered/16/1024,iteration,3,1,1,63028,441.9851653234907,441.9848321380995,ns,1024.0,2316821586.4929233,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1024,4,0,scan/packet4/ordered/16/1024,iteration,3,2,1,63028,443.97934251436703,443.43815447102685,ns,1024.0,2309228445.219198,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/65536,4,1,scan/packet4/ordered/16/65536,iteration,3,0,1,984,28479.71646339489,28459.90853658527,ns,65536.0,2302748089.1498065,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/65536,4,1,scan/packet4/ordered/16/65536,iteration,3,1,1,984,28422.52032519886,28423.292682926996,ns,65536.0,2305714567.663917,16.0,16.0,4.0,,,,,,,,,,,,,,
