series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,narrow_conflicting_wan,certification,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,narrow_conflicting_wan,certification,0,16,wan,93,3,21,0,24,0,347,353,0,"{""capture_promise"": 47, ""output_promise"": 32, ""source_changed"": 11}",
sweep,default,narrow_conflicting_wan,snapshot-wait,0,16,local_hot,140,96,0,0,96,0,0,48,0,"{""output_promise"": 33, ""source_changed"": 11}",
sweep,default,narrow_conflicting_wan,snapshot-wait,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,narrow_conflicting_wan,snapshot-wait,0,16,wan,92,3,19,0,24,448,249,468,2,"{""output_promise"": 71, ""source_changed"": 16}",
sweep,default,narrow_conflicting_wan,ordered-writes,0,16,local_hot,96,20,0,0,96,558,334,561,76,{},
sweep,default,narrow_conflicting_wan,ordered-writes,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,narrow_conflicting_wan,ordered-writes,0,16,wan,24,4,0,0,24,568,232,456,20,{},
sweep,default,broad_max_arrivals,arbitration,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
sweep,default,broad_max_arrivals,arbitration,0,16,regional,136,136,0,0,136,0,1,102,0,{},
sweep,default,broad_max_arrivals,arbitration,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,wound-wait,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
sweep,default,broad_max_arrivals,wound-wait,0,16,regional,136,136,0,0,136,0,1,88,0,{},
sweep,default,broad_max_arrivals,wound-wait,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,wait-die,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
sweep,default,broad_max_arrivals,wait-die,0,16,regional,172,136,0,0,136,0,1,91,0,{},
sweep,default,broad_max_arrivals,wait-die,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,occ,0,16,bulk,4,3,0,0,3,0,142,275,0,"{""source_changed"": 1}",
sweep,default,broad_max_arrivals,occ,0,16,regional,136,136,0,0,136,0,1,1,0,{},
sweep,default,broad_max_arrivals,occ,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,certification,0,16,bulk,3,3,0,0,3,0,129,130,0,{},
sweep,default,broad_max_arrivals,certification,0,16,regional,136,136,0,0,136,0,1,1,0,{},
sweep,default,broad_max_arrivals,certification,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,snapshot-wait,0,16,bulk,3,3,0,0,3,0,129,130,0,{},
sweep,default,broad_max_arrivals,snapshot-wait,0,16,regional,136,136,0,0,136,0,1,1,0,{},
sweep,default,broad_max_arrivals,snapshot-wait,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,broad_max_arrivals,ordered-writes,0,16,bulk,3,3,0,0,3,0,130,132,0,{},
sweep,default,broad_max_arrivals,ordered-writes,0,16,regional,136,136,0,0,136,0,1,1,0,{},
sweep,default,broad_max_arrivals,ordered-writes,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,arbitration,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
sweep,default,max_backedge,arbitration,0,16,regional,136,136,0,0,136,0,1,103,0,{},
sweep,default,max_backedge,arbitration,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,wound-wait,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
