input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call,counter:output_body_bytes
neoverse-v2,codec/population1/decode_exact,1,5,"[87.89223549541504,88.0591820943964,88.04580824951006,88.01825536117458,88.11067705876334]",88.04580824951006,"[87.88920341800593,88.05611856659768,88.08276560508897,88.01566991868788,88.10802870888216]",88.05611856659768,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/decode_padded,1,5,"[85.033885853064,84.97740740740765,85.0074620522144,84.98153005464643,85.04287188827887]",85.0074620522144,"[85.06936854944303,84.97460837929724,85.00472373960056,84.97868245170231,85.07245294306729]",85.00472373960056,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/encode_bound_exact,1,5,"[4.215675157366851,4.207177750343415,4.214197961114836,4.215458037446123,4.218632853217113]",4.215458037446123,"[4.215521701938615,4.207022793415369,4.216094381958686,4.215338516415358,4.218500719290465]",4.215521701938615,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/encode_checked_exact,1,5,"[6.526826789980503,6.539703089331922,6.543044862240047,6.532486763304039,6.526358857797779]",6.532486763304039,"[6.526591190978549,6.557316093855076,6.547580491930067,6.534725653031485,6.526152183791153]",6.534725653031485,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/encode_staged_exact,1,5,"[21.376194308244045,21.38701466076841,21.437880701261058,21.405346347481903,21.386651233742953]",21.38701466076841,"[21.384976109981224,21.38631223850837,21.468555163848436,21.40468973543422,21.39522383584283]",21.39522383584283,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/native_encode_admitted_exact,1,5,"[3.090655647326955,3.093224726660069,3.0886497960258117,3.0902683866574914,3.0874502594138677]",3.0902683866574914,"[3.0905459160332183,3.0992566317008237,3.0885641306063953,3.0908570051576896,3.0873535546879607]",3.0905459160332183,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/native_encode_checked_exact,1,5,"[5.989890743083769,5.983276767089542,5.983101938925499,5.991451800430716,5.98077146667596]",5.983276767089542,"[5.993554012903291,5.983057056383516,5.982911722439349,5.9936258249789685,5.9805949286855045]",5.983057056383516,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/native_encode_wide,1,5,"[2.5449540796118693,2.5450920585898547,2.5458437432731054,2.548886753890522,2.5461820378346136]",2.5458437432731054,"[2.5448729691090293,2.5450018345115657,2.546966531241125,2.5488134810508325,2.5460980110573845]",2.5460980110573845,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/native_pair_exact_materialized,1,5,"[169.32266421325923,169.45235212939116,169.57768200857086,169.48908069630872,169.3822845798164]",169.45235212939116,"[169.3170713978335,169.44651719710453,169.67665786974496,169.50543543997702,169.37665544486492]",169.44651719710453,,,1.0,1.0,2.0,
neoverse-v2,codec/population1/native_pair_materialized,1,5,"[166.03406588202046,165.8871930281642,165.77723968077922,165.89095839155334,165.76129016979775]",165.8871930281642,"[166.10223316922998,165.88220806214795,165.77141402366365,165.88529850692322,165.82048215342996]",165.88220806214795,,,1.0,1.0,2.0,
