input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call,counter:output_body_bytes
neoverse-v2,codec/population1/prepare_checked,1,5,"[10.791542376762768,10.800722469693723,10.783747386772447,10.79270734067616,10.768138200031078]",10.791542376762768,"[10.791177448312204,10.80566377825568,10.783383197167518,10.792352015613998,10.77199728144409]",10.791177448312204,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/spike_decode_padded,1,5,"[83.98381274438512,83.99106847899839,83.98610118386155,84.02953348269276,83.97668915063693]",83.98610118386155,"[83.98100174757688,83.98823946291886,83.98345836766671,84.05925316365919,83.9741964941277]",83.98345836766671,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/spike_encode_wide,1,5,"[25.903235561492163,25.918574794530887,25.909918183336003,25.908853268028356,25.932737797072026]",25.909918183336003,"[25.906098217695952,25.929531919599604,25.90910187199565,25.940498320573973,25.947665163627885]",25.929531919599604,,,1.0,1.0,1.0,
neoverse-v2,codec/population1/spike_pair_materialized,1,5,"[167.088861359606,166.84701790330013,166.94257364415222,166.98482448094384,167.00823099188534]",166.98482448094384,"[167.15547164355186,166.84201498414686,166.93714190494418,167.18771664386722,167.08227418261592]",167.08227418261592,,,1.0,1.0,2.0,
neoverse-v2,codec/population128/decode_exact,1,5,"[87.67725424600455,87.68407665657543,87.68766640981106,87.67332619141186,87.6866577706025]",87.68407665657543,"[87.67446012707147,87.6811948327485,87.6848848185778,87.70799581619319,87.68402027127615]",87.68402027127615,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/decode_padded,1,5,"[84.99640077820737,85.03929353113229,84.99270428014945,85.04452213035471,85.01611746109815]",85.01611746109815,"[84.99418774045606,85.07058608889045,84.9899136655445,85.04167679784639,85.13405885212259]",85.04167679784639,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/encode_bound_exact,1,5,"[30.271386188282463,30.249643203127714,30.264684894301645,30.251282306336172,30.26158400511754]",30.26158400511754,"[30.28516503545195,30.248635521819686,30.263696675649204,30.262691156024495,30.264628672304994]",30.263696675649204,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/encode_checked_exact,1,5,"[33.41134205553943,33.372800114810794,33.40365471549004,33.39424047453996,33.42026357961208]",33.40365471549004,"[33.426865029577236,33.371616159912456,33.40253773111824,33.393235906631816,33.41930206415857]",33.40253773111824,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/encode_staged_exact,1,5,"[45.71203943886189,45.728756525771836,45.72613641561333,45.76836200643927,45.748270139238215]",45.728756525771836,"[45.71055296692623,45.74837468296892,45.72484922920604,45.76698334497853,45.7467085279201]",45.7467085279201,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/native_encode_admitted_exact,1,5,"[27.486773517135507,27.485919814939123,27.493546090081566,27.497665104824556,27.489932608669797]",27.489932608669797,"[27.485791956074163,27.48502873846376,27.492588134274712,27.508177050827214,27.48902973048441]",27.48902973048441,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/native_encode_checked_exact,1,5,"[34.50724026846184,34.55238750163255,34.50349134988134,34.49807871003507,34.499646305184164]",34.50349134988134,"[34.5060892199219,34.569650766837555,34.502576919632,34.49691287239197,34.49852236845812]",34.502576919632,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/native_encode_wide,1,5,"[25.113675540913718,25.105732399355933,25.10868928278162,25.110139863282132,25.120935633410166]",25.110139863282132,"[25.124199888656896,25.105142819544557,25.107932535626016,25.109322001231202,25.1297775233413]",25.109322001231202,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/native_pair_exact_materialized,1,5,"[169.94710938162115,169.8096762071132,169.94519402117137,169.90043762350442,169.52993659913767]",169.90043762350442,"[169.96551138706081,169.80337248729668,170.1853414306906,170.028148527856,169.5666557606877]",169.96551138706081,,,39.4609375,128.0,2.0,
neoverse-v2,codec/population128/native_pair_materialized,1,5,"[165.6493915431627,165.5779392963676,165.74628296795126,165.6261068232292,165.60456224252468]",165.6261068232292,"[165.64436052675867,165.64897722763308,165.7415478939719,165.62066149098015,165.66332449686388]",165.64897722763308,,,39.4609375,128.0,2.0,
neoverse-v2,codec/population128/prepare_checked,1,5,"[34.21375206239366,34.233918228862436,34.232794622353175,34.2639349238443,34.242970727480426]",34.233918228862436,"[34.212618664118786,34.23797692089723,34.24781276236416,34.262894547879746,34.24186670469806]",34.24186670469806,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/spike_decode_padded,1,5,"[84.03546141881618,84.02543853854704,83.99463724859453,84.15442682216062,84.19613977984682]",84.03546141881618,"[84.0718356451564,84.02311448003844,83.99187480161618,84.34725166498836,84.24693878630649]",84.0718356451564,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/spike_encode_wide,1,5,"[25.89128612275628,25.889701949682095,25.896734493701604,25.8883435582801,25.89754323626868]",25.89128612275628,"[25.890386697262137,25.888813628850087,25.908117961705678,25.887625498143684,25.896673422326963]",25.890386697262137,,,39.4609375,128.0,1.0,
neoverse-v2,codec/population128/spike_pair_materialized,1,5,"[166.9011261100318,166.9330881127684,166.9116967835628,166.8324524438712,166.9212794324317]",166.9116967835628,"[166.895697924063,167.0061662303799,166.9065185843897,166.82683379819755,166.99003642748193]",166.9065185843897,,,39.4609375,128.0,2.0,
neoverse-v2,codec/population16/decode_exact,1,5,"[87.9265838704681,88.03911963528017,88.04066656185799,88.02205313629739,88.02993868887687]",88.02993868887687,"[87.9234334233152,88.07945920537702,88.03788712477889,88.01906618354235,88.0270712153294]",88.0270712153294,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/decode_padded,1,5,"[85.07110444243233,84.98308801642659,84.96527090155197,85.061646124027,85.05883960951667]",85.05883960951667,"[85.12379644884469,84.98028757781051,84.96250083395785,85.16737639547766,85.10825127293701]",85.10825127293701,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/encode_bound_exact,1,5,"[30.22533188636976,30.400553942974895,30.54959336837407,30.345011462392396,30.429776505148784]",30.400553942974895,"[30.224277171929913,30.413853368392065,30.548671582946085,30.344061347418894,30.428732686610715]",30.413853368392065,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/encode_checked_exact,1,5,"[32.60164418418861,32.61212306215392,32.56296764061003,32.5826740828943,32.559064567318394]",32.5826740828943,"[32.60054899385729,32.66903802624525,32.57903898183545,32.58179094034725,32.558027631142444]",32.58179094034725,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/encode_staged_exact,1,5,"[43.97853041289275,43.97343252527578,43.9968570359957,43.9851180654423,43.998585666198366]",43.9851180654423,"[43.99740391109088,43.97195533341178,43.99530755483145,44.001756917366535,43.99708018636352]",43.99708018636352,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/native_encode_admitted_exact,1,5,"[27.263992411426777,27.217046910293718,27.108023743630643,27.093372710470025,27.004420148839234]",27.108023743630643,"[27.263067309417117,27.228775950967652,27.107215990833,27.09253170930095,27.00355958852548]",27.107215990833,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/native_encode_checked_exact,1,5,"[30.439048179306543,30.41355563768474,30.42237972668208,30.432992689236194,30.432758692328516]",30.432758692328516,"[30.438057519473286,30.412536548710637,30.421297217824687,30.44471877740216,30.43183801301675]",30.43183801301675,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/native_encode_wide,1,5,"[25.110777520067145,25.110189603191973,25.12539657502629,25.109182257815338,25.098802298610277]",25.110189603191973,"[25.10986696635292,25.109359708464627,25.137092177762906,25.108481417519226,25.09791504572203]",25.109359708464627,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/native_pair_exact_materialized,1,5,"[169.705560675145,170.38414249684837,169.75651130080593,169.54527597246397,169.3982685032468]",169.705560675145,"[169.93731205638247,170.58849063866646,169.75083665011468,169.5925283737207,169.39287273260993]",169.75083665011468,,,12.26953125,16.0,2.0,
neoverse-v2,codec/population16/native_pair_materialized,1,5,"[165.74916447415427,166.10454146815133,165.59159970608124,166.01764677997267,165.70557491288758]",165.74916447415427,"[165.81891014077468,166.09935053833493,165.5861124910681,166.07696318580284,165.70039583909204]",165.81891014077468,,,12.26953125,16.0,2.0,
neoverse-v2,codec/population16/prepare_checked,1,5,"[32.89735833268815,32.839979222049934,32.844863450785155,32.86797774596861,32.848878014154614]",32.848878014154614,"[32.91136934655122,32.838851006658345,32.84369057809635,32.885378104487415,32.84785321942428]",32.84785321942428,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/spike_decode_padded,1,5,"[83.99327241027157,84.00087777310367,84.02383815306996,84.01512655563789,83.98618409186929]",84.00087777310367,"[83.9904827772634,83.9980460543861,84.0553958987943,84.01277580582072,83.9832020679454]",83.9980460543861,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/spike_encode_wide,1,5,"[25.918836800740607,25.89799352750902,25.926047156726383,25.91309292649131,25.92515025427578]",25.918836800740607,"[25.930598243453463,25.897185390245333,25.962662968180805,25.915637540000372,25.937769764333456]",25.930598243453463,,,12.26953125,16.0,1.0,
neoverse-v2,codec/population16/spike_pair_materialized,1,5,"[167.00784173093479,166.868101129645,166.9591178052696,166.92439184746016,166.87872810951143]",166.92439184746016,"[167.08347379438231,166.86325981713549,167.19910346412473,166.9925527489722,166.87342059779243]",166.9925527489722,,,12.26953125,16.0,2.0,
neoverse-v2,codec/population192/decode_exact,1,5,"[88.20475553086855,88.29136781492608,88.23744822710258,88.28484569147795,88.3897426507764]",88.28484569147795,"[88.20202798211409,88.28846979329354,88.2345944031021,88.32014597651535,88.38679411852732]",88.28846979329354,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/decode_padded,1,5,"[85.06001724493127,84.99049099498409,84.99282877718707,85.04506758315416,85.00133587553593]",85.00133587553593,"[85.05710260705115,84.98758242995636,84.99035740882077,85.0422622437275,84.99853053745755]",84.99853053745755,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/encode_bound_exact,1,5,"[30.23509809423024,30.21891956057113,30.227809552588752,30.224289383379016,30.202866207671413]",30.224289383379016,"[30.250516910030992,30.21790300674081,30.22677789011756,30.2350614026985,30.201888502603758]",30.22677789011756,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/encode_checked_exact,1,5,"[33.35213373199089,33.335238408604724,33.3255699727698,33.33340963171666,33.35814461404969]",33.335238408604724,"[33.36580783297342,33.33404863041708,33.32445887786886,33.33231761070596,33.375557336826326]",33.33404863041708,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/encode_staged_exact,1,5,"[46.22523794253308,46.2583531963143,46.269090776850234,46.33046160356789,46.3102129333607]",46.269090776850234,"[46.223674248280005,46.25680933735396,46.287865012913585,46.337523016522745,46.36909110650093]",46.287865012913585,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/native_encode_admitted_exact,1,5,"[27.529678810130214,27.528086149364132,27.575671073224985,27.510791310253694,27.583770215864263]",27.529678810130214,"[27.52876337465652,27.527152995805007,27.637206051657408,27.51940034017443,27.599431052107192]",27.52876337465652,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/native_encode_checked_exact,1,5,"[34.48386126802922,34.45897045340108,34.46529236047482,34.47049037295699,34.438920272493846]",34.46529236047482,"[34.48268807964919,34.4738891691982,34.46435578257449,34.46935168992723,34.43765589080415]",34.46935168992723,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/native_encode_wide,1,5,"[25.115202885998308,25.11923257961376,25.102344875659316,25.107660909279264,25.11791749458207]",25.115202885998308,"[25.125730752519008,25.11850856463002,25.10160648798805,25.106771609505945,25.127153631880585]",25.11850856463002,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/native_pair_exact_materialized,1,5,"[169.54804861204065,169.53347227102867,169.47666937273752,169.63130217736853,169.5118319177028]",169.53347227102867,"[169.54182064762307,169.5280440085517,169.47093819158175,169.70321454939747,169.50663387226462]",169.5280440085517,,,31.21875,192.0,2.0,
neoverse-v2,codec/population192/native_pair_materialized,1,5,"[165.8768891353183,165.92654640696287,165.80545297955936,165.86949186534315,165.88186784016094]",165.8768891353183,"[166.09030096283544,166.00368093573329,165.79991977545976,165.8638878735042,165.94114038201488]",165.94114038201488,,,31.21875,192.0,2.0,
neoverse-v2,codec/population192/prepare_checked,1,5,"[34.858356158249755,34.83753883967464,34.9163376644686,34.8572665328298,34.8805342647406]",34.858356158249755,"[34.85715707349713,34.83637707001577,34.93225166828048,34.8561769072154,34.87957400136855]",34.85715707349713,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/spike_decode_padded,1,5,"[84.06217212278447,84.02260477065134,84.0077730159295,84.0260441051098,84.04327078905979]",84.0260441051098,"[84.10244774882722,84.02014381730322,84.14430199056231,84.0233190484684,84.08064128925083]",84.08064128925083,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/spike_encode_wide,1,5,"[25.903580941106163,25.894279002662035,25.904076649894048,25.903519902338818,25.892808523233438]",25.903519902338818,"[25.902735646616406,25.8933837678501,25.915059928989045,25.902713450094055,25.89195213127106]",25.902713450094055,,,31.21875,192.0,1.0,
neoverse-v2,codec/population192/spike_pair_materialized,1,5,"[166.89540062880712,166.93190262956432,166.87395198170583,166.84388100229333,166.90208174542573]",166.89540062880712,"[166.88995807534468,167.00373952031518,166.86900962369924,166.8384741796073,166.9631645406247]",166.88995807534468,,,31.21875,192.0,2.0,
neoverse-v2,codec/population2/decode_exact,1,5,"[88.12395009531731,88.09610363463467,88.08641462662851,88.07452986290834,88.15046274450917]",88.09610363463467,"[88.1599818792212,88.09336051253672,88.08357084004041,88.07165461863352,88.22862913086254]",88.09336051253672,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/decode_padded,1,5,"[84.99523740098441,84.98389585459267,84.98728556154695,84.98682995577359,84.95973659911603]",84.98682995577359,"[84.99229722348929,84.98081595786884,85.0186373123904,84.9841266940556,84.9568024988038]",84.9841266940556,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/encode_bound_exact,1,5,"[29.403865764249367,29.409199955425382,29.422162229215076,29.375058608821277,29.40312776618008]",29.403865764249367,"[29.417259063100143,29.415631681784657,29.421098334665995,29.386050784965466,29.40229515304984]",29.415631681784657,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/encode_checked_exact,1,5,"[31.358962807565042,31.337096506681828,31.35489481493434,31.35258401581464,31.36686793704514]",31.35489481493434,"[31.37601699874272,31.336213427869733,31.42532375839643,31.37103903054501,31.365859343799258]",31.37103903054501,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/encode_staged_exact,1,5,"[44.26181141139521,44.286174532468266,44.29540125437532,44.28608239233986,44.314289980873966]",44.286174532468266,"[44.26029586502851,44.28425229957729,44.314404361558566,44.284643099571944,44.31280620646594]",44.284643099571944,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/native_encode_admitted_exact,1,5,"[26.71362429190384,26.68394674690728,26.678520628604407,26.67589539543751,26.669184344827983]",26.678520628604407,"[26.725224958731264,26.683135311894933,26.677640460154606,26.686455514628854,26.66834236093989]",26.683135311894933,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/native_encode_checked_exact,1,5,"[29.107960827838323,29.145388025546886,29.11279592036574,29.1050122959598,29.116750201463105]",29.11279592036574,"[29.10691343221211,29.232796587275008,29.127371996039354,29.104133566397362,29.11576527581229]",29.11576527581229,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/native_encode_wide,1,5,"[25.13405812071374,25.114515088859047,25.104669022344602,25.103995372475378,25.13237130143777]",25.114515088859047,"[25.16806396634735,25.11371209805073,25.103876810199967,25.103594775169004,25.16708313188819]",25.11371209805073,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/native_pair_exact_materialized,1,5,"[169.8917591413403,169.4431508095349,169.403310896855,169.60582135710112,169.5522648717521]",169.5522648717521,"[169.96501121758087,169.43788733060788,169.39690740536363,169.86354981194228,169.62692377757313]",169.62692377757313,,,2.0,2.0,2.0,
neoverse-v2,codec/population2/native_pair_materialized,1,5,"[165.424986030369,165.81102352843513,165.71569711451983,165.87032611668866,165.71695735397455]",165.71695735397455,"[165.41933873029913,165.80507900464346,165.7846773919827,165.89142917986928,165.71145272042102]",165.7846773919827,,,2.0,2.0,2.0,
neoverse-v2,codec/population2/prepare_checked,1,5,"[33.028068699549,33.03871675142291,32.99839074049658,33.06716590732867,32.978786604154394]",33.028068699549,"[33.02690133649545,33.11656615744207,33.00713414692773,33.13966765513519,32.97773503201237]",33.02690133649545,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/spike_decode_padded,1,5,"[83.98903346951367,84.01444606422393,84.0159638608422,84.00784694850825,84.02080521210209]",84.01444606422393,"[83.9860218753334,84.0607298628222,84.01342619979417,84.00520130161229,84.01795559406149]",84.01342619979417,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/spike_encode_wide,1,5,"[25.901277526101165,25.89383100339871,25.91684870718895,26.109856127770573,25.911318010432208]",25.911318010432208,"[25.90036963942337,25.892941645213977,25.92743021798867,27.37070861397542,25.910745486582815]",25.910745486582815,,,2.0,2.0,1.0,
neoverse-v2,codec/population2/spike_pair_materialized,1,5,"[166.8970340753138,166.92799427104916,166.92307692307114,166.8441725845872,166.8229157963802]",166.8970340753138,"[166.89123351454208,166.92232499554612,166.99427105236848,166.83913588647192,166.81750909896212]",166.89123351454208,,,2.0,2.0,2.0,
neoverse-v2,codec/population224/decode_exact,1,5,"[88.22540820390365,88.41378569216218,88.28314780046622,88.30663809396943,88.3493201342676]",88.30663809396943,"[88.30321822174002,88.411250813581,88.28040431700242,88.3542824256534,88.34677261349607]",88.34677261349607,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/decode_padded,1,5,"[85.00398863512412,85.01677412304996,85.05202224407496,85.16178559720123,85.02496387765908]",85.02496387765908,"[85.0010259970174,85.0140421798812,85.08835707047916,85.50975606696112,85.03788292774821]",85.03788292774821,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/encode_bound_exact,1,5,"[30.30429370556642,30.282439839628626,30.27789155113648,30.275518907543724,30.30047712650238]",30.282439839628626,"[30.31892789455542,30.281504637471077,30.27690006311059,30.28705740217279,30.29947048427589]",30.28705740217279,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/encode_checked_exact,1,5,"[33.274670611333995,33.23571382779475,33.25918714784928,33.27009989101786,33.24991748959314]",33.25918714784928,"[33.28881016422979,33.23473794878978,33.26351093021971,33.30959091391768,33.2644939322908]",33.2644939322908,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/encode_staged_exact,1,5,"[44.07708800373377,44.0077343397725,44.13783079042562,44.09521782587137,44.05528176896599]",44.07708800373377,"[44.07551780336723,44.00631863758236,44.183328761093115,44.093855723969206,44.053815618111685]",44.07551780336723,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/native_encode_admitted_exact,1,5,"[27.215372639222082,27.194616564180333,27.207028743997082,27.20991370542211,27.192265565103565]",27.207028743997082,"[27.214437715873757,27.193683596526288,27.242501056228335,27.221596331928534,27.19689128233099]",27.214437715873757,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/native_encode_checked_exact,1,5,"[31.922314744568574,31.8330507390091,31.788461011126802,31.826355310183864,31.795314113874095]",31.826355310183864,"[31.989636939061214,31.859466833755334,31.78754695944778,31.944117162773566,31.79442976882963]",31.859466833755334,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/native_encode_wide,1,5,"[25.108537020147654,25.120513679547717,25.104602727847773,25.10039969973176,25.113662707891404]",25.108537020147654,"[25.107743353902226,25.132402552029205,25.10386997527792,25.0995522857719,25.123030838158932]",25.107743353902226,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/native_pair_exact_materialized,1,5,"[169.3853286726863,169.51988057091532,169.32807796874067,169.5074643169176,169.34037285172144]",169.3853286726863,"[169.3803281827353,169.51438246615498,169.3224706284913,169.57492232440086,169.3351296230999]",169.3803281827353,,,20.26953125,224.0,2.0,
neoverse-v2,codec/population224/native_pair_materialized,1,5,"[165.54400417224667,165.97156471132394,165.87843588133182,165.98564604645017,165.70853532778398]",165.87843588133182,"[165.53884812560543,166.06469354066334,165.87316130534498,165.98028850402716,165.70314222516765]",165.87316130534498,,,20.26953125,224.0,2.0,
neoverse-v2,codec/population224/prepare_checked,1,5,"[32.86568273319168,32.85675584151921,32.8517773826989,32.78537833465339,32.79087650976261]",32.8517773826989,"[32.864553937899124,32.85572816672412,32.86598844874372,32.78428011072221,32.78971714299172]",32.85572816672412,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/spike_decode_padded,1,5,"[84.01886622568199,84.03531339663388,83.99218459247881,84.01204725259998,84.01852407649797]",84.01852407649797,"[84.01607500855509,84.07409630641894,83.98987958868142,84.00908195710915,84.05146644163534]",84.01607500855509,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/spike_encode_wide,1,5,"[25.904137009439754,25.898935944093097,25.90405014019173,25.901224117120755,25.890657489328664]",25.901224117120755,"[25.903255379526648,25.903083488603503,25.91513059057347,25.900355424748838,25.889796189966884]",25.903083488603503,,,20.26953125,224.0,1.0,
neoverse-v2,codec/population224/spike_pair_materialized,1,5,"[166.8869836041997,167.03334049308407,166.83651941482245,166.89818858738994,166.82719982816974]",166.8869836041997,"[166.8815660718443,167.10732440712067,166.8313286068339,166.89271139208748,166.8217345620906]",166.8815660718443,,,20.26953125,224.0,2.0,
neoverse-v2,codec/population240/decode_exact,1,5,"[88.12244499824673,88.06258495695214,88.04289382268524,87.9768728288815,88.16864270250909]",88.06258495695214,"[88.1660688216802,88.07788979494002,88.03965287287865,87.974053518483,88.2032296222431]",88.07788979494002,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/decode_padded,1,5,"[85.00642265445431,85.03930226617354,84.97977107129314,85.05377756694062,85.01862326509776]",85.01862326509776,"[85.00366140053141,85.03654101302853,84.97703414509024,85.08860951832582,85.01594716006393]",85.01594716006393,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/encode_bound_exact,1,5,"[30.588989084003114,30.57340136783222,30.596766538573302,30.513602890518012,30.43590489459159]",30.57340136783222,"[30.614040536943683,30.586438883831796,30.610794827071032,30.512664608795475,30.44719488872673]",30.586438883831796,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/encode_checked_exact,1,5,"[32.977977052074664,32.904621359220826,33.211579876430704,32.87886084142229,32.916558987936185]",32.916558987936185,"[33.22022477181716,32.93221300446203,34.77974698404498,32.87802530156793,32.95603412792657]",32.95603412792657,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/encode_staged_exact,1,5,"[44.01505385893869,43.9668789728076,44.009147772689786,43.99722141162478,43.992615806237154]",43.99722141162478,"[44.01378509820724,43.96629534372159,44.0576461933303,43.99584163359424,43.99113135468332]",43.99584163359424,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/native_encode_admitted_exact,1,5,"[27.502979860457717,27.326899896086672,27.07228462565983,26.99859270622091,27.167297738632524]",27.167297738632524,"[27.516674748614566,27.32605274822077,27.07135632628581,26.99774753798776,30.067656984053656]",27.32605274822077,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/native_encode_checked_exact,1,5,"[30.509320809246788,30.4404230162895,30.421700385354747,30.40324925556156,30.39917454895529]",30.421700385354747,"[30.50825232033993,30.510835960762847,30.43642932241426,30.402434752502447,30.398103871436945]",30.43642932241426,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/native_encode_wide,1,5,"[25.113570195182316,25.122616752643335,25.10489519276195,25.111256502212296,25.102956644733453]",25.111256502212296,"[25.118775555601342,25.1347344729345,25.104080284902516,25.110414670021452,25.102095067898144]",25.110414670021452,,,12.390625,240.0,1.0,
neoverse-v2,codec/population240/native_pair_exact_materialized,1,5,"[169.57454843810058,169.7427333823797,169.52962752927556,169.41255324027424,169.48591319875075]",169.52962752927556,"[169.65184184483178,169.73696594103365,169.5651733283233,169.40685819495891,169.5506702573247]",169.5651733283233,,,12.390625,240.0,2.0,
neoverse-v2,codec/population240/native_pair_materialized,1,5,"[166.01435180256726,165.4542647215361,165.87725836794004,165.67526828288743,165.90684934747247]",165.87725836794004,"[166.00856612223367,165.44868018198886,165.95849453756168,165.6697074042855,165.90082703271722]",165.90082703271722,,,12.390625,240.0,2.0,
neoverse-v2,codec/population240/prepare_checked,1,5,"[32.84678485251952,32.842050676611,32.895511822506094,32.85024670394971,32.850787618234754]",32.85024670394971,"[32.84570772807867,32.84087712700355,32.95443149843441,32.86712322939355,32.8498516008275]",32.8498516008275,,,12.390625,240.0,1.0,
