name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,8,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/word,iteration,3,2,1,18916,1480.3246458011884,1479.2388454218678,ns,256.0,173061977.64634198,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,0,1,14709,1900.7608267050423,1898.149568291519,ns,256.0,134868191.77817467,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,1,1,14709,1907.1419539055776,1905.549051601059,ns,256.0,134344481.86201584,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,9,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/bytes,iteration,3,2,1,14709,1905.0167244532488,1905.0099938812946,ns,256.0,134382497.11143088,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,0,1,13899,1991.2065616217992,1990.9159651773527,ns,256.0,128584030.90719867,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,1,1,13899,1972.7892654217071,1972.7844449240995,ns,256.0,129765824.47143601,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,10,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/50/word,iteration,3,2,1,13899,1969.8070364824964,1969.664796028484,ns,256.0,129971353.76343392,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,0,1,15667,1787.4500542610413,1786.741622518675,ns,256.0,143277571.17961487,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,1,1,15667,1782.1708048751454,1782.165826259015,ns,256.0,143645443.2174673,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,11,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/bytes,iteration,3,2,1,15667,1783.7525371773831,1782.4159698729852,ns,256.0,143625284.0678052,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,0,1,15533,1806.9497843304084,1806.8069271872819,ns,256.0,141686417.15278563,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,1,1,15533,1793.357368183201,1793.3529260284517,ns,256.0,142749369.78910002,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,2,1,15533,1794.850318681666,1794.7467327625077,ns,256.0,142638510.11778134,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,0,1,19707,1420.4105647766496,1419.976708783688,ns,256.0,180284647.21740565,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,1,1,19707,1418.3879332236315,1418.3839244938367,ns,256.0,180487099.14091557,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,2,1,19707,1420.6028822241046,1419.6981275688718,ns,256.0,180320023.69291076,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,0,1,18913,1482.68656479369,1480.8682916512475,ns,256.0,172871552.0774277,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,1,1,18913,1480.1755935018446,1479.9080526621885,ns,256.0,172983719.85981476,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,2,1,18913,1479.1255221249012,1479.039390895151,ns,256.0,173085315.76367453,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,0,1,14707,1892.1091996989862,1891.8591147072798,ns,256.0,135316630.08617315,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,1,1,14707,1888.6951791695335,1888.5667369279897,ns,256.0,135552530.38948402,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
